time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CAMS-CSM1-0
2000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0
2001.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0
2002.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0
2003.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0
2004.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0
2005.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0
2006.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0
2007.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0
2008.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0
2009.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0
2010.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0
2011.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0
2012.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0
2013.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0
2014.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0
2015.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0
2016.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0
2017.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0
2018.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0
2019.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0
2020.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0
2021.0,833916400000.0,834117760000.0,848691200000.0,834961700000.0
2022.0,825879300000.0,823153900000.0,830750850000.0,829472830000.0
2023.0,814126200000.0,817362800000.0,803843500000.0,823108200000.0
2024.0,798167100000.0,798039200000.0,790896050000.0,812466240000.0
2025.0,780731000000.0,783049700000.0,781273700000.0,816239400000.0
2026.0,768509940000.0,765293040000.0,766087600000.0,807564300000.0
2027.0,737540240000.0,742087260000.0,759998050000.0,794287300000.0
2028.0,715324260000.0,733561950000.0,757767900000.0,778628400000.0
2029.0,699110500000.0,713398600000.0,751661800000.0,765869900000.0
2030.0,688159400000.0,696538500000.0,746022600000.0,759597040000.0
2031.0,681075000000.0,686142100000.0,737813400000.0,741104350000.0
2032.0,677307150000.0,660711540000.0,708801200000.0,730738300000.0
2033.0,667919250000.0,640246940000.0,685725650000.0,725468050000.0
2034.0,640753530000.0,627818000000.0,672832750000.0,714548200000.0
2035.0,630877000000.0,607276600000.0,666505200000.0,695963940000.0
2036.0,629786540000.0,585828100000.0,653807450000.0,686337800000.0
2037.0,606518800000.0,573132100000.0,633918900000.0,685211200000.0
2038.0,601003500000.0,565502200000.0,621789600000.0,671362250000.0
2039.0,591320700000.0,555592300000.0,618294740000.0,657627700000.0
2040.0,591894350000.0,542234280000.0,612420750000.0,656294200000.0
2041.0,583688450000.0,538236850000.0,602600200000.0,646034900000.0
2042.0,571221600000.0,531147160000.0,592534600000.0,634242000000.0
2043.0,556074400000.0,516470570000.0,577111200000.0,631803400000.0
2044.0,554221900000.0,504866730000.0,571544630000.0,625896650000.0
2045.0,535196660000.0,485866370000.0,564455400000.0,623080000000.0
2046.0,518656360000.0,475788840000.0,551776800000.0,611286100000.0
2047.0,509510600000.0,457282950000.0,532848840000.0,609219700000.0
2048.0,507377000000.0,450728300000.0,521180250000.0,599051400000.0
2049.0,500121830000.0,441775950000.0,519071920000.0,583663200000.0
2050.0,492874900000.0,429909440000.0,520143440000.0,577318160000.0
2051.0,482425600000.0,420223520000.0,508951860000.0,568634300000.0
2052.0,469616720000.0,410684650000.0,493374540000.0,556346640000.0
2053.0,464359300000.0,396969400000.0,479699660000.0,549584630000.0
2054.0,448954600000.0,388112450000.0,469925900000.0,543311270000.0
2055.0,442116280000.0,382865300000.0,459375870000.0,545108600000.0
2056.0,439406130000.0,377411000000.0,456746830000.0,548410300000.0
2057.0,430065220000.0,370692460000.0,450700670000.0,548798730000.0
2058.0,425018750000.0,361868460000.0,446960530000.0,542298900000.0
2059.0,419383080000.0,359235450000.0,440801920000.0,524957220000.0
2060.0,422543000000.0,350159100000.0,428809030000.0,528951100000.0
2061.0,424489000000.0,350681330000.0,424626720000.0,526732820000.0
2062.0,421182240000.0,340417870000.0,416867580000.0,516679800000.0
2063.0,416986530000.0,334829600000.0,405040560000.0,517096050000.0
2064.0,411057780000.0,328527400000.0,399872260000.0,514185100000.0
2065.0,403502000000.0,320100760000.0,396819070000.0,517627580000.0
2066.0,400946460000.0,307027180000.0,392546680000.0,512237100000.0
2067.0,394549950000.0,297163400000.0,388473880000.0,504851560000.0
2068.0,394570860000.0,295846940000.0,380384770000.0,502390100000.0
2069.0,392357350000.0,294837980000.0,372740900000.0,506881570000.0
2070.0,388398740000.0,286515950000.0,367873360000.0,520905330000.0
2071.0,384745280000.0,288898740000.0,360178840000.0,515578200000.0
2072.0,374146100000.0,291660600000.0,347509620000.0,512498700000.0
2073.0,372448000000.0,290963950000.0,341808970000.0,507601320000.0
2074.0,376206300000.0,288864200000.0,336044230000.0,515076600000.0
2075.0,370947720000.0,284858970000.0,330872880000.0,517571020000.0
2076.0,363696750000.0,285366600000.0,326708500000.0,521112320000.0
2077.0,363190850000.0,280442240000.0,324273860000.0,517889100000.0
2078.0,352787900000.0,278378740000.0,323066530000.0,514484540000.0
2079.0,345508400000.0,275793640000.0,317284880000.0,508832450000.0
2080.0,338845140000.0,270855830000.0,312517200000.0,507198240000.0
2081.0,341933130000.0,275577100000.0,300120200000.0,498452430000.0
2082.0,336813750000.0,269933840000.0,300967460000.0,499186700000.0
2083.0,336442000000.0,266555340000.0,298021880000.0,497017200000.0
2084.0,333755650000.0,261966050000.0,297166770000.0,495099700000.0
2085.0,329052450000.0,261200380000.0,292377030000.0,502316300000.0
2086.0,326612800000.0,262076350000.0,291254080000.0,498613550000.0
2087.0,319877220000.0,256072630000.0,288893300000.0,498280370000.0
2088.0,314693320000.0,249882790000.0,286755400000.0,492770560000.0
2089.0,312364630000.0,255336120000.0,283355680000.0,491742300000.0
2090.0,301266630000.0,252863970000.0,279839150000.0,489802270000.0
2091.0,299139040000.0,247407410000.0,280955400000.0,488438920000.0
2092.0,296711980000.0,243043500000.0,283355000000.0,492640530000.0
2093.0,300467950000.0,244603880000.0,282041700000.0,489185970000.0
2094.0,299875340000.0,245527860000.0,282145950000.0,491252840000.0
2095.0,293058500000.0,240563300000.0,281738770000.0,497743200000.0
2096.0,289360700000.0,240174830000.0,283584330000.0,499196560000.0
2097.0,283290830000.0,240823800000.0,283854830000.0,496865740000.0
2098.0,278473080000.0,237927280000.0,286156420000.0,500544700000.0
