time,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0
2001.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0
2002.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0
2003.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0
2004.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0
2005.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0
2006.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0
2007.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0
2008.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0
2009.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0
2010.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0
2011.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0
2012.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0
2013.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0
2014.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0
2015.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0
2016.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0
2017.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0
2018.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0
2019.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0
2020.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0
2021.0,257364530000.0,257875070000.0,254740990000.0,257020380000.0,257659810000.0,253247650000.0
2022.0,253310810000.0,257182420000.0,251149760000.0,258128170000.0,253355210000.0,248390730000.0
2023.0,249906530000.0,257052720000.0,248323700000.0,254312090000.0,250370210000.0,240971300000.0
2024.0,247385390000.0,256312790000.0,243237850000.0,251024200000.0,249695670000.0,235212550000.0
2025.0,241537730000.0,251842310000.0,240025930000.0,246297210000.0,247218800000.0,231147040000.0
2026.0,237338460000.0,248452960000.0,238080200000.0,243640730000.0,243914380000.0,227135550000.0
2027.0,236979130000.0,244049870000.0,237592740000.0,240998650000.0,239754130000.0,222911480000.0
2028.0,231216840000.0,242212340000.0,234408070000.0,238636960000.0,233863480000.0,219048900000.0
2029.0,229670400000.0,238707230000.0,231910830000.0,236144670000.0,229136610000.0,212998290000.0
2030.0,227884520000.0,236895960000.0,229682940000.0,231942240000.0,227599970000.0,208211230000.0
