time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,CCSM4
2024.0,44509560000000.0,44565260000000.0,44460600000000.0,44580850000000.0,44164314000000.0,44619200000000.0,44395433000000.0,44317125000000.0,44274890000000.0,44518162000000.0
2025.0,44341620000000.0,44588000000000.0,44353804000000.0,44543517000000.0,43768000000000.0,44600102000000.0,44286796000000.0,44077123000000.0,44279112000000.0,44466480000000.0
2026.0,44265145000000.0,44544255000000.0,44206630000000.0,44587356000000.0,43581140000000.0,44477322000000.0,44247980000000.0,43917220000000.0,44221950000000.0,44396760000000.0
2027.0,44228510000000.0,44487070000000.0,44167493000000.0,44689693000000.0,43452973000000.0,44402454000000.0,44205720000000.0,43843274000000.0,44239325000000.0,44411450000000.0
2028.0,44212448000000.0,44458460000000.0,44057305000000.0,44793833000000.0,43385060000000.0,44441540000000.0,44124334000000.0,43832998000000.0,44285345000000.0,44262040000000.0
2029.0,44201576000000.0,44456913000000.0,43935260000000.0,44848824000000.0,43319137000000.0,44487137000000.0,44046230000000.0,43712340000000.0,44182790000000.0,44116465000000.0
2030.0,44152415000000.0,44449990000000.0,43836690000000.0,44802863000000.0,43301164000000.0,44463500000000.0,43918770000000.0,43504407000000.0,44060673000000.0,43913090000000.0
2031.0,44153200000000.0,44411078000000.0,43683000000000.0,44750450000000.0,43314275000000.0,44442002000000.0,43837780000000.0,43402658000000.0,43943757000000.0,43643906000000.0
2032.0,44030444000000.0,44354803000000.0,43629775000000.0,44753526000000.0,43257720000000.0,44391910000000.0,43663930000000.0,43265460000000.0,43866787000000.0,43394496000000.0
2033.0,44064250000000.0,44362986000000.0,43515910000000.0,44683028000000.0,43241563000000.0,44355943000000.0,43517494000000.0,43232430000000.0,43644485000000.0,43316297000000.0
2034.0,43988434000000.0,44247330000000.0,43397415000000.0,44599130000000.0,43173240000000.0,44368338000000.0,43470274000000.0,43160227000000.0,43554466000000.0,43151683000000.0
2035.0,43981510000000.0,44206085000000.0,43343340000000.0,44652120000000.0,43185682000000.0,44263780000000.0,43367505000000.0,43121128000000.0,43377412000000.0,43101500000000.0
2036.0,43961322000000.0,44170220000000.0,43264590000000.0,44617040000000.0,43137940000000.0,44226964000000.0,43321733000000.0,43021260000000.0,43276187000000.0,42971300000000.0
2037.0,43917600000000.0,44089454000000.0,43192334000000.0,44694436000000.0,43139746000000.0,44222700000000.0,43216520000000.0,43001130000000.0,43119546000000.0,42781083000000.0
2038.0,43949770000000.0,43983544000000.0,43136596000000.0,44718545000000.0,43152363000000.0,44223180000000.0,43187486000000.0,42939260000000.0,42896420000000.0,42674770000000.0
2039.0,43896350000000.0,43956054000000.0,43093220000000.0,44792750000000.0,43127054000000.0,44244916000000.0,43069383000000.0,42788920000000.0,42756957000000.0,42639164000000.0
2040.0,43933577000000.0,43949754000000.0,43004023000000.0,44811747000000.0,42983538000000.0,44196140000000.0,42936713000000.0,42700510000000.0,42594150000000.0,42572513000000.0
2041.0,43985590000000.0,43869390000000.0,42902540000000.0,44851802000000.0,43026257000000.0,44085885000000.0,42899706000000.0,42522170000000.0,42562883000000.0,42490400000000.0
2042.0,44030864000000.0,43833860000000.0,42855790000000.0,44884190000000.0,42965666000000.0,44098057000000.0,42768670000000.0,42340360000000.0,42433836000000.0,42456763000000.0
2043.0,44036540000000.0,43755562000000.0,42763520000000.0,44911202000000.0,42840740000000.0,44062564000000.0,42649713000000.0,42302907000000.0,42302250000000.0,42393730000000.0
2044.0,44025978000000.0,43736508000000.0,42585090000000.0,44873315000000.0,42736963000000.0,43904730000000.0,42437260000000.0,42217990000000.0,42222430000000.0,42257407000000.0
2045.0,43942170000000.0,43720863000000.0,42454108000000.0,44842336000000.0,42695750000000.0,43860230000000.0,42200860000000.0,42098430000000.0,42117238000000.0,42028436000000.0
2046.0,43923465000000.0,43610240000000.0,42397115000000.0,44926197000000.0,42468104000000.0,43857810000000.0,42056018000000.0,41983255000000.0,42037705000000.0,41880290000000.0
2047.0,43861190000000.0,43550784000000.0,42344888000000.0,45049753000000.0,42338986000000.0,43888044000000.0,41843130000000.0,41828515000000.0,41975902000000.0,41819186000000.0
2048.0,43872063000000.0,43496250000000.0,42249837000000.0,45152170000000.0,42213296000000.0,43768300000000.0,41607110000000.0,41664098000000.0,41813734000000.0,41675636000000.0
2049.0,43894994000000.0,43481804000000.0,42188646000000.0,45181340000000.0,42101048000000.0,43642857000000.0,41343057000000.0,41608066000000.0,41725985000000.0,41508020000000.0
2050.0,43974413000000.0,43385810000000.0,42101086000000.0,45184090000000.0,41946303000000.0,43624696000000.0,41141446000000.0,41468815000000.0,41646620000000.0,41419226000000.0
2051.0,44006113000000.0,43383190000000.0,41995850000000.0,45210885000000.0,41807940000000.0,43594950000000.0,40944550000000.0,41384925000000.0,41385760000000.0,41383717000000.0
2052.0,43966300000000.0,43359200000000.0,41990943000000.0,45060290000000.0,41702200000000.0,43485010000000.0,40755947000000.0,41308040000000.0,41124180000000.0,41326704000000.0
2053.0,43872424000000.0,43314750000000.0,41983972000000.0,45134385000000.0,41617126000000.0,43505133000000.0,40725350000000.0,41198980000000.0,41043446000000.0,41246460000000.0
2054.0,43818700000000.0,43349910000000.0,41852620000000.0,45087984000000.0,41631164000000.0,43548464000000.0,40593296000000.0,41050510000000.0,40881848000000.0,41182508000000.0
2055.0,43761950000000.0,43315080000000.0,41777170000000.0,45121526000000.0,41505680000000.0,43558275000000.0,40420164000000.0,40874168000000.0,40660790000000.0,41068783000000.0
2056.0,43715470000000.0,43364687000000.0,41706016000000.0,45160290000000.0,41390990000000.0,43503984000000.0,40210046000000.0,40735286000000.0,40528754000000.0,40967944000000.0
2057.0,43744240000000.0,43370470000000.0,41654803000000.0,45079943000000.0,41309805000000.0,43420940000000.0,39983503000000.0,40619276000000.0,40396936000000.0,40922620000000.0
2058.0,43766526000000.0,43435352000000.0,41590366000000.0,45000247000000.0,41356345000000.0,43373948000000.0,39745132000000.0,40475554000000.0,40288650000000.0,40885367000000.0
2059.0,43705705000000.0,43477680000000.0,41558770000000.0,44930220000000.0,41364327000000.0,43184432000000.0,39534170000000.0,40311766000000.0,40130778000000.0,40821743000000.0
2060.0,43703470000000.0,43487605000000.0,41376473000000.0,44987417000000.0,41361630000000.0,43148250000000.0,39355980000000.0,40171510000000.0,39991160000000.0,40770468000000.0
2061.0,43675010000000.0,43471000000000.0,41274573000000.0,44916560000000.0,41334388000000.0,43072704000000.0,39136660000000.0,40046434000000.0,39930720000000.0,40670983000000.0
2062.0,43645660000000.0,43407334000000.0,41245875000000.0,44981192000000.0,41277224000000.0,43011050000000.0,38883585000000.0,39955733000000.0,39772186000000.0,40568676000000.0
2063.0,43610170000000.0,43425705000000.0,41204796000000.0,44994572000000.0,41219870000000.0,42967710000000.0,38744732000000.0,39832726000000.0,39630880000000.0,40434040000000.0
2064.0,43573043000000.0,43441505000000.0,41140493000000.0,45056598000000.0,41144755000000.0,42836840000000.0,38596480000000.0,39632062000000.0,39527687000000.0,40311050000000.0
2065.0,43553447000000.0,43393506000000.0,41105165000000.0,44946600000000.0,41098253000000.0,42778084000000.0,38409570000000.0,39470240000000.0,39406312000000.0,40186247000000.0
2066.0,43580110000000.0,43324598000000.0,41041953000000.0,44903240000000.0,40963578000000.0,42701597000000.0,38246155000000.0,39412460000000.0,39102380000000.0,40156830000000.0
2067.0,43574884000000.0,43386917000000.0,40899975000000.0,44940330000000.0,40938265000000.0,42623004000000.0,38065460000000.0,39287660000000.0,38976150000000.0,40158397000000.0
2068.0,43580070000000.0,43327014000000.0,40895220000000.0,44947315000000.0,40856930000000.0,42589902000000.0,37898833000000.0,39199126000000.0,38762835000000.0,40057554000000.0
2069.0,43535360000000.0,43285914000000.0,40689050000000.0,44895760000000.0,40733440000000.0,42644315000000.0,37736166000000.0,39104062000000.0,38586498000000.0,40015050000000.0
2070.0,43587354000000.0,43255736000000.0,40687165000000.0,44921620000000.0,40676600000000.0,42612153000000.0,37432716000000.0,39037220000000.0,38584183000000.0,39862946000000.0
2071.0,43599283000000.0,43203800000000.0,40728105000000.0,44869574000000.0,40608484000000.0,42445874000000.0,37222560000000.0,38916240000000.0,38464154000000.0,39770873000000.0
2072.0,43635274000000.0,43165067000000.0,40684150000000.0,44953644000000.0,40431723000000.0,42302773000000.0,36942226000000.0,38739812000000.0,38431290000000.0,39664296000000.0
2073.0,43659710000000.0,43189306000000.0,40593290000000.0,44939240000000.0,40392335000000.0,42336810000000.0,36815524000000.0,38684150000000.0,38281966000000.0,39606590000000.0
2074.0,43656730000000.0,43151150000000.0,40540234000000.0,44877962000000.0,40316710000000.0,42263500000000.0,36727960000000.0,38582744000000.0,38215503000000.0,39534717000000.0
2075.0,43729616000000.0,43133550000000.0,40383644000000.0,44860296000000.0,40225674000000.0,42237690000000.0,36464060000000.0,38534310000000.0,38186797000000.0,39392480000000.0
2076.0,43746796000000.0,43150180000000.0,40325560000000.0,44835373000000.0,40120917000000.0,42210842000000.0,36313810000000.0,38426116000000.0,38187800000000.0,39196937000000.0
2077.0,43753037000000.0,43144083000000.0,40266505000000.0,44740710000000.0,39884174000000.0,42118635000000.0,36100050000000.0,38311893000000.0,38118397000000.0,39137684000000.0
2078.0,43814830000000.0,43049317000000.0,40257584000000.0,44660676000000.0,39746090000000.0,42021792000000.0,35839132000000.0,38210483000000.0,38076068000000.0,39028187000000.0
2079.0,43801140000000.0,43037900000000.0,40238820000000.0,44571132000000.0,39575710000000.0,41917390000000.0,35651920000000.0,38113305000000.0,38060893000000.0,38860256000000.0
2080.0,43839134000000.0,43036667000000.0,40268124000000.0,44534055000000.0,39396485000000.0,41884860000000.0,35418830000000.0,37888910000000.0,38025824000000.0,38746448000000.0
2081.0,43884613000000.0,43001890000000.0,40216564000000.0,44554110000000.0,39146307000000.0,41782670000000.0,35205763000000.0,37723394000000.0,37916642000000.0,38655010000000.0
2082.0,43907572000000.0,42971840000000.0,40091456000000.0,44604154000000.0,39040573000000.0,41725700000000.0,35042586000000.0,37641420000000.0,37900624000000.0,38503103000000.0
2083.0,43942310000000.0,42987270000000.0,39926825000000.0,44602680000000.0,38851276000000.0,41680833000000.0,34805880000000.0,37462920000000.0,37862480000000.0,38408743000000.0
2084.0,43922640000000.0,42910420000000.0,39730343000000.0,44636680000000.0,38743063000000.0,41649940000000.0,34702132000000.0,37300290000000.0,37721430000000.0,38302313000000.0
2085.0,43955903000000.0,42931070000000.0,39681585000000.0,44659560000000.0,38630410000000.0,41545680000000.0,34560817000000.0,37170136000000.0,37587870000000.0,38197938000000.0
2086.0,43980075000000.0,42917400000000.0,39645744000000.0,44668990000000.0,38491774000000.0,41424760000000.0,34358505000000.0,37002146000000.0,37465507000000.0,38176584000000.0
2087.0,44027576000000.0,42957562000000.0,39661204000000.0,44685310000000.0,38396982000000.0,41348548000000.0,34150768000000.0,36754860000000.0,37356267000000.0,38010863000000.0
2088.0,44068100000000.0,42990022000000.0,39618544000000.0,44711197000000.0,38223103000000.0,41262070000000.0,33968230000000.0,36587656000000.0,37351896000000.0,38034188000000.0
2089.0,44056692000000.0,43003630000000.0,39561020000000.0,44634550000000.0,38083395000000.0,41188887000000.0,33756786000000.0,36419830000000.0,37312415000000.0,37941783000000.0
2090.0,44032420000000.0,43012540000000.0,39459958000000.0,44590044000000.0,38023815000000.0,41177852000000.0,33639792000000.0,36265090000000.0,37204957000000.0,37828734000000.0
2091.0,44068516000000.0,42971072000000.0,39455420000000.0,44545694000000.0,37941840000000.0,41157195000000.0,33430640000000.0,36142238000000.0,37096165000000.0,37753730000000.0
2092.0,44122967000000.0,42990903000000.0,39372630000000.0,44427993000000.0,37826582000000.0,41103670000000.0,33317387000000.0,35953330000000.0,36949054000000.0,37700564000000.0
2093.0,44095892000000.0,42941305000000.0,39402200000000.0,44287283000000.0,37609590000000.0,41024020000000.0,33136904000000.0,35827600000000.0,36815726000000.0,37557720000000.0
2094.0,44112920000000.0,43002043000000.0,39341703000000.0,44298494000000.0,37587810000000.0,40992145000000.0,32993220000000.0,35641220000000.0,36625057000000.0,37446820000000.0
2095.0,44075450000000.0,42970594000000.0,39306048000000.0,44236536000000.0,37554695000000.0,40969050000000.0,32740440000000.0,35475130000000.0,36501883000000.0,37400307000000.0
2096.0,44039210000000.0,42925740000000.0,39331120000000.0,44191170000000.0,37513750000000.0,40955244000000.0,32562032000000.0,35252722000000.0,36426675000000.0,37264537000000.0
2097.0,44065354000000.0,42819970000000.0,39227760000000.0,44161020000000.0,37471442000000.0,40868460000000.0,32374499000000.0,35116074000000.0,36332490000000.0,37166273000000.0
2098.0,44082798000000.0,42775680000000.0,39223457000000.0,44132420000000.0,37368320000000.0,40824096000000.0,32209247000000.0,34908576000000.0,36211054000000.0,37066117000000.0
2099.0,44118350000000.0,42668734000000.0,39148468000000.0,44092378000000.0,37351510000000.0,40714890000000.0,32092279000000.0,34716053000000.0,36118607000000.0,36977440000000.0
2100.0,44150037000000.0,42624493000000.0,39019970000000.0,43916860000000.0,37317767000000.0,40537070000000.0,31990140000000.0,34549400000000.0,35981437000000.0,36935196000000.0
