time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2024.0,44714317000000.0,44425196000000.0,44490040000000.0,44702680000000.0,44241342000000.0,44168030000000.0,44523330000000.0,44536950000000.0,44553655000000.0,44651193000000.0
2025.0,44813332000000.0,44288373000000.0,44422016000000.0,44705367000000.0,44106374000000.0,43957938000000.0,44325157000000.0,44515813000000.0,44534185000000.0,44561030000000.0
2026.0,44889128000000.0,44215620000000.0,44426005000000.0,44666985000000.0,44000925000000.0,43830494000000.0,44328940000000.0,44444565000000.0,44426680000000.0,44543546000000.0
2027.0,44955420000000.0,44118676000000.0,44279708000000.0,44598760000000.0,43862056000000.0,43722060000000.0,44264675000000.0,44327653000000.0,44373543000000.0,44529310000000.0
2028.0,44906510000000.0,44049760000000.0,44258325000000.0,44529713000000.0,43634580000000.0,43629010000000.0,44246862000000.0,44260875000000.0,44343660000000.0,44436134000000.0
2029.0,44910770000000.0,43960050000000.0,44178960000000.0,44468867000000.0,43433490000000.0,43640936000000.0,44142902000000.0,44132000000000.0,44315220000000.0,44383353000000.0
2030.0,44871410000000.0,43819860000000.0,44082730000000.0,44445534000000.0,43391874000000.0,43624193000000.0,43884957000000.0,44020140000000.0,44291880000000.0,44428190000000.0
2031.0,44843087000000.0,43733794000000.0,44011847000000.0,44424430000000.0,43297515000000.0,43568200000000.0,43644080000000.0,44028616000000.0,44209600000000.0,44317226000000.0
2032.0,44716947000000.0,43658870000000.0,43949163000000.0,44405214000000.0,43162932000000.0,43460107000000.0,43453810000000.0,43930010000000.0,44176905000000.0,44167477000000.0
2033.0,44774086000000.0,43525983000000.0,43882390000000.0,44383800000000.0,42986923000000.0,43378080000000.0,43293370000000.0,43754910000000.0,44156953000000.0,43949452000000.0
2034.0,44775735000000.0,43413850000000.0,43733114000000.0,44189780000000.0,42872133000000.0,43332230000000.0,43116996000000.0,43755508000000.0,43934960000000.0,43832024000000.0
2035.0,44746844000000.0,43324526000000.0,43657328000000.0,44025067000000.0,42703593000000.0,43156414000000.0,42960863000000.0,43690454000000.0,43810450000000.0,43798070000000.0
2036.0,44590204000000.0,43206452000000.0,43590114000000.0,43951010000000.0,42528870000000.0,43014950000000.0,42846464000000.0,43610890000000.0,43707064000000.0,43774927000000.0
2037.0,44577046000000.0,43107672000000.0,43465170000000.0,43869390000000.0,42379273000000.0,42847995000000.0,42689593000000.0,43625044000000.0,43536460000000.0,43655474000000.0
2038.0,44557070000000.0,43002395000000.0,43367460000000.0,43803080000000.0,42116328000000.0,42693523000000.0,42559603000000.0,43572610000000.0,43446753000000.0,43502700000000.0
2039.0,44621130000000.0,42911077000000.0,43289227000000.0,43721618000000.0,41999978000000.0,42497110000000.0,42510114000000.0,43505536000000.0,43345840000000.0,43457385000000.0
2040.0,44537560000000.0,42783030000000.0,43276690000000.0,43634650000000.0,41856826000000.0,42251200000000.0,42320544000000.0,43412724000000.0,43389395000000.0,43415106000000.0
2041.0,44561267000000.0,42685423000000.0,43132980000000.0,43554894000000.0,41660168000000.0,42124950000000.0,42080010000000.0,43168393000000.0,43395840000000.0,43323285000000.0
2042.0,44559887000000.0,42751940000000.0,43021672000000.0,43491283000000.0,41531428000000.0,41870235000000.0,41896483000000.0,43126060000000.0,43380508000000.0,43303056000000.0
