time,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R
2000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0
2001.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0
2002.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0
2003.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0
2004.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0
2005.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0
2006.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0
2007.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0
2008.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0
2009.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0
2010.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0
2011.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0
2012.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0
2013.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0
2014.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0
2015.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0
2016.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0
2017.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0
2018.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0
2019.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0
2020.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0
2021.0,134642070000.0,135237796000.0,134579520000.0,134647860000.0,134809590000.0,134750120000.0,134667150000.0,134822625000.0,135126080000.0,134540650000.0
2022.0,135023330000.0,134963100000.0,134508110000.0,134560410000.0,134492780000.0,134842780000.0,134547464000.0,134782500000.0,135082450000.0,134694230000.0
2023.0,135361600000.0,134549850000.0,134350650000.0,134527910000.0,134441200000.0,134507220000.0,134247080000.0,134519690000.0,134946060000.0,134629106000.0
2024.0,136576580000.0,134651240000.0,134611710000.0,134132980000.0,134647010000.0,134402564000.0,134240330000.0,134586204000.0,135623205000.0,134757850000.0
2025.0,136571175000.0,135078260000.0,134462830000.0,134423790000.0,134207560000.0,134008630000.0,133823110000.0,134241780000.0,135304905000.0,134393450000.0
2026.0,137109720000.0,135147500000.0,134644530000.0,134225250000.0,133715630000.0,133814256000.0,133779850000.0,134384976000.0,135075540000.0,134302425000.0
2027.0,135768760000.0,134767650000.0,134271040000.0,133678110000.0,133836620000.0,133851310000.0,133718040000.0,134076430000.0,135126660000.0,134137250000.0
2028.0,137115320000.0,134478350000.0,134027280000.0,133526850000.0,133967990000.0,134162700000.0,133687680000.0,133833290000.0,134387740000.0,134000810000.0
2029.0,138064350000.0,135358510000.0,134873580000.0,133744080000.0,133580270000.0,134037900000.0,133470240000.0,133856740000.0,134931940000.0,133951860000.0
2030.0,137451930000.0,134770090000.0,133910040000.0,133318490000.0,133636006000.0,134108720000.0,133786255000.0,133767470000.0,134561956000.0,133764960000.0
2031.0,138932780000.0,134229000000.0,133669580000.0,133432430000.0,133568100000.0,133591450000.0,133559810000.0,133278065000.0,135324970000.0,133744180000.0
2032.0,136660520000.0,134528336000.0,133469815000.0,133236180000.0,133651220000.0,133297504000.0,133252910000.0,133214900000.0,134264906000.0,133653594000.0
2033.0,135935230000.0,134288550000.0,133423460000.0,132969456000.0,133273120000.0,133262820000.0,133170160000.0,133114700000.0,133808510000.0,133531680000.0
2034.0,135248270000.0,134768160000.0,133174170000.0,133051154000.0,133164650000.0,133635285000.0,133286216000.0,133350030000.0,133582430000.0,133476990000.0
2035.0,134778030000.0,134261940000.0,132997790000.0,132796720000.0,132967140000.0,133497240000.0,132944314000.0,132741070000.0,133577560000.0,133231395000.0
2036.0,134705640000.0,135297565000.0,132929340000.0,133287320000.0,132744780000.0,133094170000.0,132741910000.0,132604355000.0,133244660000.0,133204690000.0
2037.0,134557204000.0,134611780000.0,133219360000.0,132692050000.0,132709910000.0,132924290000.0,132585630000.0,132606410000.0,133035340000.0,133155180000.0
2038.0,134339480000.0,133950670000.0,132842725000.0,132508440000.0,132736070000.0,132852890000.0,132523430000.0,132206230000.0,133091850000.0,133458870000.0
2039.0,134153740000.0,133886570000.0,132717780000.0,132322140000.0,132726160000.0,132448985000.0,133141630000.0,132151350000.0,133344805000.0,133128240000.0
2040.0,135020240000.0,133674450000.0,132611826000.0,133182710000.0,132492526000.0,132214930000.0,132930020000.0,131841040000.0,132817510000.0,133115460000.0
2041.0,134995120000.0,133502680000.0,132755730000.0,132286415000.0,132465934000.0,132044070000.0,132798054000.0,131854850000.0,132582410000.0,133081380000.0
2042.0,136521860000.0,133247020000.0,132180935000.0,132038435000.0,132129580000.0,132354564000.0,132681590000.0,131642610000.0,132481050000.0,133178660000.0
2043.0,135643500000.0,133241680000.0,132004760000.0,132000270000.0,131913580000.0,132040110000.0,132238040000.0,131457520000.0,132527330000.0,132724680000.0
2044.0,135049036000.0,133384900000.0,131898640000.0,131795920000.0,131821470000.0,131593994000.0,132041785000.0,131359920000.0,132377210000.0,132645260000.0
