time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0
2001.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0
2002.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0
2003.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0
2004.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0
2005.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0
2006.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0
2007.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0
2008.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0
2009.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0
2010.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0
2011.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0
2012.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0
2013.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0
2014.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0
2015.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0
2016.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0
2017.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0
2018.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0
2019.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0
2020.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0
2021.0,134609810000.0,134830280000.0,134622810000.0,135846820000.0,134687460000.0,134748090000.0,135463000000.0,134762100000.0,134493040000.0,135046046000.0
2022.0,134732130000.0,134546784000.0,134756790000.0,135399270000.0,134654290000.0,134783980000.0,135227900000.0,134675580000.0,134581280000.0,134696630000.0
2023.0,134910610000.0,134343600000.0,134632430000.0,135301500000.0,134572440000.0,134486410000.0,134906490000.0,134575670000.0,134889120000.0,134786500000.0
2024.0,138924110000.0,134311020000.0,135174750000.0,134916850000.0,134246400000.0,134034740000.0,134941580000.0,134283490000.0,134719410000.0,134329860000.0
2025.0,138836570000.0,134124740000.0,134512886000.0,134680430000.0,134705020000.0,133854210000.0,134758010000.0,134515000000.0,134781250000.0,134247750000.0
2026.0,138079200000.0,134095940000.0,134368180000.0,134362620000.0,133844560000.0,134041130000.0,134679990000.0,134625520000.0,134252300000.0,134087110000.0
2027.0,137927480000.0,133814680000.0,134208365000.0,134144330000.0,133928600000.0,133606320000.0,134225950000.0,133931300000.0,134530420000.0,134367240000.0
2028.0,135530610000.0,133722230000.0,134917180000.0,134095766000.0,133739766000.0,133763250000.0,134238790000.0,133931710000.0,134435610000.0,133772210000.0
2029.0,135569580000.0,133599340000.0,134266410000.0,134005640000.0,133765530000.0,133795955000.0,133736850000.0,133845770000.0,134433440000.0,133823930000.0
2030.0,134693315000.0,133504480000.0,133949650000.0,134399810000.0,133626150000.0,133582045000.0,133466550000.0,133701040000.0,134216470000.0,134525360000.0
2031.0,134522315000.0,133485715000.0,133851280000.0,134166420000.0,133269970000.0,133720020000.0,133164245000.0,133825430000.0,133785410000.0,133682610000.0
2032.0,134239370000.0,133569765000.0,133386190000.0,134556450000.0,133265550000.0,133429910000.0,133334860000.0,133550260000.0,134156780000.0,133441410000.0
2033.0,135139770000.0,133403860000.0,133482350000.0,133738230000.0,133082055000.0,133110110000.0,133098860000.0,133275750000.0,134261735000.0,133395775000.0
2034.0,134694085000.0,133277330000.0,133282980000.0,133560330000.0,133001670000.0,133030000000.0,133076360000.0,133600900000.0,133411590000.0,133128850000.0
2035.0,134365110000.0,133627036000.0,133177270000.0,133353830000.0,132995195000.0,132695870000.0,133295320000.0,133226060000.0,133427500000.0,133399590000.0
2036.0,134288010000.0,133385720000.0,133165695000.0,133269200000.0,132646260000.0,132540285000.0,132889756000.0,133115210000.0,133443170000.0,133046220000.0
2037.0,134164636000.0,133239490000.0,133121990000.0,133187265000.0,132683240000.0,132655480000.0,132774250000.0,133654380000.0,133094375000.0,133046360000.0
2038.0,134225895000.0,133118560000.0,132871220000.0,133285530000.0,132443170000.0,132205030000.0,132562690000.0,133580330000.0,133044490000.0,132929060000.0
2039.0,134425500000.0,132772940000.0,132967770000.0,133063220000.0,132284270000.0,131910795000.0,132956004000.0,133254970000.0,132996490000.0,132919090000.0
2040.0,133786665000.0,132865490000.0,132787134000.0,133136480000.0,132224650000.0,131934630000.0,132371825000.0,133145420000.0,133378270000.0,132587470000.0
2041.0,133950915000.0,132617200000.0,132597690000.0,133092460000.0,131991790000.0,131672605000.0,132042740000.0,132831940000.0,133972410000.0,132472050000.0
2042.0,133823275000.0,133253235000.0,132401730000.0,132809780000.0,131723330000.0,131428990000.0,131817120000.0,132737990000.0,133398540000.0,132303720000.0
2043.0,133819245000.0,132361140000.0,132368090000.0,132809900000.0,131621100000.0,131443170000.0,131552980000.0,132765020000.0,132999800000.0,132230810000.0
2044.0,134315426000.0,132250830000.0,132205280000.0,133121110000.0,131376630000.0,131129690000.0,131286610000.0,132458370000.0,132490310000.0,132223345000.0
