time,GFDL-CM3,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0
2001.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0
2002.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0
2003.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0
2004.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0
2005.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0
2006.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0
2007.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0
2008.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0
2009.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0
2010.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0
2011.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0
2012.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0
2013.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0
2014.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0
2015.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0
2016.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0
2017.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0
2018.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0
2019.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0
2020.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0
2021.0,135780750000.0,135083336000.0,134818740000.0,135023930000.0,135014390000.0,134924140000.0,134742120000.0,134573610000.0
2022.0,134780710000.0,134967350000.0,134754280000.0,134657245000.0,135086770000.0,134643420000.0,134654660000.0,134593765000.0
2023.0,134882340000.0,134777550000.0,134505890000.0,134554050000.0,134439540000.0,134541050000.0,134674014000.0,134674500000.0
2024.0,134825310000.0,134854240000.0,134563684000.0,134392365000.0,134426440000.0,134346620000.0,134487835000.0,134683160000.0
2025.0,134849634000.0,134692585000.0,135128790000.0,134683930000.0,134254760000.0,134176965000.0,134253260000.0,134274105000.0
2026.0,135563280000.0,134311220000.0,134781780000.0,134856884000.0,134446410000.0,134143140000.0,134265780000.0,133842740000.0
2027.0,136173740000.0,134405530000.0,134575145000.0,135208550000.0,133868430000.0,134113460000.0,134188770000.0,134611804000.0
2028.0,138125640000.0,133998750000.0,134534380000.0,135375750000.0,133880594000.0,134616040000.0,133782580000.0,134177374000.0
2029.0,137187600000.0,134095870000.0,134230200000.0,134805094000.0,133889020000.0,134625530000.0,133702910000.0,134651310000.0
2030.0,135970390000.0,133649340000.0,133908660000.0,134097715000.0,133778640000.0,134215640000.0,133941010000.0,133969080000.0
2031.0,136310200000.0,133631650000.0,133935686000.0,134141624000.0,133678055000.0,134575660000.0,133552890000.0,134058760000.0
2032.0,136341370000.0,135336120000.0,133768860000.0,133826740000.0,133715030000.0,133878160000.0,133460320000.0,133798560000.0
2033.0,137218400000.0,133811780000.0,133721694000.0,133709880000.0,133239040000.0,133587150000.0,133495740000.0,133525860000.0
2034.0,137582900000.0,133328640000.0,133549450000.0,133805990000.0,133073035000.0,133344490000.0,133398454000.0,133422555000.0
2035.0,136077890000.0,133210020000.0,133484530000.0,133964145000.0,132982730000.0,133644124000.0,133131076000.0,133331320000.0
2036.0,135518950000.0,133484100000.0,133467200000.0,133698140000.0,133051170000.0,133601090000.0,133111650000.0,133181776000.0
2037.0,136179565000.0,132548395000.0,133068734000.0,133545180000.0,133013240000.0,133303116000.0,133217100000.0,132754530000.0
2038.0,138319630000.0,132606690000.0,133228280000.0,134052490000.0,132814050000.0,133170020000.0,133129175000.0,133010100000.0
2039.0,137260160000.0,132387950000.0,132926900000.0,133815660000.0,132624960000.0,133171110000.0,133290760000.0,133505370000.0
2040.0,136192750000.0,132380975000.0,133085990000.0,133689870000.0,132808680000.0,134107865000.0,133108020000.0,133392330000.0
2041.0,135681016000.0,132512550000.0,132903740000.0,133271740000.0,132644920000.0,133032020000.0,132994790000.0,133853610000.0
2042.0,135093310000.0,132124656000.0,132599865000.0,133097630000.0,132675270000.0,132706970000.0,132673570000.0,133196005000.0
2043.0,134908750000.0,132206854000.0,132570780000.0,133156930000.0,132304250000.0,133032380000.0,132328900000.0,132662010000.0
2044.0,135253020000.0,132375710000.0,132785160000.0,133714440000.0,132099350000.0,132728726000.0,132228140000.0,132587030000.0
2045.0,134739290000.0,131954150000.0,132315185000.0,133112210000.0,132113100000.0,132921740000.0,132438760000.0,132442930000.0
2046.0,135282655000.0,131753490000.0,132320070000.0,133053400000.0,131892300000.0,132819850000.0,132090634000.0,132311210000.0
2047.0,134829340000.0,131423320000.0,132198430000.0,132941730000.0,131808960000.0,132547810000.0,132095280000.0,132528546000.0
2048.0,134681920000.0,131472860000.0,132339294000.0,133080350000.0,131478710000.0,132313450000.0,131777480000.0,133084730000.0
2049.0,134464430000.0,131164800000.0,132198890000.0,132842410000.0,131300155000.0,132235180000.0,131624860000.0,132377820000.0
2050.0,134526984000.0,130838946000.0,131986390000.0,132762890000.0,131193635000.0,132148570000.0,131480945000.0,132037490000.0
2051.0,134427910000.0,130827890000.0,131889830000.0,133651400000.0,131021320000.0,131931680000.0,131294855000.0,132301830000.0
2052.0,134551495000.0,130322730000.0,131698850000.0,133518590000.0,130812300000.0,131944800000.0,130976260000.0,131853680000.0
2053.0,134501230000.0,130221620000.0,131462550000.0,132778000000.0,130736390000.0,131512205000.0,130873990000.0,131677880000.0
2054.0,134193850000.0,129821430000.0,131697930000.0,133447720000.0,130484070000.0,131691620000.0,130694280000.0,131310125000.0
2055.0,134249360000.0,129744570000.0,130961790000.0,133229910000.0,130273410000.0,131337460000.0,130411545000.0,131482070000.0
2056.0,133959610000.0,129394680000.0,131395486000.0,133058240000.0,130101610000.0,131574820000.0,130245940000.0,131177490000.0
2057.0,134106870000.0,129238670000.0,131040290000.0,132610810000.0,129995900000.0,131441385000.0,130264040000.0,130839070000.0
2058.0,134333500000.0,128857145000.0,130754240000.0,132532560000.0,129939790000.0,131275830000.0,129939800000.0,130548376000.0
2059.0,134679280000.0,128567800000.0,130638630000.0,132432530000.0,129676080000.0,130975810000.0,129789180000.0,130361950000.0
2060.0,134245370000.0,128030520000.0,130623940000.0,132529970000.0,129542220000.0,130958320000.0,129628030000.0,130014716000.0
2061.0,134154940000.0,127706415000.0,130460890000.0,132584866000.0,129178590000.0,130998280000.0,129383055000.0,130196636000.0
2062.0,137385840000.0,127578810000.0,130165830000.0,132281870000.0,129231315000.0,130635890000.0,130073380000.0,130068595000.0
2063.0,135494615000.0,127092720000.0,130130280000.0,132068370000.0,128740610000.0,130528910000.0,128876340000.0,130255430000.0
2064.0,135636880000.0,127032750000.0,130294000000.0,132204820000.0,128680436000.0,131651480000.0,128470780000.0,129747370000.0
2065.0,135476950000.0,127320470000.0,129906560000.0,131986880000.0,128589170000.0,130919000000.0,128084590000.0,130264540000.0
2066.0,136114470000.0,126081470000.0,129600730000.0,131765450000.0,128463230000.0,130699460000.0,128313400000.0,129392710000.0
2067.0,135222430000.0,125599920000.0,129427570000.0,131896500000.0,127988924000.0,130134030000.0,127822970000.0,129207770000.0
2068.0,135158290000.0,125156300000.0,129683090000.0,131777750000.0,127713810000.0,130099530000.0,127135330000.0,129489810000.0
2069.0,134355310000.0,124794050000.0,129988650000.0,131485750000.0,127261410000.0,129890070000.0,126846070000.0,129041260000.0
2070.0,134013760000.0,124489610000.0,129281820000.0,131433420000.0,127078540000.0,130265580000.0,126463600000.0,128690210000.0
2071.0,133976556000.0,124029610000.0,129462400000.0,131634274000.0,127175580000.0,129563165000.0,126187490000.0,128506610000.0
2072.0,133898390000.0,123626920000.0,128811975000.0,131261230000.0,126643750000.0,129359890000.0,125766530000.0,128280320000.0
2073.0,133870625000.0,123007860000.0,128719480000.0,131084000000.0,126501030000.0,129129410000.0,125418190000.0,128239530000.0
2074.0,133631040000.0,122394470000.0,128131270000.0,130917620000.0,126072504000.0,129566860000.0,125075850000.0,128177710000.0
2075.0,133671430000.0,122091780000.0,127650260000.0,130776350000.0,125754290000.0,129101110000.0,124713570000.0,128146964000.0
2076.0,134204600000.0,121744744000.0,127397405000.0,130618230000.0,125455655000.0,128676810000.0,124385935000.0,127483270000.0
2077.0,133803745000.0,121116270000.0,127272540000.0,130488705000.0,125195430000.0,128493310000.0,124173590000.0,127377056000.0
2078.0,133855440000.0,120657680000.0,127243530000.0,130398360000.0,125003990000.0,128158230000.0,123577900000.0,127221790000.0
2079.0,133492230000.0,120110940000.0,127093010000.0,130276200000.0,124617425000.0,127957170000.0,123157135000.0,127187330000.0
2080.0,133554640000.0,119593116000.0,127062260000.0,130250670000.0,124427300000.0,127909540000.0,123016890000.0,126641640000.0
2081.0,133678380000.0,119086770000.0,126829126000.0,130321000000.0,124067470000.0,127911270000.0,122079870000.0,126605640000.0
2082.0,133471580000.0,118421275000.0,126548570000.0,129922280000.0,123911530000.0,127569950000.0,121690830000.0,126461755000.0
2083.0,133677500000.0,117827620000.0,126523380000.0,129738730000.0,123167190000.0,127394050000.0,120900540000.0,125984500000.0
2084.0,133941625000.0,117404700000.0,126212140000.0,129421754000.0,122665370000.0,127227370000.0,120512240000.0,125811370000.0
2085.0,133270720000.0,116775076000.0,125924620000.0,129792740000.0,122688590000.0,127102850000.0,119976390000.0,125521180000.0
2086.0,134249820000.0,116284550000.0,125824025000.0,129548800000.0,122266440000.0,126816930000.0,119347134000.0,125598610000.0
2087.0,133828840000.0,115606330000.0,125627210000.0,129275530000.0,121973960000.0,126563640000.0,118731510000.0,125268886000.0
2088.0,133599580000.0,114934430000.0,125237210000.0,128781754000.0,121543040000.0,126668320000.0,118181110000.0,124881190000.0
2089.0,133068200000.0,114491450000.0,124959530000.0,128855564000.0,121066520000.0,126149920000.0,117615485000.0,125013705000.0
2090.0,133147435000.0,113929650000.0,124568570000.0,128768830000.0,120633960000.0,126081570000.0,116936610000.0,124174930000.0
2091.0,132865460000.0,113230450000.0,124413160000.0,128742070000.0,119896300000.0,125832670000.0,116103274000.0,124044390000.0
2092.0,132681466000.0,112566920000.0,124085360000.0,128507625000.0,119440420000.0,126064330000.0,115408260000.0,123621150000.0
2093.0,132629870000.0,111916440000.0,123802610000.0,128453240000.0,118812670000.0,125514850000.0,114715730000.0,123535560000.0
2094.0,132483440000.0,110999570000.0,123518590000.0,128086070000.0,118236004000.0,125365950000.0,113973810000.0,123233060000.0
2095.0,132524600000.0,110474805000.0,123209780000.0,128005040000.0,117797010000.0,125195780000.0,113270420000.0,122651420000.0
2096.0,132446010000.0,109961990000.0,122968015000.0,128069320000.0,117200716000.0,124894314000.0,112757785000.0,122745450000.0
2097.0,132490650000.0,109017230000.0,122644685000.0,127706770000.0,116704035000.0,124440980000.0,112156190000.0,122456150000.0
2098.0,132369370000.0,108438270000.0,122280870000.0,127598410000.0,116100120000.0,124189810000.0,111733410000.0,121986890000.0
2099.0,132505990000.0,107551970000.0,121828600000.0,127474860000.0,115607060000.0,123764834000.0,111023230000.0,121601060000.0
2100.0,132093980000.0,106467760000.0,121904560000.0,127609210000.0,115145600000.0,123742765000.0,110273660000.0,121374070000.0
