time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,CESM1-CAM5,CCSM4
2000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0
2001.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0
2002.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0
2003.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0
2004.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0
2005.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0
2006.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0
2007.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0
2008.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0
2009.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0
2010.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0
2011.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0
2012.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0
2013.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0
2014.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0
2015.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0
2016.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0
2017.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0
2018.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0
2019.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0
2020.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0
2021.0,134882160000.0,134767256000.0,134547554000.0,134704610000.0,134911615000.0,135506210000.0,134611740000.0,135107680000.0,134505595000.0,134475030000.0,134819490000.0
2022.0,134698610000.0,134693320000.0,134708700000.0,134499700000.0,135456390000.0,134986460000.0,135081010000.0,134613870000.0,134542710000.0,134429336000.0,134831570000.0
2023.0,134759310000.0,134480640000.0,134866910000.0,134679220000.0,134658420000.0,134521570000.0,134795350000.0,134391060000.0,134737986000.0,134312940000.0,134518390000.0
2024.0,134580570000.0,134920815000.0,134787660000.0,134447610000.0,134620690000.0,134514710000.0,135375070000.0,134568380000.0,134322260000.0,134291100000.0,134724714000.0
2025.0,134204190000.0,134786180000.0,134480630000.0,134673930000.0,133750840000.0,134280240000.0,134403785000.0,133988540000.0,134392970000.0,134258880000.0,134494500000.0
2026.0,134111740000.0,134686460000.0,134343710000.0,136077360000.0,133593160000.0,134337930000.0,134806170000.0,133809910000.0,134487140000.0,134163595000.0,134167405000.0
2027.0,134120410000.0,134180905000.0,134255215000.0,138259510000.0,133569530000.0,134282035000.0,134436300000.0,133807790000.0,134856360000.0,133673630000.0,134685340000.0
2028.0,134245660000.0,133978700000.0,134684510000.0,138391190000.0,133634840000.0,134664270000.0,134179250000.0,133727870000.0,135339500000.0,133476890000.0,133735340000.0
2029.0,134184640000.0,133892950000.0,133880150000.0,136771590000.0,133608140000.0,135666890000.0,133826010000.0,133494680000.0,134646860000.0,133707870000.0,133672730000.0
2030.0,134147840000.0,133910210000.0,133812860000.0,135586590000.0,133650050000.0,134596160000.0,133839920000.0,133482250000.0,134000730000.0,133542030000.0,133870700000.0
2031.0,133942665000.0,134201260000.0,133736235000.0,134976020000.0,133708644000.0,134672720000.0,133922456000.0,133197660000.0,133784500000.0,133487075000.0,133616800000.0
2032.0,133870354000.0,134278100000.0,133807460000.0,134986090000.0,134092325000.0,134481890000.0,133544100000.0,132996750000.0,133637890000.0,132972920000.0,133318950000.0
2033.0,133940760000.0,133848770000.0,133621060000.0,134735460000.0,134349650000.0,134883140000.0,133425940000.0,133017000000.0,133249100000.0,133028400000.0,133226840000.0
2034.0,133797800000.0,133530350000.0,133456660000.0,134450870000.0,133455450000.0,134768710000.0,133398530000.0,132950830000.0,133364320000.0,132840284000.0,133070680000.0
2035.0,134287510000.0,133555630000.0,133368370000.0,134695680000.0,133602830000.0,134073770000.0,133121155000.0,133126270000.0,133179015000.0,132444010000.0,133165830000.0
2036.0,133687530000.0,133584700000.0,133191246000.0,134253970000.0,133155365000.0,134746760000.0,133350060000.0,132696710000.0,133084340000.0,132788840000.0,132986910000.0
2037.0,133453160000.0,133494480000.0,133547030000.0,135110380000.0,133497600000.0,134314476000.0,133329180000.0,132972400000.0,132921920000.0,132755235000.0,132900810000.0
2038.0,133978170000.0,133179210000.0,133361300000.0,135215200000.0,133057820000.0,133951610000.0,133072600000.0,132983000000.0,132672220000.0,132739060000.0,132616340000.0
2039.0,134144295000.0,133364550000.0,133110280000.0,135158596000.0,132765350000.0,133875320000.0,133638060000.0,132304790000.0,133102120000.0,132138320000.0,132560770000.0
2040.0,134669600000.0,133701020000.0,133204090000.0,135436526000.0,132588130000.0,133613430000.0,132859220000.0,132271006000.0,132423720000.0,131926230000.0,132698940000.0
2041.0,134471190000.0,133283100000.0,133839910000.0,137345860000.0,132882700000.0,133574930000.0,133085240000.0,132008770000.0,132644020000.0,131641840000.0,132357370000.0
2042.0,134415310000.0,133167596000.0,133275075000.0,136269260000.0,132545880000.0,133814820000.0,132792110000.0,131912830000.0,132197430000.0,131208405000.0,132327170000.0
2043.0,133785440000.0,133040190000.0,133000530000.0,135552434000.0,133195500000.0,133353360000.0,132410370000.0,131887810000.0,131859210000.0,130986570000.0,132243310000.0
