time,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0
2021.0,693139335800.0,693091477600.0
2022.0,697998163940.0,691689074060.0
2023.0,691192827760.0,692369413010.0
2024.0,688967283400.0,691876749690.0
2025.0,686295992000.0,688847507060.0
2026.0,685719355100.0,690199408350.0
2027.0,683296342250.0,685054678040.0
2028.0,681778558900.0,683166804700.0
2029.0,680170987620.0,682257887300.0
2030.0,677997370360.0,680097687000.0
2031.0,675443140650.0,677204359300.0
2032.0,672493648340.0,675229140600.0
2033.0,670450448760.0,673050539600.0
2034.0,667353651360.0,669664739300.0
2035.0,665003041240.0,668207757040.0
2036.0,661114815600.0,665154114840.0
2037.0,657694329600.0,661837527200.0
2038.0,655473864700.0,660223987860.0
2039.0,653652211700.0,656160664570.0
2040.0,650810056650.0,654213303600.0
2041.0,646238937900.0,654490600190.0
2042.0,643154281150.0,649045071440.0
2043.0,640290675300.0,645352669270.0
2044.0,636848516950.0,641462679130.0
2045.0,633431142450.0,638096201640.0
2046.0,628879151080.0,634440693330.0
2047.0,625346876880.0,632064657000.0
2048.0,621378290010.0,627665748730.0
2049.0,617408602920.0,623238383200.0
2050.0,615979806020.0,620966152960.0
2051.0,610048578300.0,616355160490.0
2052.0,605574829130.0,611049846950.0
2053.0,602235615920.0,606862712130.0
2054.0,598777863480.0,602997238790.0
2055.0,594782847410.0,598607845710.0
2056.0,590632144000.0,594672375850.0
2057.0,587562314780.0,590797580940.0
2058.0,583863754930.0,587334982050.0
2059.0,579754870270.0,581999310310.0
2060.0,578178416730.0,577288575170.0
2061.0,572735232930.0,572934203790.0
2062.0,568774168910.0,568096323830.0
2063.0,564131366100.0,562521149580.0
2064.0,559990862740.0,558013614160.0
2065.0,556861898860.0,553012425790.0
2066.0,554274179360.0,548663837100.0
2067.0,550022898140.0,544031161940.0
2068.0,547059323820.0,539352141370.0
2069.0,544708083180.0,535103996740.0
2070.0,539460642890.0,530671428000.0
2071.0,536306365100.0,525914750270.0
2072.0,533066352020.0,520056864160.0
2073.0,529058839330.0,515121776850.0
2074.0,525483150590.0,510489136600.0
2075.0,521089152820.0,505898660480.0
2076.0,517412558920.0,500925023660.0
2077.0,515624327840.0,495624013040.0
2078.0,511221381920.0,490777659510.0
2079.0,505756189700.0,484951743290.0
2080.0,502423005160.0,479823828590.0
2081.0,501385994280.0,474835206680.0
2082.0,496797079600.0,469949028730.0
2083.0,494378578210.0,463653028820.0
2084.0,489573591350.0,459208561900.0
2085.0,486600111040.0,455378520930.0
2086.0,482788650980.0,449227856650.0
2087.0,482097922030.0,443812125840.0
2088.0,475134307990.0,438838802400.0
2089.0,471131777670.0,434506656480.0
2090.0,467855974650.0,428934667920.0
2091.0,463730335500.0,424500163460.0
2092.0,460287058820.0,419814317680.0
2093.0,460706882780.0,415053093860.0
2094.0,461875726870.0,411322383490.0
2095.0,452893678820.0,407181250330.0
2096.0,448525958910.0,401793245240.0
2097.0,445821147760.0,397357659430.0
2098.0,442592323750.0,393715043956.0
2099.0,438977018800.0,388181122760.0
2100.0,436790082560.0,383289818774.0
