time,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM
2000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0
2001.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0
2002.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0
2003.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0
2004.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0
2005.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0
2006.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0
2007.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0
2008.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0
2009.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0
2010.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0
2011.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0
2012.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0
2013.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0
2014.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0
2015.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0
2016.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0
2017.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0
2018.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0
2019.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0
2020.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0
2021.0,3574551300000.0,3571251400000.0,3567406800000.0,3571503600000.0,3561469800000.0,3577879200000.0,3555281900000.0,3575486000000.0,3575684000000.0,3588006300000.0,3569538600000.0,3585249000000.0,3582428700000.0
