time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2022.0,3522790400000.0,3563177000000.0,3545030700000.0,3549814600000.0,3567293600000.0,3532654400000.0,3539271000000.0,3603846100000.0,3572073800000.0,3553744700000.0,3546974000000.0,3556326800000.0,3552428400000.0,3559221600000.0
2023.0,3496586500000.0,3558992800000.0,3527197300000.0,3533214300000.0,3554929800000.0,3514277300000.0,3526127000000.0,3598364700000.0,3549253000000.0,3530472000000.0,3542007400000.0,3546542000000.0,3530917200000.0,3547071800000.0
2024.0,3466225500000.0,3540028500000.0,3504068000000.0,3503002700000.0,3550544400000.0,3496201000000.0,3505521700000.0,3585573400000.0,3539473500000.0,3504256800000.0,3535350500000.0,3530209000000.0,3512964500000.0,3527372000000.0
2025.0,3437315800000.0,3517143000000.0,3468044500000.0,3458973600000.0,3530824000000.0,3476388600000.0,3482189000000.0,3582749000000.0,3528249800000.0,3482453000000.0,3530313000000.0,3527774300000.0,3496204800000.0,3498378500000.0
2026.0,3399691000000.0,3497413800000.0,3438877000000.0,3420534300000.0,3506878300000.0,3443575200000.0,3471583500000.0,3572975000000.0,3523688300000.0,3454246300000.0,3528239600000.0,3525760300000.0,3480800200000.0,3477778500000.0
2027.0,3356491000000.0,3480211400000.0,3418918200000.0,3388088500000.0,3495529500000.0,3408166000000.0,3456005000000.0,3556482000000.0,3514709300000.0,3435025100000.0,3533888800000.0,3517797400000.0,3465296200000.0,3462488400000.0
2028.0,3327183800000.0,3474580600000.0,3384846600000.0,3353636500000.0,3466637300000.0,3394311600000.0,3445530600000.0,3539370800000.0,3510005100000.0,3401958600000.0,3526870200000.0,3516476400000.0,3449744800000.0,3439009500000.0
2029.0,3306726400000.0,3451869700000.0,3358373000000.0,3332376000000.0,3442099000000.0,3366871600000.0,3419861200000.0,3509254400000.0,3499810600000.0,3380326400000.0,3526050200000.0,3518575700000.0,3439441000000.0,3422137600000.0
2030.0,3268334000000.0,3437659000000.0,3337188000000.0,3309545000000.0,3419110600000.0,3338250500000.0,3401408300000.0,3484779000000.0,3479219700000.0,3356407400000.0,3512186700000.0,3516693500000.0,3426255400000.0,3404572700000.0
2031.0,3237949700000.0,3423796700000.0,3310409000000.0,3280058200000.0,3415222300000.0,3315690400000.0,3379091000000.0,3464831200000.0,3471840000000.0,3318462300000.0,3502341400000.0,3507829000000.0,3407228700000.0,3375737600000.0
2032.0,3218664300000.0,3393284500000.0,3284114000000.0,3254843000000.0,3401961400000.0,3290114600000.0,3349971000000.0,3460880100000.0,3448083800000.0,3283275700000.0,3486649400000.0,3516191700000.0,3386585400000.0,3347318300000.0
2033.0,3194353600000.0,3371295800000.0,3245585200000.0,3232597300000.0,3375059700000.0,3261174400000.0,3328704200000.0,3448955500000.0,3433417700000.0,3261371500000.0,3468905400000.0,3515043500000.0,3375874000000.0,3323242500000.0
2034.0,3166544300000.0,3354156300000.0,3215014200000.0,3204752900000.0,3354733800000.0,3239393000000.0,3292347500000.0,3435888600000.0,3419041200000.0,3236811200000.0,3473370800000.0,3501985400000.0,3356080500000.0,3292457900000.0
2035.0,3133621700000.0,3328522000000.0,3178346600000.0,3181291200000.0,3347435200000.0,3215845800000.0,3282459200000.0,3416519900000.0,3396505000000.0,3221914000000.0,3460277200000.0,3493170200000.0,3338940200000.0,3284974400000.0
2036.0,3097612000000.0,3309475700000.0,3142873800000.0,3146152000000.0,3321502000000.0,3181005500000.0,3261150500000.0,3392017000000.0,3388502400000.0,3200028200000.0,3459119300000.0,3482223000000.0,3312606000000.0,3267543700000.0
2037.0,3071899300000.0,3291155300000.0,3114139600000.0,3111781700000.0,3299740000000.0,3147130500000.0,3245988600000.0,3365695000000.0,3387077700000.0,3171631000000.0,3452124000000.0,3461368800000.0,3296589000000.0,3249267800000.0
2038.0,3041982700000.0,3263275700000.0,3071434000000.0,3093082100000.0,3274683200000.0,3112379600000.0,3226717000000.0,3335527900000.0,3357372000000.0,3130466800000.0,3453858300000.0,3452185000000.0,3274723300000.0,3242290000000.0
2039.0,3013413200000.0,3238587300000.0,3054747800000.0,3082720400000.0,3253937000000.0,3078447400000.0,3218365700000.0,3313326000000.0,3351422200000.0,3094723000000.0,3446978600000.0,3440491000000.0,3262138500000.0,3221205500000.0
2040.0,2983431000000.0,3211916200000.0,3023124800000.0,3075379300000.0,3247920400000.0,3047821100000.0,3194328000000.0,3296057600000.0,3336082800000.0,3062309600000.0,3428199700000.0,3431801000000.0,3253377000000.0,3200818600000.0
2041.0,2952292200000.0,3185155500000.0,2993970000000.0,3054976400000.0,3225952000000.0,3017586800000.0,3171178300000.0,3278339800000.0,3317989400000.0,3033156600000.0,3425510000000.0,3419358400000.0,3234858300000.0,3186416200000.0
2042.0,2925948300000.0,3163225000000.0,2964480900000.0,3046016800000.0,3209139800000.0,2982484000000.0,3150389700000.0,3255688800000.0,3286884200000.0,3001320200000.0,3405148000000.0,3406912800000.0,3217370000000.0,3183655500000.0
2043.0,2889273300000.0,3145835000000.0,2950523000000.0,3039354200000.0,3202327000000.0,2941314400000.0,3127809400000.0,3223680000000.0,3270665600000.0,2974939600000.0,3409753100000.0,3382339000000.0,3210018600000.0,3172233400000.0
2044.0,2856900400000.0,3122820500000.0,2921789400000.0,3030482200000.0,3174693900000.0,2917295200000.0,3106878500000.0,3187698000000.0,3238143500000.0,2950744800000.0,3403777800000.0,3372403000000.0,3194772000000.0,3159963000000.0
