time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0
2001.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0
2002.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0
2003.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0
2004.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0
2005.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0
2006.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0
2007.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0
2008.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0
2009.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0
2010.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0
2011.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0
2012.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0
2013.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0
2014.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0
2015.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0
2016.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0
2017.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0
2018.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0
2019.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0
2020.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0
2021.0,3567197600000.0,3570193100000.0,3586206200000.0,3544832500000.0,3562406000000.0,3572170800000.0,3569768500000.0,3558112500000.0,3557280700000.0,3572986800000.0,3557155000000.0,3595009300000.0,3558880600000.0,3571684000000.0,3559927800000.0,3573645600000.0,3562660200000.0
2022.0,3549143800000.0,3546934000000.0,3575403000000.0,3502381000000.0,3558007000000.0,3565668500000.0,3556178100000.0,3531331900000.0,3538508600000.0,3557951300000.0,3523824000000.0,3578176700000.0,3534885700000.0,3555413000000.0,3543215600000.0,3560928400000.0,3553833000000.0
