time,CESM1-CAM5,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
2012.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0
2013.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0
2014.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0
2015.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0
2016.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0
2017.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0
2018.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0
2019.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0
2020.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0
2021.0,28509460000.0,28216525000.0,28297843000.0,28268276000.0
2022.0,28341449000.0,28222720000.0,28282630000.0,28166349000.0
2023.0,28206494000.0,27991530000.0,28164385000.0,28019110000.0
2024.0,28287373000.0,27861713000.0,28063404000.0,27905884000.0
2025.0,28093338000.0,27696300000.0,27966409000.0,27945400000.0
2026.0,27930698000.0,27508940000.0,27871584000.0,27746656000.0
2027.0,27817163000.0,27374488000.0,27833563000.0,27708107000.0
2028.0,27738370000.0,27178066000.0,27660263000.0,27503143000.0
2029.0,27533169000.0,27084915000.0,27452560000.0,27412769000.0
2030.0,27468368000.0,27000793000.0,27367154000.0,27327257000.0
2031.0,27220658000.0,26804146000.0,27222794000.0,27199529000.0
2032.0,27038237000.0,26750497000.0,27106570000.0,27027436000.0
2033.0,26931476000.0,26451937000.0,27090135000.0,26838147000.0
2034.0,26789485000.0,26255176000.0,26879242000.0,26702709000.0
2035.0,26640780000.0,26006300000.0,26694525000.0,26471496000.0
2036.0,26459220000.0,25809545000.0,26810497000.0,26298692000.0
2037.0,26296873000.0,25514437000.0,26470390000.0,26205155000.0
2038.0,26090760000.0,25322992000.0,26426150000.0,25989782000.0
2039.0,25872335000.0,25128016000.0,26129373000.0,25760694000.0
2040.0,25762855000.0,24959982000.0,26139580000.0,25564355000.0
2041.0,25752592000.0,24741390000.0,25843458000.0,25461580000.0
2042.0,25481765000.0,24568832000.0,25715997000.0,25404610000.0
2043.0,25310568000.0,24368212000.0,25626827000.0,25195434000.0
2044.0,25195661000.0,24120912000.0,25477122000.0,25006225000.0
2045.0,25026769000.0,23979956000.0,25439064000.0,24837243000.0
2046.0,24825020000.0,23828890000.0,25161157000.0,24758390000.0
2047.0,24772956000.0,23662795000.0,25183146000.0,24670214000.0
2048.0,24417780000.0,23460872000.0,25018323000.0,24465164000.0
2049.0,24203442000.0,23326180000.0,24893075000.0,24430330000.0
2050.0,24322150000.0,23066882000.0,24647602000.0,24194871000.0
2051.0,23957494000.0,22906130000.0,24478855000.0,24044065000.0
2052.0,23716852000.0,22790478000.0,24347089000.0,23900180000.0
2053.0,23547722000.0,22562662000.0,24143130000.0,23758035000.0
2054.0,23406600000.0,22441794000.0,24034961000.0,23610016000.0
2055.0,23352828000.0,22242623000.0,23981412000.0,23494275000.0
2056.0,23146224000.0,21998356000.0,23786572000.0,23392244000.0
2057.0,22899405000.0,21766560000.0,23630156000.0,23266564000.0
2058.0,22719134000.0,21552392000.0,23599030000.0,23045302000.0
2059.0,22583171000.0,21317857000.0,23415490000.0,22898745000.0
2060.0,22629044000.0,21113754000.0,23324336000.0,22735337000.0
2061.0,22219231000.0,20832805000.0,23161037000.0,22764116000.0
2062.0,21997425000.0,20646134000.0,23393722000.0,22490180000.0
2063.0,21798017000.0,20474642000.0,23091160000.0,22450084000.0
2064.0,21681734000.0,20538220000.0,22808429000.0,22275370000.0
2065.0,21496238000.0,20905648000.0,22690950000.0,22114232000.0
2066.0,21366874000.0,20140080000.0,22520324000.0,22003153000.0
2067.0,21189097000.0,19904946000.0,22421592000.0,21884240000.0
2068.0,20947880000.0,19693150000.0,22344411000.0,21802440000.0
2069.0,20739785000.0,19520893000.0,22251012000.0,21657244000.0
2070.0,20548950000.0,19388627000.0,22127155000.0,21464875000.0
2071.0,20293396000.0,19114180000.0,22056542000.0,21341692000.0
2072.0,20171061000.0,18925937000.0,21961292000.0,21279838000.0
2073.0,20051556000.0,18756491000.0,21843765000.0,21201693000.0
2074.0,19873427000.0,18655599000.0,21974014000.0,21062216000.0
2075.0,19703593000.0,18515840000.0,21844556000.0,20946727000.0
2076.0,19563310000.0,18454174000.0,21615960000.0,20799290000.0
2077.0,19390376000.0,18309851000.0,21544075000.0,20738464000.0
2078.0,19196926000.0,18169248000.0,21457746000.0,21060078000.0
2079.0,19000721000.0,18034018000.0,21335100000.0,20732148000.0
2080.0,18911357000.0,17946685000.0,21279197000.0,20481657000.0
2081.0,18808700000.0,17782780000.0,21208277000.0,20380117000.0
2082.0,18628241000.0,17685172000.0,21063737000.0,20280254000.0
2083.0,18419073000.0,17536450000.0,20934390000.0,20226361000.0
2084.0,18228216000.0,17366045000.0,20931381000.0,20043219000.0
2085.0,18099479000.0,17240020000.0,20788363000.0,20110688000.0
2086.0,17932145000.0,17323504000.0,20611502000.0,20838416000.0
2087.0,17793890000.0,18294161000.0,20566692000.0,19899670000.0
2088.0,17665843000.0,17033265000.0,20486482000.0,19775304000.0
2089.0,17551170000.0,16868291000.0,20444269000.0,19629838000.0
2090.0,17506420000.0,16760061000.0,20283464000.0,19511298000.0
2091.0,17285984000.0,16634245000.0,20172448000.0,19488918000.0
2092.0,17143534000.0,16556451000.0,20053486000.0,19561423000.0
2093.0,17113055000.0,16440625000.0,19964924000.0,19301833000.0
2094.0,16938700000.0,16346557000.0,19899372000.0,19193303000.0
2095.0,16852080000.0,16242289000.0,19784020000.0,19095681000.0
2096.0,16788006000.0,16430924000.0,21154882000.0,18976184000.0
2097.0,16727624000.0,16120177000.0,20106410000.0,19267734000.0
2098.0,16567866000.0,15971127000.0,19698258000.0,18985640000.0
2099.0,16480538000.0,15890412000.0,19473463000.0,18938340000.0
2100.0,16376078000.0,15783069000.0,19407854000.0,18785130000.0
2101.0,16258440000.0,16043985000.0,19291822000.0,19043529000.0
2102.0,16189348000.0,16027781000.0,19237517000.0,18674538000.0
2103.0,16069014000.0,15702067000.0,19151206000.0,18555052000.0
2104.0,16134748000.0,15528429000.0,19138212000.0,18533657000.0
2105.0,15925377000.0,15444667000.0,18980522000.0,18452406000.0
2106.0,15853671000.0,15327733000.0,18931409000.0,18378301000.0
2107.0,15775849000.0,15234314000.0,18834070000.0,18294254000.0
2108.0,15640297000.0,15126575000.0,18756774000.0,18376720000.0
2109.0,15560059000.0,15047962000.0,18814423000.0,18184600000.0
2110.0,15458626000.0,15131546000.0,18593030000.0,18081140000.0
2111.0,15393633000.0,14955969000.0,18528608000.0,18074147000.0
2112.0,15313092000.0,14885793000.0,18449373000.0,17998262000.0
2113.0,15194164000.0,14806714000.0,18401649000.0,17991035000.0
2114.0,15237578000.0,14755240000.0,18325620000.0,17887398000.0
2115.0,15006321000.0,14651131000.0,18524588000.0,17845463000.0
2116.0,14916578000.0,14703592000.0,18586034000.0,17788328000.0
2117.0,14839936000.0,14628734000.0,18185992000.0,17715925000.0
2118.0,14856374000.0,14696907000.0,18212413000.0,17889182000.0
2119.0,14587856000.0,14516420000.0,18403738000.0,17751163000.0
2120.0,14631156000.0,14586837000.0,18157656000.0,17694230000.0
2121.0,14477740000.0,14449828000.0,18027442000.0,17557203000.0
2122.0,14408097000.0,15139188000.0,17979054000.0,17460163000.0
2123.0,14297787000.0,14350967000.0,17973563000.0,17393484000.0
2124.0,14226897000.0,14275531000.0,17894474000.0,19006423000.0
2125.0,14288710000.0,14148521000.0,17832714000.0,17407814000.0
2126.0,14059270000.0,14076441000.0,17787306000.0,17296398000.0
2127.0,13970292000.0,13984852000.0,17740298000.0,17212580000.0
2128.0,13878164000.0,13956400000.0,17703395000.0,17145698000.0
2129.0,13777224000.0,13920498000.0,17763977000.0,17104679000.0
2130.0,13684147000.0,14027137000.0,17555855000.0,17054151000.0
2131.0,13583625000.0,13846004000.0,17514793000.0,16965508000.0
2132.0,13523201000.0,13781860000.0,17462835000.0,17194093000.0
2133.0,13438330000.0,13708622000.0,17485707000.0,16896095000.0
2134.0,13527457000.0,13668225000.0,17325250000.0,16807505000.0
2135.0,13309061000.0,13573454000.0,17381886000.0,16767716000.0
2136.0,13257046000.0,13552664000.0,17213559000.0,17157745000.0
2137.0,13100559000.0,13457369000.0,17273268000.0,16913944000.0
2138.0,13068781000.0,13411335000.0,17112345000.0,16788785000.0
2139.0,13074202000.0,13358904000.0,17306143000.0,17039088000.0
2140.0,12918647000.0,13329792000.0,17055359000.0,16718181000.0
2141.0,12826477000.0,13197392000.0,16973125000.0,16573307000.0
2142.0,12717353000.0,13163344000.0,17043071000.0,16521291000.0
2143.0,12675142000.0,13098507000.0,17101736000.0,16383337000.0
2144.0,12614424000.0,13065140000.0,17268656000.0,16306815000.0
2145.0,12545326000.0,12981529000.0,16792680000.0,16325690000.0
2146.0,12729412000.0,12914524000.0,16747658000.0,16202717000.0
2147.0,12607281000.0,12896733000.0,16730360000.0,16107124000.0
2148.0,12434230000.0,12807222000.0,16594129000.0,16083827000.0
2149.0,12380863000.0,12701711000.0,16542964000.0,16013229000.0
2150.0,12330905000.0,12636685000.0,16761648000.0,15989617000.0
2151.0,12302122000.0,12604339000.0,16467042000.0,15970160000.0
2152.0,12324658000.0,12537132000.0,16390166000.0,15916222000.0
2153.0,12230065000.0,12488477000.0,16328884000.0,15843070000.0
2154.0,12153450000.0,12410497000.0,16229488000.0,15820539000.0
2155.0,12092606000.0,12349427000.0,16171645000.0,15810976000.0
2156.0,12057871000.0,12284338000.0,16140045000.0,15716335000.0
2157.0,12206526000.0,12226716000.0,16644528000.0,15965234000.0
2158.0,11962714000.0,12214072000.0,16348182000.0,15689186000.0
2159.0,11893453000.0,12277874000.0,16095657000.0,15636618000.0
2160.0,11902186000.0,12083326000.0,16011981000.0,15561672000.0
2161.0,11834440000.0,11977944000.0,16256423000.0,15541533000.0
2162.0,11770479000.0,11941150000.0,15964099000.0,15452594000.0
2163.0,11749830000.0,11878492000.0,16093825000.0,15391059000.0
2164.0,11704198000.0,11872621000.0,15884469000.0,15431463000.0
2165.0,11645083000.0,11815458000.0,15838455000.0,15288847000.0
2166.0,11611830000.0,11752250000.0,15800687000.0,15399023000.0
2167.0,11608095000.0,11674895000.0,15765249000.0,15158298000.0
2168.0,11528859000.0,11620850000.0,15804303000.0,15111506000.0
2169.0,11493640000.0,11584528000.0,15677851000.0,15087012000.0
2170.0,11572952000.0,11524370000.0,15645105000.0,15022577000.0
2171.0,11399727000.0,11493266000.0,15600837000.0,14990654000.0
2172.0,11349389000.0,11472566000.0,15567617000.0,14881504000.0
2173.0,11295053000.0,11423563000.0,15518271000.0,14826846000.0
