time,NORESM2-MM,FGOALS-F3-L,CESM2,GFDL-ESM4,CAMS-CSM1-0,INM-CM5-0,BCC-CSM2-MR,EC-EARTH3-VEG,INM-CM4-8,EC-EARTH3,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR,CESM2-WACCM
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2257821700.0,2253753600.0,2278691300.0,2331340000.0,2266459600.0,2252076000.0,2259462700.0,2243030000.0,2265093400.0,2223348500.0,2209943800.0,2452957200.0,2259757300.0,2242502700.0
2022.0,2293623000.0,2197471500.0,2222184700.0,2308037400.0,2291839500.0,2279846100.0,2254980400.0,2220287700.0,2266261800.0,2192004000.0,2174907400.0,2316724700.0,2317235700.0,2251843300.0
2023.0,2213973500.0,2199146200.0,2185666300.0,2251683000.0,2215893200.0,2264831200.0,2246800400.0,2189384000.0,2269976800.0,2153183500.0,2150009000.0,2316090000.0,2246426400.0,2235193900.0
2024.0,2183671800.0,2183615200.0,2168997400.0,2258532400.0,2224612900.0,2237415700.0,2259185000.0,2151175400.0,2208063700.0,2112001800.0,2117920000.0,2239668500.0,2252779300.0,2193236200.0
2025.0,2169566000.0,2145525000.0,2129616800.0,2316448000.0,2201873200.0,2232151600.0,2190299600.0,2164195600.0,2158248400.0,2054207000.0,2118364400.0,2211626200.0,2185283300.0,2162815200.0
2026.0,2143161100.0,2108842600.0,2107629300.0,2235756500.0,2160014800.0,2174720000.0,2165448000.0,2108051000.0,2144198100.0,2012471000.0,2076261400.0,2251109400.0,2151401200.0,2146827600.0
2027.0,2209229800.0,2085751600.0,2071362400.0,2208094500.0,2150915800.0,2159666700.0,2155102700.0,2153115000.0,2100868700.0,1973849500.0,2063566700.0,2204100400.0,2112173800.0,2119700500.0
2028.0,2145238700.0,2028663600.0,2088087300.0,2171424500.0,2187998200.0,2132524700.0,2128806400.0,2067928800.0,2079562500.0,1922002400.0,2039493400.0,2161239000.0,2095955600.0,2078117800.0
2029.0,2083939500.0,2014204800.0,2030360000.0,2144905900.0,2246964200.0,2083261800.0,2095642200.0,2049965800.0,2075472500.0,1871053400.0,2068300400.0,2154936000.0,2103263200.0,2052719000.0
2030.0,2116776300.0,2005386900.0,2014221000.0,2114724900.0,2279390500.0,2045561700.0,2045510300.0,1999507300.0,2021193300.0,1808741400.0,1944235500.0,2190810000.0,2030154200.0,2019381600.0
2031.0,2082606200.0,1931888000.0,1965686100.0,2112909000.0,2169020200.0,2024180000.0,2102504700.0,1959308000.0,1980285200.0,1736116900.0,1912047200.0,2157774300.0,2039111000.0,2005911400.0
2032.0,1984255200.0,1890029800.0,1937387800.0,2170954800.0,2182769200.0,1974997600.0,2008327200.0,1921328500.0,1952318700.0,1675839600.0,1878369400.0,2115732200.0,1952191700.0,2001566000.0
2033.0,1959738500.0,1880169600.0,1896882400.0,2060875600.0,2165093400.0,2029765900.0,1968951700.0,1966083800.0,1913729300.0,1600761700.0,1836342000.0,2135133400.0,1909194900.0,1939596300.0
2034.0,1906509600.0,1823340900.0,1859292500.0,2020094800.0,2287602400.0,1986342900.0,2035417700.0,1877978000.0,1872438500.0,1587139800.0,1811395500.0,2120115300.0,1865722400.0,1910998500.0
