time,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG
2085.0,38365693000000.0,41023066000000.0,36678140000000.0,36026056000000.0
2086.0,38313625000000.0,40979986000000.0,36587790000000.0,35941880000000.0
2087.0,38251690000000.0,40964510000000.0,36546703000000.0,35875980000000.0
2088.0,38154547000000.0,41017060000000.0,36489887000000.0,35836700000000.0
2089.0,38115630000000.0,40974430000000.0,36481977000000.0,35733740000000.0
2090.0,38103660000000.0,40934457000000.0,36325013000000.0,35657400000000.0
2091.0,38067927000000.0,40844527000000.0,36184570000000.0,35637533000000.0
2092.0,38057856000000.0,40796800000000.0,36041310000000.0,35606105000000.0
2093.0,38022890000000.0,40696620000000.0,35973845000000.0,35461687000000.0
2094.0,37915160000000.0,40605875000000.0,35765883000000.0,35428493000000.0
2095.0,37877912000000.0,40552270000000.0,35642820000000.0,35368615000000.0
2096.0,37819993000000.0,40494480000000.0,35457425000000.0,35259886000000.0
2097.0,37804126000000.0,40453540000000.0,35399167000000.0,35153796000000.0
2098.0,37724470000000.0,40464520000000.0,35219965000000.0,35057660000000.0
2099.0,37619620000000.0,40480960000000.0,35174862000000.0,34839525000000.0
2100.0,37548517000000.0,40447120000000.0,35147844000000.0,34757251000000.0
