time,IPSL-CM5A-LR,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,GISS-E2-R
2000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0
2001.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0
2002.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0
2003.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0
2004.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0
2005.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0
2006.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0
2007.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0
2008.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0
2009.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0
2010.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0
2011.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0
2012.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0
2013.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0
2014.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0
2015.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0
2016.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0
2017.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0
2018.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0
2019.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0
2020.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0
2021.0,72282790000.0,69100210000.0,72968050000.0,73759120000.0,71078390000.0,73212370000.0,73693010000.0,73182600000.0
2022.0,71157195000.0,67906310000.0,71486610000.0,72888930000.0,68518777000.0,71074200000.0,71003840000.0,72535660000.0
2023.0,67617520000.0,68490000000.0,68815050000.0,71400800000.0,65288937000.0,67636883000.0,70050200000.0,70741160000.0
2024.0,65087860000.0,67547492000.0,65066420000.0,69690510000.0,63564755000.0,65174483000.0,70139020000.0,70446640000.0
2025.0,63210050000.0,65654276000.0,61910200000.0,71674870000.0,59489014000.0,62064587000.0,71313736000.0,68507520000.0
2026.0,61057606000.0,66526490000.0,61459120000.0,72478930000.0,54754290000.0,60820664000.0,70220240000.0,66976256000.0
2027.0,60234900000.0,63941500000.0,59116863000.0,74802970000.0,52814880000.0,58888530000.0,68524390000.0,66795553000.0
2028.0,57983390000.0,59316777000.0,57914618000.0,72616530000.0,49740603000.0,56554836000.0,68897080000.0,65377595000.0
2029.0,56974066000.0,57480266000.0,57425252000.0,69674750000.0,47113140000.0,55384490000.0,67997640000.0,64913826000.0
2030.0,55314256000.0,57124413000.0,54865700000.0,70638800000.0,43498000000.0,54871757000.0,67703513000.0,64240808000.0
2031.0,53504123000.0,55280226000.0,53795980000.0,70739170000.0,42238910000.0,55177044000.0,64954794000.0,61733160000.0
2032.0,52860020000.0,52992890000.0,52391965000.0,68379857000.0,39224193000.0,52472828000.0,63223276000.0,61027420000.0
2033.0,48402870000.0,49973350000.0,53493980000.0,68186055000.0,37587673000.0,52045870000.0,61167505000.0,60872073000.0
2034.0,46745293000.0,50356330000.0,54096180000.0,67391963000.0,35726156000.0,54884196000.0,61297885000.0,59495625000.0
2035.0,45726690000.0,51503040000.0,53378620000.0,66715963000.0,34060734000.0,55463887000.0,60390785000.0,57831670000.0
2036.0,44918276000.0,50815242000.0,52339393000.0,64040247000.0,31949398000.0,55802420000.0,58438850000.0,56604210000.0
2037.0,45241827000.0,49887440000.0,53626757000.0,62296340000.0,32293601000.0,51197764000.0,55030825000.0,54231380000.0
2038.0,43318100000.0,50012580000.0,53075760000.0,59830792000.0,30692135000.0,48031900000.0,54947996000.0,51627730000.0
2039.0,40757158000.0,48200290000.0,52606194000.0,59578462000.0,29509110000.0,44652384000.0,53774893000.0,50122736000.0
2040.0,40796172000.0,44311958000.0,53493666000.0,57631870000.0,27271662000.0,44020410000.0,50180317000.0,49504465000.0
2041.0,41088926000.0,41676866000.0,53785110000.0,56177537000.0,27401974000.0,45170967000.0,49188140000.0,48997237000.0
2042.0,39395350000.0,42005123000.0,53493354000.0,56213844000.0,25990812000.0,45636436000.0,48657117000.0,47561750000.0
2043.0,39670120000.0,41247500000.0,52530190000.0,54546280000.0,23985308000.0,44303094000.0,48159007000.0,47373140000.0
2044.0,37902170000.0,39717458000.0,52919800000.0,53297336000.0,24147855000.0,40487950000.0,47220322000.0,46896740000.0
2045.0,36306166000.0,38245760000.0,52071710000.0,52471390000.0,23697015000.0,38565830000.0,47202124000.0,45844300000.0
2046.0,34476880000.0,36945203000.0,51211220000.0,51622756000.0,23229526000.0,37275075000.0,46134760000.0,44156383000.0
2047.0,30759932000.0,37246690000.0,50037727000.0,46749380000.0,22230342000.0,34238372000.0,43979580000.0,43364553000.0
2048.0,27522940000.0,36626063000.0,46052643000.0,45102862000.0,21307666000.0,32059263000.0,43014205000.0,43069690000.0
2049.0,27083682000.0,34635284000.0,42384530000.0,45338747000.0,20491946000.0,30003677000.0,42249376000.0,41148133000.0
2050.0,26268746000.0,32638230000.0,41160420000.0,45060870000.0,19603042000.0,27854596000.0,41669874000.0,38938284000.0
2051.0,25207302000.0,30882304000.0,41134140000.0,43364418000.0,18147498000.0,24587850000.0,38838133000.0,37755640000.0
2052.0,23647484000.0,30436475000.0,40979476000.0,40024060000.0,18083166000.0,23650350000.0,36296990000.0,38349380000.0
2053.0,22982685000.0,30742972000.0,38919156000.0,41279082000.0,17008376000.0,22924435000.0,36088164000.0,37621490000.0
