time,CANESM5,MRI-ESM2-0,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR
2000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0
2001.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0
2002.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0
2003.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0
2004.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0
2005.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0
2006.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0
2007.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0
2008.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0
2009.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0
2010.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0
2011.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0
2012.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0
2013.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0
2014.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0
2015.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0
2016.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0
2017.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0
2018.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0
2019.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0
2020.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0
2021.0,28263477000.0,28240070000.0,28026778000.0,28210743000.0,28140458000.0
2022.0,28007164000.0,28022340000.0,27865612000.0,28199580000.0,28041478000.0
2023.0,27903525000.0,27961752000.0,27746716000.0,28007926000.0,27921222000.0
2024.0,27720690000.0,27920882000.0,27581622000.0,27884605000.0,28075500000.0
2025.0,27607167000.0,27744772000.0,27413043000.0,27756468000.0,27728749000.0
2026.0,27480205000.0,27627174000.0,27179220000.0,27793349000.0,27522210000.0
2027.0,27330441000.0,27535485000.0,26983764000.0,27530170000.0,27412926000.0
2028.0,27047571000.0,27325010000.0,27098817000.0,27442244000.0,27235592000.0
2029.0,26871870000.0,27248865000.0,26706334000.0,27308796000.0,27022651000.0
2030.0,26834770000.0,27134605000.0,26505462000.0,27232035000.0,26779496000.0
2031.0,26548294000.0,26965123000.0,26240516000.0,27015952000.0,26802720000.0
2032.0,26302783000.0,26893924000.0,26006847000.0,26807840000.0,26394335000.0
2033.0,26117190000.0,26809530000.0,25847353000.0,26704998000.0,26135670000.0
2034.0,26142919000.0,26669492000.0,25654546000.0,26511247000.0,25962447000.0
2035.0,25730722000.0,26502697000.0,25264708000.0,26318594000.0,25712517000.0
2036.0,25558106000.0,26324824000.0,24906918000.0,26190285000.0,25481947000.0
2037.0,25324990000.0,26176680000.0,24620888000.0,26062780000.0,25286840000.0
2038.0,25040476000.0,26010090000.0,24357194000.0,25886775000.0,24999436000.0
2039.0,24773898000.0,25805392000.0,24041232000.0,25852375000.0,24748601000.0
2040.0,24548940000.0,25600821000.0,23737391000.0,25622202000.0,24636037000.0
