time,MIROC6,CANESM5,CNRM-CM6-1,CESM2-WACCM,TAIESM1,UKESM1-0-LL,IITM-ESM,CNRM-ESM2-1,KACE-1-0-G,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3,IPSL-CM6A-LR,MPI-ESM1-2-HR
2000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0
2001.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0
2002.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0
2003.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0
2004.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0
2005.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0
2006.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0
2007.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0
2008.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0
2009.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0
2010.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0
2011.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0
2012.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0
2013.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0
2014.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0
2015.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0
2016.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0
2017.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0
2018.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0
2019.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0
2020.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0
2021.0,28069200000.0,28187027000.0,28199574000.0,28141167000.0,28122240000.0,28093060000.0,28139086000.0,28135068000.0,28192256000.0,28246784000.0,28154106000.0,28085944000.0,28222552000.0,28393396000.0
2022.0,27929830000.0,28047135000.0,27962247000.0,28456569000.0,27975186000.0,27985810000.0,27937763000.0,27943300000.0,28119183000.0,28093323000.0,28218515000.0,27929068000.0,28062058000.0,28538022000.0
2023.0,27892759000.0,27891522000.0,28042988000.0,27997028000.0,27904803000.0,27835732000.0,27755428000.0,27820490000.0,27988509000.0,27926250000.0,28066906000.0,27807097000.0,28204010000.0,28236315000.0
2024.0,27696976000.0,27855897000.0,27657456000.0,27770673000.0,27850222000.0,27657794000.0,27797737000.0,27596794000.0,27869157000.0,27852777000.0,27872727000.0,27747279000.0,27880647000.0,28181686000.0
2025.0,27411239000.0,27697580000.0,27467944000.0,27912516000.0,27625898000.0,27621507000.0,27227750000.0,27453320000.0,27682050000.0,27767520000.0,28020630000.0,27535710000.0,27800783000.0,28065470000.0
