time,CESM2,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,INM-CM4-8,INM-CM5-0,EC-EARTH3,MPI-ESM1-2-HR,MRI-ESM2-0
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
2013.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0
2014.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0
2015.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0
2016.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0
2017.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0
2018.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0
2019.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0
2020.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0
2021.0,51568976000.0,51549336000.0,51567997000.0,51581820000.0,51815930000.0,51557777000.0,51637707000.0,51569857000.0,51569750000.0,51560800000.0,51563913000.0,51585140000.0,51567880000.0
2022.0,51545457000.0,51517360000.0,51565298000.0,51552453000.0,51580010000.0,51611880000.0,51626594000.0,51533267000.0,51566682000.0,51521556000.0,51515620000.0,51549050000.0,51551887000.0
2023.0,51552362000.0,51489550000.0,51540636000.0,51535643000.0,51773026000.0,51543437000.0,51870740000.0,51522654000.0,51541930000.0,51491850000.0,51474450000.0,51512214000.0,51538928000.0
2024.0,51516682000.0,51489542000.0,51504410000.0,51510587000.0,51543392000.0,51507077000.0,51609480000.0,51499446000.0,51521204000.0,51486958000.0,51446022000.0,51570960000.0,51515870000.0
2025.0,51484710000.0,51474207000.0,51506147000.0,51493384000.0,51528930000.0,51541760000.0,51541352000.0,51491475000.0,51599045000.0,51463918000.0,51415523000.0,51510895000.0,51492340000.0
2026.0,51570442000.0,51455496000.0,51480424000.0,51476500000.0,51529660000.0,51518290000.0,51537416000.0,51459535000.0,51517112000.0,51436680000.0,51393913000.0,51485190000.0,51479577000.0
2027.0,51468980000.0,51437730000.0,51453604000.0,51566617000.0,51532770000.0,51463680000.0,51518562000.0,51442590000.0,51473613000.0,51415077000.0,51367293000.0,51473576000.0,51445244000.0
2028.0,51446340000.0,51433710000.0,51446055000.0,51449370000.0,51490845000.0,51431846000.0,51533447000.0,51429300000.0,51453178000.0,51421667000.0,51343440000.0,51455250000.0,51414830000.0
2029.0,51419780000.0,51485454000.0,51450920000.0,51451820000.0,51474354000.0,51418670000.0,51508175000.0,51425845000.0,51442962000.0,51367780000.0,51317760000.0,51444027000.0,51397902000.0
2030.0,51396903000.0,51400593000.0,51426750000.0,51444847000.0,51470295000.0,51390680000.0,51488952000.0,51418563000.0,51431457000.0,51349266000.0,51282940000.0,51421530000.0,51369660000.0
2031.0,51386556000.0,51389080000.0,51403182000.0,51425210000.0,51467362000.0,51383220000.0,51489430000.0,51410444000.0,51411840000.0,51358007000.0,51246125000.0,51475833000.0,51357876000.0
2032.0,51373150000.0,51397243000.0,51389930000.0,51401667000.0,51427144000.0,51390240000.0,51477860000.0,51400765000.0,51433800000.0,51297874000.0,51213120000.0,51408390000.0,51331736000.0
2033.0,51351660000.0,51349037000.0,51369000000.0,51357073000.0,51502215000.0,51355664000.0,51476420000.0,51376190000.0,51419898000.0,51282220000.0,51164530000.0,51402633000.0,51317785000.0
2034.0,51331970000.0,51320090000.0,51337600000.0,51338502000.0,51416280000.0,51335758000.0,51460776000.0,51335880000.0,51382886000.0,51263460000.0,51078242000.0,51349496000.0,51273744000.0
2035.0,51307940000.0,51289470000.0,51321823000.0,51331300000.0,51468104000.0,51323044000.0,51435487000.0,51331203000.0,51381460000.0,51224860000.0,51022725000.0,51329815000.0,51235545000.0
2036.0,51290014000.0,51250934000.0,51291582000.0,51306193000.0,51480770000.0,51291100000.0,51511923000.0,51363295000.0,51361890000.0,51210445000.0,50951190000.0,51385553000.0,51202257000.0
2037.0,51264434000.0,51228050000.0,51257565000.0,51271230000.0,51385475000.0,51257000000.0,51432632000.0,51303350000.0,51338805000.0,51181154000.0,50883805000.0,51298144000.0,51164996000.0
2038.0,51241476000.0,51192242000.0,51222070000.0,51232480000.0,51357980000.0,51243780000.0,51394822000.0,51282305000.0,51311480000.0,51126178000.0,50752406000.0,51267870000.0,51110400000.0
2039.0,51211510000.0,51178180000.0,51188797000.0,51214352000.0,51371060000.0,51206980000.0,51426615000.0,51266716000.0,51329990000.0,51066660000.0,50659135000.0,51253000000.0,51058930000.0
2040.0,51195486000.0,51147640000.0,51128242000.0,51157000000.0,51336530000.0,51173500000.0,51367498000.0,51222080000.0,51275436000.0,51024170000.0,50566760000.0,51224620000.0,50983424000.0
2041.0,51167730000.0,51092894000.0,51052550000.0,51084562000.0,51284800000.0,51131257000.0,51322110000.0,51191636000.0,51276170000.0,50993947000.0,50440696000.0,51146240000.0,50870333000.0
2042.0,51127600000.0,51054830000.0,51007970000.0,51002892000.0,51330290000.0,51091653000.0,51314516000.0,51153850000.0,51252530000.0,50963972000.0,50329090000.0,51102265000.0,50810980000.0
2043.0,51099353000.0,51019100000.0,50951500000.0,50920972000.0,51277480000.0,51056124000.0,51317043000.0,51106755000.0,51224670000.0,50878480000.0,50161852000.0,51059937000.0,50761363000.0
