time,MPI-ESM1-2-HR,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM4-8,INM-CM5-0,CANESM5,GFDL-ESM4,ACCESS-ESM1-5,EC-EARTH3-VEG,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CESM2,ACCESS-CM2
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
2013.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0
2014.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0
2015.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0
2016.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0
2017.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0
2018.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0
2019.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0
2020.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0
2021.0,51537568000.0,51566750000.0,51528700000.0,51572793000.0,51559952000.0,51565190000.0,51540095000.0,51614487000.0,51535580000.0,51568955000.0,51532935000.0,51565416000.0,51562950000.0,51572630000.0,51562103000.0,51565090000.0,51561206000.0
2022.0,51522100000.0,51560047000.0,51506210000.0,51560854000.0,51540400000.0,51565384000.0,51516860000.0,51523092000.0,51515912000.0,51543855000.0,51484504000.0,51533206000.0,51525288000.0,51564210000.0,51514855000.0,51553985000.0,51537682000.0
2023.0,51509785000.0,51523965000.0,51467000000.0,51559760000.0,51519520000.0,51565777000.0,51501715000.0,51685130000.0,51504177000.0,51579680000.0,51415106000.0,51524542000.0,51533136000.0,51534504000.0,51496636000.0,51529794000.0,51514140000.0
2024.0,51499750000.0,51507810000.0,51430800000.0,51535090000.0,51515105000.0,51522310000.0,51471114000.0,51475620000.0,51487613000.0,51540263000.0,51400660000.0,51504378000.0,51500003000.0,51499420000.0,51460207000.0,51515523000.0,51493175000.0
2025.0,51560407000.0,51474022000.0,51387220000.0,51538166000.0,51498476000.0,51527250000.0,51450085000.0,51435360000.0,51463487000.0,51498136000.0,51376493000.0,51489490000.0,51474590000.0,51542938000.0,51452510000.0,51496680000.0,51488215000.0
2026.0,51458167000.0,51451500000.0,51366600000.0,51517874000.0,51485050000.0,51514540000.0,51425186000.0,51369566000.0,51458884000.0,51475767000.0,51328037000.0,51471270000.0,51461317000.0,51515527000.0,51423230000.0,51458376000.0,51471016000.0
2027.0,51442405000.0,51436225000.0,51327450000.0,51506990000.0,51445780000.0,51496000000.0,51385696000.0,51319180000.0,51433824000.0,51436450000.0,51289936000.0,51446104000.0,51442643000.0,51475108000.0,51407524000.0,51446723000.0,51430270000.0
2028.0,51413130000.0,51399430000.0,51293230000.0,51609550000.0,51434815000.0,51559790000.0,51363240000.0,51241746000.0,51401640000.0,51430404000.0,51256975000.0,51440497000.0,51420520000.0,51452445000.0,51391435000.0,51429528000.0,51414970000.0
2029.0,51415640000.0,51379573000.0,51267297000.0,51489290000.0,51423752000.0,51538625000.0,51334770000.0,51167826000.0,51376366000.0,51407438000.0,51211460000.0,51425427000.0,51410235000.0,51437842000.0,51365863000.0,51407900000.0,51412873000.0
2030.0,51389346000.0,51358080000.0,51245347000.0,51508510000.0,51410050000.0,51472577000.0,51302400000.0,51086467000.0,51360686000.0,51386593000.0,51152760000.0,51408646000.0,51394945000.0,51428295000.0,51345293000.0,51398754000.0,51404472000.0
2031.0,51383984000.0,51341816000.0,51188298000.0,51484094000.0,51403903000.0,51463934000.0,51272114000.0,50985394000.0,51440284000.0,51398066000.0,51097612000.0,51395600000.0,51356170000.0,51420410000.0,51318485000.0,51379590000.0,51411853000.0
2032.0,51366260000.0,51304670000.0,51133653000.0,51469304000.0,51404493000.0,51460180000.0,51236110000.0,50962200000.0,51328356000.0,51440470000.0,51048650000.0,51380920000.0,51338957000.0,51406172000.0,51296702000.0,51367526000.0,51380900000.0
2033.0,51348020000.0,51274904000.0,51062400000.0,51438710000.0,51377275000.0,51494540000.0,51201510000.0,50807505000.0,51293614000.0,51358736000.0,50989715000.0,51362090000.0,51314820000.0,51391214000.0,51256205000.0,51351290000.0,51377414000.0
2034.0,51344445000.0,51226657000.0,50983182000.0,51541033000.0,51358160000.0,51429786000.0,51146700000.0,50658525000.0,51262538000.0,51353494000.0,50944590000.0,51346410000.0,51290657000.0,51367510000.0,51229143000.0,51321848000.0,51374140000.0
2035.0,51320476000.0,51183330000.0,50917140000.0,51412130000.0,51350348000.0,51724366000.0,51100650000.0,50471023000.0,51239280000.0,51328410000.0,50926076000.0,51332985000.0,51274230000.0,51345744000.0,51195884000.0,51308245000.0,51336995000.0
2036.0,51311043000.0,51131245000.0,50833002000.0,51395076000.0,51506115000.0,51439830000.0,51057873000.0,50304020000.0,51211220000.0,51310070000.0,50846777000.0,51303030000.0,51259730000.0,51325186000.0,51150377000.0,51289174000.0,51306820000.0
2037.0,51289160000.0,51076800000.0,50741596000.0,51382743000.0,51331813000.0,51409060000.0,50982690000.0,50124632000.0,51264655000.0,51282567000.0,50785178000.0,51296180000.0,51229233000.0,51301300000.0,51085660000.0,51242725000.0,51272503000.0
2038.0,51315330000.0,51040813000.0,50660930000.0,51352175000.0,51287570000.0,51426288000.0,50914460000.0,49897780000.0,51182273000.0,51243140000.0,50705950000.0,51251890000.0,51194335000.0,51267736000.0,51015960000.0,51207418000.0,51226997000.0
2039.0,51245986000.0,50962465000.0,50580476000.0,51337834000.0,51260280000.0,51381610000.0,50874420000.0,49660002000.0,51143455000.0,51226034000.0,50685980000.0,51248247000.0,51161640000.0,51235710000.0,50926617000.0,51166170000.0,51183060000.0
2040.0,51226563000.0,50866557000.0,50489050000.0,51272266000.0,51233750000.0,51361944000.0,50824040000.0,49457430000.0,51115643000.0,51356586000.0,50717925000.0,51220600000.0,51116760000.0,51173876000.0,50843980000.0,51148292000.0,51148165000.0
2041.0,51177804000.0,50786060000.0,50372390000.0,51247874000.0,51223380000.0,51364073000.0,50788370000.0,49206014000.0,51067250000.0,51187000000.0,50707214000.0,51154706000.0,51094940000.0,51109786000.0,50769076000.0,51120650000.0,51179676000.0
2042.0,51138070000.0,50744010000.0,50254586000.0,51287120000.0,51179950000.0,51331645000.0,50729095000.0,48920970000.0,51018785000.0,51153310000.0,50622410000.0,51113170000.0,51075000000.0,51080480000.0,50672878000.0,51094536000.0,51031368000.0
2043.0,51054910000.0,50652553000.0,50165363000.0,51199767000.0,51147850000.0,51315974000.0,50687492000.0,48709820000.0,50978623000.0,51134270000.0,50585616000.0,51070173000.0,51040700000.0,51040950000.0,50545220000.0,51058350000.0,50995917000.0
2044.0,50981270000.0,50580630000.0,50013364000.0,51168880000.0,51131310000.0,51289410000.0,50644490000.0,48469426000.0,50937385000.0,51109655000.0,50560340000.0,51026874000.0,51026230000.0,51004250000.0,50432553000.0,51022754000.0,50944220000.0
2045.0,50930340000.0,50503370000.0,49855380000.0,51135460000.0,51083428000.0,51250250000.0,50603504000.0,48152674000.0,50901240000.0,51100190000.0,50519056000.0,50970170000.0,51005583000.0,50961945000.0,50313093000.0,50963874000.0,50871247000.0
