time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4
2000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0
2001.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0
2002.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0
2003.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0
2004.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0
2005.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0
2006.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0
2007.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0
2008.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0
2009.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0
2010.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0
2011.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0
2012.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0
2013.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0
2014.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0
2015.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0
2016.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0
2017.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0
2018.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0
2019.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0
2020.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0
2021.0,18043265000000.0,18053765000000.0,17860078000000.0,17985037000000.0
2022.0,17896490000000.0,17894591000000.0,17678194000000.0,17819001000000.0
2023.0,17776203000000.0,17617874000000.0,17520474000000.0,17702207000000.0
2024.0,17648199000000.0,17482452000000.0,17378383000000.0,17578735000000.0
2025.0,17544713000000.0,17240569000000.0,17266427000000.0,17462832000000.0
2026.0,17457124000000.0,17114613000000.0,17076493000000.0,17324475000000.0
2027.0,17366945000000.0,16878483000000.0,16872909000000.0,17252222000000.0
2028.0,17243533000000.0,16642106000000.0,16780375000000.0,17251009000000.0
2029.0,17093010000000.0,16539964000000.0,16693443000000.0,17139417000000.0
2030.0,16920834000000.0,16358404000000.0,16535123000000.0,16989031000000.0
2031.0,16803501000000.0,16109294000000.0,16454071000000.0,16969888000000.0
2032.0,16616781000000.0,15991135000000.0,16307971000000.0,16837446000000.0
2033.0,16460588000000.0,15817348000000.0,16184832000000.0,16742242000000.0
2034.0,16364380000000.0,15592149000000.0,15973243000000.0,16702533000000.0
2035.0,16274948000000.0,15489358000000.0,15858105000000.0,16624113000000.0
2036.0,16081521000000.0,15390236000000.0,15775859000000.0,16477142000000.0
2037.0,15944071000000.0,15303879000000.0,15605174000000.0,16297443000000.0
2038.0,15803612000000.0,15108504000000.0,15494058000000.0,16105614000000.0
2039.0,15637355000000.0,14986647000000.0,15497343000000.0,16069976000000.0
2040.0,15534139000000.0,14887860000000.0,15437710000000.0,16061960000000.0
2041.0,15447846000000.0,14684182000000.0,15315292000000.0,15939357000000.0
2042.0,15263125000000.0,14553934000000.0,15194536000000.0,15823173000000.0
2043.0,15111705000000.0,14404688000000.0,15009878000000.0,15711896000000.0
2044.0,15101917000000.0,14255322000000.0,14854045000000.0,15541769000000.0
2045.0,15033361000000.0,14041333000000.0,14774988000000.0,15500598000000.0
2046.0,14934393000000.0,13742458000000.0,14679340000000.0,15421540000000.0
2047.0,14847051000000.0,13584010000000.0,14624011000000.0,15299394000000.0
2048.0,14778460000000.0,13333752000000.0,14598857000000.0,15147579000000.0
2049.0,14692921000000.0,13105143000000.0,14552377000000.0,15141721000000.0
2050.0,14651470000000.0,12905047000000.0,14462716000000.0,15085473000000.0
2051.0,14538834000000.0,12727106000000.0,14291662000000.0,14931582000000.0
2052.0,14436673000000.0,12498980000000.0,14186061000000.0,14794185000000.0
2053.0,14313893000000.0,12254420000000.0,14015319000000.0,14712952000000.0
2054.0,14291837000000.0,12003778000000.0,13936602000000.0,14640808000000.0
2055.0,14264363000000.0,11836921000000.0,13836350000000.0,14581227000000.0
2056.0,14199378000000.0,11689784000000.0,13720458000000.0,14539161000000.0
2057.0,14125662000000.0,11504614000000.0,13637992000000.0,14531753000000.0
2058.0,14046446000000.0,11362981000000.0,13400994000000.0,14513475000000.0
2059.0,13962369000000.0,11208118000000.0,13338784000000.0,14448204000000.0
2060.0,13859428000000.0,11043671000000.0,13279096000000.0,14476471000000.0
2061.0,13795063000000.0,10816529000000.0,13174977000000.0,14418650000000.0
2062.0,13745904000000.0,10601828000000.0,12997787000000.0,14305851000000.0
2063.0,13659567000000.0,10437649000000.0,12907755000000.0,14178095000000.0
2064.0,13638974000000.0,10283194000000.0,12861026000000.0,14073213000000.0
2065.0,13575091000000.0,10144708000000.0,12800105000000.0,14018670000000.0
2066.0,13486010000000.0,9982082000000.0,12805622000000.0,14038085000000.0
2067.0,13473128000000.0,9795196000000.0,12787781000000.0,13997718000000.0
2068.0,13464199000000.0,9662612000000.0,12741057000000.0,14018293000000.0
2069.0,13378212000000.0,9505114000000.0,12639590000000.0,13978765000000.0
2070.0,13291552000000.0,9350499000000.0,12478995000000.0,13875148000000.0
2071.0,13183790000000.0,9212518000000.0,12430813000000.0,13852874000000.0
2072.0,13162042000000.0,9082421000000.0,12486117000000.0,13717259000000.0
2073.0,13136631000000.0,8918478000000.0,12394103000000.0,13617584000000.0
2074.0,13093855000000.0,8790797700000.0,12316002000000.0,13557324000000.0
2075.0,13061691000000.0,8702716000000.0,12329299000000.0,13512804000000.0
2076.0,13046889000000.0,8543389400000.0,12300396000000.0,13490407000000.0
2077.0,12959859000000.0,8388835500000.0,12206855000000.0,13435605000000.0
2078.0,12925364000000.0,8256552400000.0,12134842000000.0,13465264000000.0
2079.0,12952603000000.0,8120043000000.0,12092808000000.0,13399072000000.0
2080.0,12879390000000.0,8013216000000.0,12045370000000.0,13380757000000.0
2081.0,12854030000000.0,7850140000000.0,11958767000000.0,13333213000000.0
2082.0,12818936000000.0,7705705600000.0,11922413000000.0,13302343000000.0
2083.0,12775465000000.0,7571728000000.0,11821900000000.0,13251956000000.0
2084.0,12780385000000.0,7491205700000.0,11760186000000.0,13299742000000.0
2085.0,12788355000000.0,7416182700000.0,11720861000000.0,13259031000000.0
2086.0,12773758000000.0,7357982600000.0,11635075000000.0,13208851000000.0
2087.0,12668506000000.0,7280288300000.0,11589179000000.0,13204813000000.0
2088.0,12606134000000.0,7217880000000.0,11563468000000.0,13170607000000.0
2089.0,12589966000000.0,7211140500000.0,11497771000000.0,13128413000000.0
2090.0,12622995000000.0,7161632500000.0,11481549000000.0,13093403000000.0
2091.0,12615718000000.0,7036814000000.0,11469428000000.0,13047125000000.0
2092.0,12534974000000.0,6975523400000.0,11461205000000.0,12967158000000.0
2093.0,12529898000000.0,6929384500000.0,11434860000000.0,12945368000000.0
2094.0,12499466000000.0,6858328000000.0,11399284000000.0,12900472000000.0
2095.0,12432693000000.0,6768854300000.0,11277608000000.0,12890576000000.0
2096.0,12390447000000.0,6658528400000.0,11261677000000.0,12854269000000.0
2097.0,12362539000000.0,6587783600000.0,11214003000000.0,12788243000000.0
2098.0,12297877000000.0,6575028700000.0,11182338000000.0,12768640000000.0
2099.0,12265057000000.0,6490956000000.0,11185841000000.0,12753437000000.0
2100.0,12309341000000.0,6451699400000.0,11116986000000.0,12757560000000.0
