time,TAIESM1,IITM-ESM,UKESM1-0-LL,IPSL-CM6A-LR,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0
2001.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0
2002.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0
2003.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0
2004.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0
2005.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0
2006.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0
2007.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0
2008.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0
2009.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0
2010.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0
2011.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0
2012.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0
2013.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0
2014.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0
2015.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0
2016.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0
2017.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0
2018.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0
2019.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0
2020.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0
2021.0,18111050000000.0,18174643000000.0,17976204000000.0,18011824000000.0,17937730000000.0,17979803000000.0,18024360000000.0,18054073000000.0,18112716000000.0
2022.0,17965520000000.0,18148057000000.0,17883541000000.0,17831788000000.0,17723917000000.0,17929584000000.0,17772023000000.0,17947820000000.0,17998457000000.0
2023.0,17871992000000.0,18061850000000.0,17736443000000.0,17736785000000.0,17438972000000.0,17841737000000.0,17601822000000.0,17769387000000.0,17916437000000.0
2024.0,17702886000000.0,18024287000000.0,17540067000000.0,17642455000000.0,17254222000000.0,17740933000000.0,17463188000000.0,17667858000000.0,17885550000000.0
2025.0,17657238000000.0,17937446000000.0,17337960000000.0,17655233000000.0,16950706000000.0,17669466000000.0,17319025000000.0,17545678000000.0,17837249000000.0
2026.0,17566349000000.0,17644540000000.0,17178518000000.0,17508111000000.0,16859929000000.0,17691325000000.0,17091384000000.0,17495766000000.0,17749456000000.0
2027.0,17373787000000.0,17466489000000.0,16926201000000.0,17325072000000.0,16556754000000.0,17493393000000.0,16947152000000.0,17363322000000.0,17704681000000.0
2028.0,17248126000000.0,17367959000000.0,16721550000000.0,17236166000000.0,16332258000000.0,17262128000000.0,16719718000000.0,17230797000000.0,17673430000000.0
2029.0,17064922000000.0,17233316000000.0,16672503000000.0,17127265000000.0,16179670000000.0,17151968000000.0,16547982000000.0,17094575000000.0,17566662000000.0
2030.0,16814495000000.0,17238511000000.0,16515042000000.0,17021043000000.0,16023029000000.0,16950801000000.0,16484072000000.0,17029524000000.0,17535470000000.0
2031.0,16716453000000.0,17280137000000.0,16250468000000.0,16953137000000.0,15962847000000.0,16916427000000.0,16443953000000.0,16950831000000.0,17554071000000.0
2032.0,16697129000000.0,17093003000000.0,15970416000000.0,16890354000000.0,15788658000000.0,16819131000000.0,16388663000000.0,16883349000000.0,17502525000000.0
2033.0,16642359000000.0,17002130000000.0,15615361000000.0,16718342000000.0,15647216000000.0,16686171000000.0,16114286000000.0,16755031000000.0,17478315000000.0
2034.0,16515214000000.0,16961667000000.0,15471760000000.0,16633841000000.0,15516643000000.0,16673673000000.0,15933097000000.0,16658050000000.0,17425080000000.0
2035.0,16357937000000.0,16976224000000.0,15315558000000.0,16506366000000.0,15310182000000.0,16552144000000.0,15820933000000.0,16532442000000.0,17371143000000.0
