time,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,GISS-E2-R
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3439998500000.0,3468554100000.0,3436533800000.0,3437373200000.0,3438856400000.0,3426900200000.0,3432576700000.0,3439364000000.0
2022.0,3426331000000.0,3470363500000.0,3424731300000.0,3410112000000.0,3418721400000.0,3414482200000.0,3416414700000.0,3422557300000.0
2023.0,3425425000000.0,3478222800000.0,3414603000000.0,3391335000000.0,3412072900000.0,3402301400000.0,3401741200000.0,3412350700000.0
2024.0,3422286200000.0,3480944400000.0,3402477300000.0,3371139300000.0,3399908900000.0,3385749100000.0,3390411600000.0,3404621700000.0
2025.0,3411070400000.0,3484861600000.0,3394200700000.0,3347115400000.0,3381394700000.0,3372371700000.0,3363519900000.0,3380675600000.0
2026.0,3391793000000.0,3488775100000.0,3375562800000.0,3330600000000.0,3366441200000.0,3347478500000.0,3349770400000.0,3359351800000.0
2027.0,3384381000000.0,3489871000000.0,3357759800000.0,3297575000000.0,3348730500000.0,3331326000000.0,3335403900000.0,3345395500000.0
2028.0,3373060300000.0,3488646400000.0,3343635400000.0,3263141500000.0,3336368800000.0,3310032000000.0,3319291400000.0,3322393000000.0
2029.0,3363430500000.0,3504027700000.0,3330674000000.0,3234476000000.0,3316887000000.0,3269104200000.0,3294343000000.0,3314446000000.0
2030.0,3350550800000.0,3519902000000.0,3315576900000.0,3200071500000.0,3288300300000.0,3249437400000.0,3272261800000.0,3295332800000.0
2031.0,3342365000000.0,3525782300000.0,3302893000000.0,3179737800000.0,3273522700000.0,3219987400000.0,3240366000000.0,3263445900000.0
2032.0,3328302600000.0,3525216000000.0,3291198300000.0,3153056200000.0,3260254300000.0,3189374000000.0,3214146800000.0,3255647600000.0
2033.0,3310301200000.0,3525837300000.0,3292525500000.0,3124211000000.0,3250679200000.0,3162907000000.0,3181586000000.0,3239920300000.0
2034.0,3295571000000.0,3530981400000.0,3280949500000.0,3105669300000.0,3235223400000.0,3136259000000.0,3165674000000.0,3229567000000.0
2035.0,3277631000000.0,3526014800000.0,3277746600000.0,3082616600000.0,3216879600000.0,3107383000000.0,3150059000000.0,3213796800000.0
2036.0,3275383400000.0,3524409200000.0,3271912300000.0,3067697700000.0,3207275700000.0,3088259000000.0,3134501000000.0,3199825000000.0
2037.0,3271255700000.0,3507574500000.0,3268420800000.0,3043387500000.0,3179360300000.0,3060898500000.0,3116361600000.0,3193415000000.0
2038.0,3256087200000.0,3505388300000.0,3260016800000.0,3022407900000.0,3162998000000.0,3022050300000.0,3099196000000.0,3172042300000.0
2039.0,3233922400000.0,3496458300000.0,3250765200000.0,3000254300000.0,3150629300000.0,2990545000000.0,3078935800000.0,3152468000000.0
2040.0,3229242400000.0,3497460000000.0,3248638100000.0,2980676400000.0,3129911800000.0,2949583000000.0,3050900300000.0,3134737400000.0
2041.0,3213575800000.0,3493004300000.0,3247247500000.0,2955946000000.0,3099039000000.0,2912244200000.0,3034674600000.0,3123891100000.0
2042.0,3191019100000.0,3486141600000.0,3239981400000.0,2934783300000.0,3091297000000.0,2884514000000.0,3019201300000.0,3096507000000.0
2043.0,3178846200000.0,3478371200000.0,3231180000000.0,2916386000000.0,3069086800000.0,2862413800000.0,2998525500000.0,3080616700000.0
2044.0,3157371400000.0,3480521000000.0,3220156400000.0,2903353600000.0,3046571200000.0,2829097600000.0,2977227000000.0,3055765400000.0
2045.0,3134338600000.0,3477189000000.0,3214532700000.0,2873729700000.0,3033996200000.0,2786358700000.0,2966328400000.0,3047483200000.0
2046.0,3106558700000.0,3457234800000.0,3213283600000.0,2841695200000.0,3017908400000.0,2761575400000.0,2941742700000.0,3039371000000.0
2047.0,3095736600000.0,3446985200000.0,3204915400000.0,2817174000000.0,3004372000000.0,2715201600000.0,2930729300000.0,3023427600000.0
2048.0,3084699300000.0,3451407300000.0,3197076200000.0,2787432200000.0,2991710500000.0,2679097000000.0,2916654800000.0,3001152200000.0
2049.0,3072441200000.0,3437759000000.0,3193410000000.0,2748911500000.0,2982940000000.0,2651803400000.0,2898620300000.0,2984625600000.0
2050.0,3055493800000.0,3440137700000.0,3184741600000.0,2715725600000.0,2965030800000.0,2615485700000.0,2880935800000.0,2970592000000.0
2051.0,3036519300000.0,3434118400000.0,3183800200000.0,2680691600000.0,2949033000000.0,2573008600000.0,2864343200000.0,2949839000000.0
2052.0,3027663600000.0,3431435600000.0,3174662400000.0,2659822300000.0,2928522000000.0,2543144700000.0,2852165000000.0,2924052500000.0
2053.0,2998612500000.0,3426729600000.0,3161927000000.0,2640880000000.0,2911026800000.0,2514725600000.0,2832726200000.0,2902061000000.0
2054.0,2981665200000.0,3423203000000.0,3147836400000.0,2618548600000.0,2877702800000.0,2481713600000.0,2814681300000.0,2888558000000.0
2055.0,2951588300000.0,3426674500000.0,3135753700000.0,2591518000000.0,2859248600000.0,2456585000000.0,2787400500000.0,2863585300000.0
2056.0,2929411000000.0,3433271000000.0,3126269800000.0,2568455000000.0,2846207500000.0,2419365500000.0,2749958500000.0,2854310600000.0
2057.0,2923125800000.0,3429664600000.0,3120677500000.0,2544314400000.0,2819896000000.0,2386566600000.0,2718601800000.0,2832490000000.0
2058.0,2907722700000.0,3420800700000.0,3104390300000.0,2522896100000.0,2793500300000.0,2364221200000.0,2696684800000.0,2812061000000.0
2059.0,2898001700000.0,3429185600000.0,3078502000000.0,2500897500000.0,2777553300000.0,2334480700000.0,2669168000000.0,2795794300000.0
2060.0,2885662800000.0,3435373500000.0,3057902400000.0,2473159600000.0,2761990300000.0,2308347500000.0,2642779800000.0,2786155300000.0
2061.0,2858711000000.0,3421370600000.0,3041840000000.0,2454604500000.0,2742854000000.0,2281795000000.0,2625580600000.0,2769942000000.0
2062.0,2834293600000.0,3421952500000.0,3023256700000.0,2434584000000.0,2724996000000.0,2256472000000.0,2604013000000.0,2754379800000.0
2063.0,2817781000000.0,3424845000000.0,3007317300000.0,2411585000000.0,2711112000000.0,2216231200000.0,2583218600000.0,2749330400000.0
2064.0,2801311200000.0,3427610100000.0,2995556700000.0,2392324600000.0,2690136100000.0,2191055000000.0,2559899900000.0,2738451600000.0
2065.0,2784250600000.0,3437633200000.0,2980049600000.0,2351445600000.0,2662059500000.0,2164186800000.0,2542863600000.0,2724791300000.0
