time,IPSL-CM5A-LR,CNRM-CM5,GISS-E2-R,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,CSIRO-MK3-6-0,NORESM1-M,CANESM2,CCSM4
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3447233200000.0,3444512000000.0,3442565700000.0,3432383300000.0,3437148000000.0,3442532200000.0,3444704800000.0,3442950300000.0,3437238400000.0,3442288400000.0
2022.0,3429914000000.0,3429141300000.0,3428974900000.0,3402482800000.0,3427447600000.0,3434340700000.0,3445559700000.0,3429038300000.0,3428088000000.0,3431060500000.0
2023.0,3404964800000.0,3407309000000.0,3418358000000.0,3369923200000.0,3412832800000.0,3413669800000.0,3444326500000.0,3407493500000.0,3427483800000.0,3416438900000.0
2024.0,3387994100000.0,3398812000000.0,3406826300000.0,3347935700000.0,3396648300000.0,3400651800000.0,3447370800000.0,3400777600000.0,3416516500000.0,3380674600000.0
2025.0,3356552300000.0,3389698900000.0,3380742500000.0,3324198500000.0,3381990800000.0,3401189700000.0,3434539600000.0,3388677600000.0,3404467000000.0,3367397500000.0
2026.0,3332066800000.0,3376780100000.0,3355822500000.0,3291147700000.0,3357301800000.0,3399490000000.0,3432295000000.0,3371618800000.0,3385803100000.0,3349919000000.0
2027.0,3307399800000.0,3370981300000.0,3340040100000.0,3266652000000.0,3338365800000.0,3377646000000.0,3425281800000.0,3357811400000.0,3362298300000.0,3339925600000.0
2028.0,3283608000000.0,3352917400000.0,3319175800000.0,3235690600000.0,3312515500000.0,3368845800000.0,3423850700000.0,3332764900000.0,3330599800000.0,3339556000000.0
2029.0,3258541100000.0,3344181000000.0,3297774400000.0,3202965600000.0,3301423200000.0,3355910600000.0,3424117900000.0,3325849200000.0,3313049000000.0,3339297800000.0
2030.0,3232434000000.0,3326542600000.0,3279444500000.0,3185245400000.0,3287452000000.0,3344549000000.0,3423202000000.0,3317419500000.0,3301151000000.0,3322185800000.0
2031.0,3200703800000.0,3307358000000.0,3254970500000.0,3167226000000.0,3267675300000.0,3317561600000.0,3417211400000.0,3306168800000.0,3269094000000.0,3311163100000.0
2032.0,3177319200000.0,3297033600000.0,3243766200000.0,3140936300000.0,3252318600000.0,3310274000000.0,3414385800000.0,3298165800000.0,3247503800000.0,3299653500000.0
2033.0,3156467000000.0,3287490200000.0,3221186400000.0,3124211000000.0,3241293600000.0,3302534700000.0,3396711500000.0,3284917000000.0,3229502100000.0,3287291000000.0
2034.0,3131213000000.0,3274762400000.0,3201240400000.0,3096957000000.0,3221024700000.0,3293645600000.0,3389468000000.0,3287089000000.0,3213634300000.0,3274760500000.0
2035.0,3095179600000.0,3272599700000.0,3178292600000.0,3071996900000.0,3207317400000.0,3290429700000.0,3384800200000.0,3264674300000.0,3200608400000.0,3246666800000.0
2036.0,3066047000000.0,3258863000000.0,3156840000000.0,3042515600000.0,3186258600000.0,3281855400000.0,3372875000000.0,3249534000000.0,3188115000000.0,3221197200000.0
2037.0,3032171200000.0,3246465700000.0,3128359000000.0,3017579700000.0,3180293000000.0,3276098200000.0,3364738000000.0,3227829400000.0,3165577800000.0,3194274000000.0
2038.0,2998971100000.0,3231682400000.0,3101036400000.0,3003142600000.0,3168011000000.0,3264197200000.0,3359015400000.0,3209328600000.0,3140085000000.0,3168427800000.0
2039.0,2960304400000.0,3215105700000.0,3081345400000.0,2981283200000.0,3151235400000.0,3244203700000.0,3352394000000.0,3194848000000.0,3120126500000.0,3159111200000.0
2040.0,2913275000000.0,3209036800000.0,3058669500000.0,2947218100000.0,3131884200000.0,3225982300000.0,3327343200000.0,3165217600000.0,3094694300000.0,3141638000000.0
2041.0,2885626000000.0,3193784500000.0,3034128000000.0,2926753000000.0,3118831000000.0,3208649600000.0,3323516200000.0,3139308400000.0,3082787500000.0,3127769000000.0
2042.0,2840199200000.0,3178173300000.0,3000096500000.0,2905306000000.0,3094313400000.0,3190934500000.0,3314367600000.0,3124551700000.0,3058760200000.0,3112996200000.0
2043.0,2808138000000.0,3168487600000.0,2961216000000.0,2875927300000.0,3073776800000.0,3189332500000.0,3315379700000.0,3102252200000.0,3039628400000.0,3099679800000.0
2044.0,2767236600000.0,3154673100000.0,2931077200000.0,2856521600000.0,3048051600000.0,3186898500000.0,3320040700000.0,3079383300000.0,3018833500000.0,3075815800000.0
2045.0,2715286000000.0,3143695600000.0,2898650700000.0,2828824000000.0,3031879400000.0,3182961600000.0,3298802800000.0,3053787000000.0,2992375600000.0,3063971800000.0
2046.0,2670061400000.0,3127162200000.0,2862350000000.0,2804350000000.0,3006155000000.0,3172550800000.0,3282956500000.0,3033663000000.0,2950749700000.0,3040340300000.0
2047.0,2629978800000.0,3116478800000.0,2825969500000.0,2770977000000.0,2985172000000.0,3166684600000.0,3274064000000.0,3015797000000.0,2928941000000.0,3017535000000.0
2048.0,2589149400000.0,3099661400000.0,2799542000000.0,2741699600000.0,2956296500000.0,3152670400000.0,3261638600000.0,2990658800000.0,2895517600000.0,2989803700000.0
2049.0,2548710500000.0,3086184300000.0,2768534000000.0,2707723600000.0,2951346400000.0,3142261000000.0,3271095700000.0,2958215600000.0,2859052800000.0,2965060500000.0
2050.0,2501851000000.0,3069406600000.0,2744853200000.0,2679154700000.0,2936857400000.0,3110987600000.0,3279292500000.0,2940864600000.0,2827505600000.0,2935529100000.0
