time,CSIRO-MK3-6-0,CCSM4,NORESM1-M,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0
2001.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0
2002.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0
2003.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0
2004.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0
2005.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0
2006.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0
2007.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0
2008.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0
2009.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0
2010.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0
2011.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0
2012.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0
2013.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0
2014.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0
2015.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0
2016.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0
2017.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0
2018.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0
2019.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0
2020.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0
2021.0,49378152000.0,49041695000.0,49855690000.0,49332617000.0,49543520000.0,49376236000.0,48957366000.0
2022.0,49227325000.0,48966357000.0,49113940000.0,49065790000.0,49286660000.0,49163030000.0,48683004000.0
2023.0,48993750000.0,48844476000.0,48924450000.0,49109810000.0,49013354000.0,49403765000.0,48397906000.0
2024.0,48910350000.0,48529970000.0,48785010000.0,48905770000.0,48992130000.0,48913625000.0,48085100000.0
2025.0,48705740000.0,48607695000.0,48587792000.0,48667967000.0,48734495000.0,48679498000.0,47718560000.0
2026.0,48454500000.0,48320406000.0,48345890000.0,48392098000.0,48501680000.0,48732398000.0,47294830000.0
2027.0,48297464000.0,48277700000.0,48200960000.0,48163080000.0,48253313000.0,48333680000.0,46798418000.0
2028.0,48040940000.0,47969976000.0,47995910000.0,47917210000.0,48213850000.0,48138363000.0,46355970000.0
