time,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0
2001.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0
2002.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0
2003.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0
2004.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0
2005.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0
2006.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0
2007.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0
2008.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0
2009.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0
2010.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0
2011.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0
2012.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0
2013.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0
2014.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0
2015.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0
2016.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0
2017.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0
2018.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0
2019.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0
2020.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0
2021.0,49061230000.0,49118237000.0,49050763000.0,49007120000.0,49044710000.0,49207180000.0,49287520000.0,49201380000.0,49297056000.0,49025980000.0
2022.0,48843000000.0,48941654000.0,48968303000.0,48950313000.0,48835576000.0,49491360000.0,49343210000.0,49410417000.0,48966574000.0,48785596000.0
2023.0,49076617000.0,49105875000.0,48682484000.0,48539066000.0,48704025000.0,49834406000.0,48931787000.0,48960260000.0,48862270000.0,48572875000.0
2024.0,48618086000.0,48538456000.0,48758110000.0,48388860000.0,48509034000.0,49881730000.0,48791370000.0,48868780000.0,48664560000.0,48421380000.0
2025.0,48305795000.0,48252043000.0,48480035000.0,48191988000.0,48342495000.0,49044537000.0,48735584000.0,48573403000.0,48392090000.0,48066363000.0
2026.0,48043876000.0,48075903000.0,48317985000.0,47835630000.0,48308680000.0,48901690000.0,48892880000.0,48404197000.0,48231145000.0,47723405000.0
2027.0,47731884000.0,47614394000.0,49542517000.0,47626703000.0,48530366000.0,48355553000.0,49770200000.0,48216780000.0,47919150000.0,47387560000.0
2028.0,47592470000.0,47393395000.0,48360060000.0,47444337000.0,47925744000.0,49157284000.0,49124196000.0,48022098000.0,47800922000.0,46958970000.0
2029.0,47257444000.0,46985390000.0,47764886000.0,47066150000.0,47522476000.0,49375343000.0,48391016000.0,47771990000.0,47427797000.0,46412014000.0
2030.0,46802596000.0,47003804000.0,47523467000.0,46787957000.0,47266107000.0,48171127000.0,48038270000.0,47584410000.0,47090320000.0,45854260000.0
2031.0,46395548000.0,46474408000.0,47241007000.0,46653604000.0,46941780000.0,47688520000.0,47783480000.0,47295607000.0,46784745000.0,45267900000.0
2032.0,46089210000.0,46283588000.0,46995546000.0,46257455000.0,46524000000.0,47890104000.0,47450366000.0,47019917000.0,46438090000.0,44458290000.0
2033.0,45711016000.0,45960376000.0,46746755000.0,45742195000.0,46282576000.0,47390286000.0,47212070000.0,46730203000.0,46037080000.0,43885680000.0
2034.0,45284704000.0,45460390000.0,46448046000.0,45204260000.0,46147785000.0,47103455000.0,46993500000.0,46431314000.0,45660828000.0,43088306000.0
2035.0,44903375000.0,44941505000.0,46181190000.0,44741505000.0,45605544000.0,46620850000.0,47132942000.0,46182113000.0,45187396000.0,42261920000.0
2036.0,44480565000.0,44501725000.0,45929080000.0,44373328000.0,45197468000.0,46159320000.0,46458163000.0,45770125000.0,44590070000.0,41344650000.0
2037.0,44125356000.0,44035936000.0,45637624000.0,43769913000.0,44858774000.0,45895420000.0,46102757000.0,45378322000.0,43999003000.0,40504205000.0
2038.0,43765690000.0,43499106000.0,45297828000.0,43128100000.0,44462973000.0,45525004000.0,45807350000.0,44952855000.0,43379920000.0,39548068000.0
2039.0,43281347000.0,42957360000.0,44961210000.0,42482647000.0,44024656000.0,45185425000.0,45456940000.0,44504110000.0,42775220000.0,38237160000.0
2040.0,42771116000.0,42266542000.0,44640825000.0,41721920000.0,43510784000.0,45170280000.0,45054517000.0,43921820000.0,42039340000.0,37040284000.0
2041.0,42259480000.0,41565233000.0,44178166000.0,41035837000.0,43025105000.0,45410316000.0,44618592000.0,43499975000.0,41371156000.0,35836576000.0
2042.0,41636260000.0,41252065000.0,43852540000.0,40221307000.0,42612800000.0,44477194000.0,44124807000.0,42980356000.0,40655760000.0,34447790000.0
2043.0,41034220000.0,40352014000.0,43387380000.0,39455535000.0,42097490000.0,43953648000.0,43818947000.0,42401358000.0,39979020000.0,32970238000.0
2044.0,40488436000.0,39630990000.0,43064345000.0,38774063000.0,41474056000.0,43832630000.0,43414880000.0,41923500000.0,39224005000.0,31771247000.0
2045.0,39884850000.0,38807876000.0,42518823000.0,37960315000.0,40854980000.0,43411450000.0,42867225000.0,41472176000.0,38301426000.0,30669797000.0
2046.0,39170646000.0,38121284000.0,42107590000.0,37330637000.0,40249635000.0,42856088000.0,42175926000.0,40862280000.0,37217186000.0,29216910000.0
2047.0,38563176000.0,37175780000.0,41742828000.0,36566884000.0,39657222000.0,42311740000.0,41469866000.0,40190740000.0,36216914000.0,27926008000.0
2048.0,38121480000.0,36380103000.0,41208513000.0,35635122000.0,38992916000.0,41880970000.0,40992520000.0,39581410000.0,35441900000.0,26815777000.0
