time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2049.0,40871936000.0,41379930000.0,37975556000.0,36604977000.0,39174220000.0,40499433000.0,42451317000.0,37631873000.0,42405573000.0,28683495000.0
2050.0,40299010000.0,41103733000.0,37430130000.0,36026823000.0,38536827000.0,40115770000.0,42200220000.0,36799853000.0,41958564000.0,27697414000.0
2051.0,39827680000.0,40639840000.0,36773120000.0,35232276000.0,37932990000.0,39534207000.0,41925300000.0,36218430000.0,41525547000.0,26790124000.0
2052.0,39341500000.0,40168124000.0,36375370000.0,34689294000.0,37341008000.0,39462044000.0,41357070000.0,35502900000.0,41046847000.0,25681130000.0
2053.0,39060100000.0,39677530000.0,35704120000.0,33807640000.0,36830798000.0,38683170000.0,41545810000.0,34908856000.0,40695575000.0,24620605000.0
2054.0,38808770000.0,39356000000.0,35190776000.0,33466819000.0,36361310000.0,38105470000.0,41077720000.0,34199011000.0,40383648000.0,23577137000.0
2055.0,38330430000.0,38987130000.0,34847416000.0,32308191000.0,35655890000.0,37654720000.0,40545657000.0,33545032000.0,39919450000.0,22577445000.0
2056.0,37845310000.0,38438840000.0,33955250000.0,31538230000.0,35087024000.0,37187720000.0,40329600000.0,33029868000.0,39524760000.0,21682082000.0
2057.0,37311377000.0,37998248000.0,33111126000.0,30876950000.0,34435838000.0,36546570000.0,39975776000.0,32378020000.0,39134710000.0,20971864000.0
2058.0,36949180000.0,37580415000.0,32343458000.0,30217075000.0,34005000000.0,36061720000.0,39666670000.0,31628090000.0,38555034000.0,20231918000.0
2059.0,36548190000.0,37147130000.0,31647228000.0,29567840000.0,33341716000.0,37117580000.0,39507407000.0,31138077000.0,38136820000.0,19322962000.0
2060.0,36028256000.0,36749570000.0,31199973000.0,29143240000.0,32862626000.0,35109110000.0,39009247000.0,30457750000.0,37841605000.0,18647114000.0
2061.0,35622236000.0,36215136000.0,30980946000.0,28611810000.0,32432638000.0,34847842000.0,38727668000.0,29872927000.0,37192960000.0,18076420000.0
2062.0,35332580000.0,35839160000.0,29937256000.0,27902183000.0,31863050000.0,34504990000.0,38450844000.0,29227560000.0,36724584000.0,17282410000.0
2063.0,34800960000.0,35469435000.0,29241393000.0,27161390000.0,31388418000.0,34751357000.0,38091514000.0,28709784000.0,36327120000.0,16709727000.0
2064.0,34789433000.0,35077517000.0,28714498000.0,26474013000.0,30825538000.0,33779145000.0,37696963000.0,28096647000.0,36131713000.0,16080077000.0
2065.0,34173372000.0,34780400000.0,28108240000.0,25887683000.0,30264230000.0,33285796000.0,38265840000.0,27460389000.0,35371794000.0,15484170000.0
2066.0,33743241000.0,34408817000.0,27523164000.0,25257531000.0,29751691000.0,32692447000.0,37606044000.0,26892255000.0,34744295000.0,14953082000.0
2067.0,33036720000.0,33994183000.0,26928980000.0,24835316000.0,29199460000.0,32257830000.0,37650743000.0,26315528000.0,34339529000.0,14421557000.0
2068.0,32639533000.0,33632313000.0,26382012000.0,24286441000.0,28791867000.0,31774634000.0,37225107000.0,25789704000.0,33879745000.0,13989754000.0
2069.0,32371069000.0,33262262000.0,25938129000.0,23614771000.0,28149637000.0,31244892000.0,37008495000.0,25327860000.0,33471533000.0,13547899000.0
2070.0,32270072000.0,32797684000.0,25184274000.0,23054447000.0,27668600000.0,31436483000.0,36489945000.0,24904915000.0,33165312000.0,13179142000.0
2071.0,31649274000.0,32948430000.0,24689530000.0,22656387000.0,27241267000.0,31906847000.0,36377113000.0,24370997000.0,32847882000.0,12759687000.0
2072.0,31231566000.0,32215067000.0,24047320000.0,22401487000.0,26861892000.0,30188640000.0,36487836000.0,23886391000.0,32301290000.0,12311980000.0
2073.0,30772335000.0,31863538000.0,23731956000.0,21753444000.0,26430058000.0,29751282000.0,36059220000.0,23347497000.0,32033055000.0,11969705000.0
2074.0,30289113000.0,31498803000.0,23131226000.0,21313268000.0,26006168000.0,29229320000.0,36820947000.0,22775150000.0,31637217000.0,11678179000.0
2075.0,29936208000.0,31051794000.0,22610727000.0,20910131000.0,25612675000.0,28800477000.0,35714940000.0,22433624000.0,31241028000.0,11322437000.0
2076.0,29568119000.0,30665130000.0,22195320000.0,20535489000.0,25211982000.0,28239335000.0,35676226000.0,22041108000.0,30859010000.0,11007431000.0
2077.0,29276381000.0,30201440000.0,21686780000.0,20207278000.0,24814795000.0,27868110000.0,35164810000.0,21658820000.0,30561147000.0,10693097000.0
2078.0,29052750000.0,29786890000.0,21353667000.0,19834683000.0,24320014000.0,27768695000.0,34953420000.0,21393050000.0,30518604000.0,10370644000.0
2079.0,28629715000.0,29388534000.0,20928117000.0,19486562000.0,23821357000.0,27689015000.0,34760580000.0,21103194000.0,29864710000.0,10028415000.0
2080.0,28230484000.0,29035878000.0,20550207000.0,19139066000.0,23494222000.0,27265294000.0,34482960000.0,20740868000.0,29431420000.0,9762583000.0
2081.0,27915395000.0,28751028000.0,20125626000.0,19904344000.0,23116080000.0,26884004000.0,36188940000.0,20377317000.0,29193611000.0,9539219000.0
2082.0,28155355000.0,28345967000.0,20099154000.0,19035447000.0,22728200000.0,28569210000.0,35521802000.0,20010463000.0,28757635000.0,9315422000.0
2083.0,27421583000.0,28112060000.0,19737061000.0,18308385000.0,22302796000.0,26584265000.0,34221642000.0,19721165000.0,28281547000.0,9104989000.0
2084.0,27282364000.0,28302938000.0,19269900000.0,18030160000.0,21901939000.0,25842878000.0,33927363000.0,19429790000.0,27919192000.0,8905869000.0
2085.0,26921222000.0,27381348000.0,18920534000.0,17654368000.0,21776452000.0,25778176000.0,33694243000.0,19133268000.0,27771021000.0,8759935000.0
2086.0,26729007000.0,27061123000.0,18751015000.0,17356632000.0,21287400000.0,25356272000.0,33558252000.0,18827524000.0,27391908000.0,8542769000.0
2087.0,26449180000.0,26678944000.0,18408217000.0,17133494000.0,20885823000.0,25221261000.0,33498501000.0,18582073000.0,27183888000.0,8413156000.0
2088.0,26183678000.0,26449520000.0,18093849000.0,17109625000.0,20566534000.0,24922370000.0,33670138000.0,18270065000.0,27111162000.0,8329853400.0
2089.0,26628053000.0,26002457000.0,17938485000.0,16603306000.0,20228735000.0,24709000000.0,33163490000.0,17964863000.0,26567875000.0,8104511000.0
2090.0,25951152000.0,26078417000.0,17652343000.0,16317641000.0,20434467000.0,24197087000.0,32917512000.0,17690438000.0,26399752000.0,7984545300.0
2091.0,25511043000.0,25431892000.0,17309508000.0,16083259000.0,19819540000.0,23791772000.0,32815840000.0,17396783000.0,26225404000.0,7902752000.0
2092.0,25269418000.0,25130996000.0,17163733000.0,15816613000.0,19505760000.0,23458922000.0,32585910000.0,17185930000.0,26396088000.0,7718364000.0
2093.0,25139786000.0,24700973000.0,16980964000.0,15559830000.0,19251306000.0,23080385000.0,32385077000.0,17114302000.0,25817117000.0,7625392000.0
2094.0,24824439000.0,24314976000.0,16646382000.0,15370447000.0,18913890000.0,22880290000.0,32318022000.0,16704488000.0,25523250000.0,7483563000.0
2095.0,24567409000.0,23962446000.0,16432760000.0,15545115000.0,18631666000.0,22694146000.0,32260958000.0,16494467000.0,25392556000.0,7350063600.0
2096.0,24410733000.0,23713341000.0,16190119000.0,15047569000.0,18353430000.0,23236053000.0,31894198000.0,16294637000.0,25235542000.0,7225448400.0
2097.0,24215441000.0,23326011000.0,16087308000.0,14903348000.0,18563975000.0,22335365000.0,32027828000.0,16103139000.0,24920166000.0,7112455700.0
2098.0,23995914000.0,23115428000.0,15995245000.0,14594201000.0,17936032000.0,22036324000.0,31832377000.0,15862090000.0,24739120000.0,6990416400.0
2099.0,24026620000.0,22850122000.0,15621754000.0,14477387000.0,17705032000.0,21795297000.0,31663161000.0,15616120000.0,24450378000.0,6892127000.0
2100.0,23741272000.0,22816233000.0,15457613000.0,14195248000.0,17474353000.0,21561490000.0,31427856000.0,15481496000.0,24335923000.0,6746917000.0
