time,CESM2-WACCM,INM-CM5-0,ACCESS-ESM1-5,GFDL-ESM4,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,BCC-CSM2-MR,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2,EC-EARTH3-VEG,NORESM2-MM,EC-EARTH3,ACCESS-CM2,INM-CM4-8,FGOALS-F3-L
2000.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0
2001.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0
2002.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0
2003.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0
2004.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0
2005.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0
2006.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0
2007.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0
2008.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0
2009.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0
2010.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0
2011.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0
2012.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0
2013.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0
2014.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0
2015.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0
2016.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0
2017.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0
2018.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0
2019.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0
2020.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0
2021.0,1097790200.0,1100800300.0,1102809500.0,1100903400.0,1111585500.0,1102526000.0,1096768600.0,1110262400.0,1093592600.0,1097419300.0,1103861000.0,1160186400.0,1144479200.0,1142617700.0,1092412500.0,1103376600.0,1097326100.0
2022.0,1078710500.0,1090731400.0,1158924400.0,1219920600.0,1125739600.0,1080982900.0,1079425300.0,1098754300.0,1076989400.0,1086741400.0,1090591200.0,1140347900.0,1154468500.0,1113746000.0,1099354900.0,1093323300.0,1080261800.0
2023.0,1121438000.0,1096213400.0,1090749600.0,1109624700.0,1103571500.0,1053120400.0,1067745900.0,1089020300.0,1073916400.0,1067267900.0,1080613500.0,1122474900.0,1134232200.0,1086770000.0,1083608400.0,1080005200.0,1060427700.0
2024.0,1061703940.0,1081653800.0,1063876800.0,1075727000.0,1104184300.0,1039991800.0,1054560100.0,1069579800.0,1053037000.0,1048336830.0,1065518340.0,1103426600.0,1106320400.0,1087277700.0,1066112300.0,1090441000.0,1052286800.0
2025.0,1053895550.0,1074777600.0,1039777800.0,1062628160.0,1098587300.0,1036723500.0,1079052700.0,1053328960.0,1042829600.0,1033767940.0,1054666560.0,1084970000.0,1114267000.0,1072297150.0,1054027460.0,1114546600.0,1029986100.0
2026.0,1048740600.0,1057993600.0,1019781400.0,1057972200.0,1086086300.0,1017369300.0,1054966140.0,1103283000.0,1030430700.0,1018705100.0,1044705900.0,1079274000.0,1093200900.0,1062238500.0,1036534500.0,1127203800.0,1009034700.0
2027.0,1028496500.0,1054560100.0,990165100.0,1055346400.0,1077532000.0,997885440.0,1027024960.0,1121402800.0,1004420740.0,1001986750.0,1038018370.0,1078042500.0,1084371000.0,1058231400.0,1009924900.0,1090554400.0,988855360.0
2028.0,1012643000.0,1055026900.0,977684160.0,1043067900.0,1061696100.0,982343600.0,1007301000.0,1074632400.0,969212700.0,999573300.0,1021182850.0,1084619300.0,1090252400.0,1083326600.0,990802370.0,1082163500.0,968417200.0
