time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2033.0,37539560000.0,33966367000.0,33558327000.0,33720193000.0,34387263000.0,33745144000.0
2034.0,36424327000.0,33022300000.0,32758039000.0,33199147000.0,34420470000.0,33141484000.0
2035.0,35206386000.0,32460400000.0,32362232000.0,32692984000.0,33370240000.0,33128310000.0
2036.0,34605904000.0,31814367000.0,31086035000.0,31422288000.0,32298308000.0,31539139000.0
2037.0,33844425000.0,31141382000.0,30457674000.0,30284634000.0,32496144000.0,29386707000.0
2038.0,32741902000.0,29984578000.0,29740057000.0,29862476000.0,32204171000.0,29019050000.0
2039.0,31055640000.0,29005870000.0,29802213000.0,29057390000.0,32070588000.0,28699724000.0
2040.0,30465624000.0,29454402000.0,29590743000.0,28401598000.0,31471092000.0,28234170000.0
2041.0,29709836000.0,28512782000.0,29531429000.0,27946349000.0,30340352000.0,28193057000.0
2042.0,28879675000.0,28220252000.0,28334098000.0,27025068000.0,29985733000.0,27095441000.0
2043.0,27857619000.0,27465026000.0,27719463000.0,26873274000.0,29013817000.0,26285117000.0
2044.0,27059698000.0,26950988000.0,26893134000.0,25700805000.0,27912600000.0,25486205000.0
2045.0,26333823000.0,26910622000.0,26597818000.0,25675108000.0,27378072000.0,24884146000.0
2046.0,25021790000.0,25652185000.0,26412579000.0,24494617000.0,26498765000.0,24050030000.0
2047.0,24176142000.0,23742544000.0,25986210000.0,24010238000.0,25345296000.0,22673738000.0
2048.0,23383861000.0,23288426000.0,24882854000.0,23750707000.0,24250698000.0,21805726000.0
2049.0,23105886000.0,22372723000.0,24906779000.0,23449580000.0,23665816000.0,21107100000.0
2050.0,22314060000.0,22352222000.0,25120050000.0,22537005000.0,23091892000.0,21132600000.0
2051.0,21541940000.0,20858620000.0,25157362000.0,21998334000.0,22499801000.0,20805503000.0
2052.0,20589636000.0,19746870000.0,25346996000.0,21424300000.0,22228634000.0,19729465000.0
2053.0,19937626000.0,18710600000.0,25738398000.0,20891073000.0,21702093000.0,18212217000.0
2054.0,19116773000.0,17873162000.0,25144035000.0,20902060000.0,20819268000.0,18357164000.0
2055.0,18729818000.0,17055135000.0,24794909000.0,20422693000.0,21207216000.0,17559282000.0
2056.0,18427010000.0,16518388000.0,24975890000.0,20804985000.0,20686402000.0,17317542000.0
2057.0,18359448000.0,16631514000.0,24888790000.0,20492632000.0,19869086000.0,17437526000.0
2058.0,18140891000.0,16909144000.0,24420076000.0,20469790000.0,18850306000.0,16411620000.0
2059.0,17929495000.0,16599435000.0,23492786000.0,19724917000.0,18183176000.0,16125756000.0
2060.0,17239091000.0,15415412000.0,22624115000.0,19380287000.0,18290300000.0,15992015000.0
2061.0,16983669000.0,14965270000.0,22626638000.0,18417383000.0,17758050000.0,15766753000.0
2062.0,17107049000.0,14595023000.0,22670367000.0,18195927000.0,17073231000.0,15765977000.0
2063.0,16225288000.0,13914415000.0,22243020000.0,17692109000.0,16663073000.0,15064202000.0
2064.0,16082403000.0,14207769000.0,21426602000.0,17127289000.0,16079124000.0,15059029000.0
2065.0,15728126000.0,14708160000.0,21773179000.0,16593355000.0,15792919000.0,14939790000.0
2066.0,15773100000.0,14721210000.0,21634451000.0,16464096000.0,15168034000.0,15028756000.0
2067.0,15503320000.0,14181524000.0,21517226000.0,15895862000.0,15338050000.0,14720151000.0
2068.0,15760112000.0,14077119000.0,21491374000.0,15493145000.0,15743169000.0,14350093000.0
2069.0,15726465000.0,13480899000.0,21217376000.0,15320476000.0,15668709000.0,14393655000.0
2070.0,15561973000.0,13624711000.0,21344741000.0,15009660000.0,15756979000.0,14322544000.0
2071.0,15252723000.0,13764012000.0,20704199000.0,15259753000.0,16061694000.0,13929517000.0
2072.0,14829524000.0,13946473000.0,20528510000.0,14943277000.0,16328249000.0,13676326000.0
2073.0,14671447000.0,13281747000.0,20013574000.0,14861711000.0,16402522000.0,13454989000.0
2074.0,14755260000.0,13228020000.0,20160104000.0,14505810000.0,16315549000.0,13194577000.0
2075.0,14755650000.0,12879681000.0,20560544000.0,14034444000.0,16015160000.0,13184334000.0
2076.0,15235344000.0,12722424000.0,21272820000.0,14087419000.0,16077356000.0,12691276000.0
2077.0,15262905000.0,12474145000.0,20824613000.0,14086461000.0,15678726000.0,12438382000.0
2078.0,15330065000.0,12127877000.0,20468793000.0,14334800000.0,15379882000.0,12226806000.0
2079.0,14872535000.0,12404470000.0,20893424000.0,14047123000.0,15409460000.0,11760385000.0
2080.0,14668261000.0,12047892000.0,21122877000.0,13320567000.0,15137014000.0,11298348000.0
2081.0,15108366000.0,12314550000.0,20685320000.0,13325464000.0,15325046000.0,11002575000.0
2082.0,15081359000.0,12140919000.0,20645577000.0,13004229000.0,15030639000.0,10947797000.0
2083.0,15040824000.0,12354145000.0,20817512000.0,12846780000.0,15157665000.0,10773662000.0
2084.0,14882035000.0,12542210000.0,20602655000.0,12639382000.0,14868370000.0,10684117000.0
2085.0,14769126000.0,12437291000.0,20853127000.0,12365680000.0,15071794000.0,10750474000.0
2086.0,14877010000.0,12870608000.0,21082978000.0,12535975000.0,14873537000.0,10964118000.0
2087.0,14867333000.0,13609827000.0,21156784000.0,12766939000.0,14304452000.0,11210199000.0
2088.0,14750193000.0,13631350000.0,21530053000.0,12862216000.0,13965722000.0,11247014000.0
2089.0,14985793000.0,13701682000.0,21738902000.0,13082677000.0,13787614000.0,11160654000.0
2090.0,14767741000.0,14360254000.0,22489209000.0,13074772000.0,13880453000.0,11225613000.0
2091.0,14806644000.0,14778045000.0,22949102000.0,13139732000.0,13674550000.0,11166204000.0
2092.0,14931297000.0,14583696000.0,23603966000.0,13108638000.0,13483604000.0,11069320000.0
2093.0,14737794000.0,14632548000.0,23766872000.0,13064964000.0,13600076000.0,11056890000.0
2094.0,15106684000.0,14854590000.0,23558220000.0,12878587000.0,13304970000.0,11055117000.0
2095.0,15284674000.0,14984923000.0,23552725000.0,12924703000.0,13257982000.0,11573622000.0
2096.0,15119032000.0,15048573000.0,23424633000.0,12939412000.0,12895589000.0,11424138000.0
2097.0,14839298000.0,14834307000.0,23602651000.0,12778300000.0,12480049000.0,11399294000.0
2098.0,14886562000.0,14579895000.0,24066753000.0,12574196000.0,12470408000.0,11411044000.0
2099.0,15307479000.0,14189681000.0,24470823000.0,13037168000.0,12250529000.0,11300947000.0
2100.0,15512364000.0,13991144000.0,24160965000.0,12993401000.0,12048758000.0,11214885000.0
2101.0,15460283000.0,14060812000.0,24238109000.0,13089253000.0,11591331000.0,11246818000.0
2102.0,15334937000.0,14213260000.0,23776778000.0,12890983000.0,11459483000.0,10970590000.0
2103.0,15507769000.0,13962781000.0,24143546000.0,12859127000.0,11506134000.0,10759602000.0
2104.0,15476507000.0,14370058000.0,23950774000.0,12974454000.0,11701098000.0,10720858000.0
2105.0,15670051000.0,14807924000.0,23764238000.0,12900727000.0,11925519000.0,10729785000.0
2106.0,15725429000.0,15487193000.0,23435725000.0,12963045000.0,12099547000.0,10819172000.0
2107.0,15922026000.0,15459429000.0,23898829000.0,12988091000.0,12274370000.0,10877948000.0
2108.0,16136227000.0,15320519000.0,23751856000.0,12823986000.0,12233843000.0,11156816000.0
2109.0,16082907000.0,15485732000.0,23996324000.0,12980402000.0,12327998000.0,11009577000.0
2110.0,15996429000.0,15875836000.0,23916147000.0,13408686000.0,12294596000.0,10890809000.0
2111.0,16208941000.0,15670966000.0,23924543000.0,13765088000.0,12352724000.0,11057187000.0
2112.0,16173534000.0,15662477000.0,24387290000.0,14035347000.0,12637602000.0,10809721000.0
2113.0,16397523000.0,16215647000.0,24183700000.0,14152741000.0,13022580000.0,10384216000.0
2114.0,16388924000.0,16882722000.0,24252550000.0,14119453000.0,13056664000.0,10579592000.0
2115.0,16168560000.0,16839878000.0,24303976000.0,14217131000.0,13160980000.0,10686205000.0
2116.0,16122218000.0,16455882000.0,24670296000.0,14274119000.0,13412108000.0,10452012000.0
2117.0,15827548000.0,16483280000.0,24737730000.0,14388460000.0,13638948000.0,10867336000.0
2118.0,15770821000.0,16825553000.0,24762280000.0,14524586000.0,13730969000.0,10788462000.0
2119.0,15936260000.0,17320942000.0,24792447000.0,14632422000.0,14195312000.0,10855390000.0
2120.0,16082399000.0,16972421000.0,25302383000.0,14756286000.0,14281383000.0,10553646000.0
2121.0,15960266000.0,17559540000.0,25886886000.0,14805044000.0,14747998000.0,10791367000.0
2122.0,16325719000.0,18125021000.0,26751440000.0,15028874000.0,14514188000.0,10574868000.0
2123.0,16592878000.0,17869578000.0,26486796000.0,15137721000.0,14590328000.0,10724068000.0
2124.0,16437529000.0,18316040000.0,26223854000.0,15466572000.0,14654161000.0,10723570000.0
2125.0,16247745000.0,18534711000.0,26284630000.0,15627037000.0,14782977000.0,10354685000.0
2126.0,16434422000.0,18329434000.0,26942003000.0,15854280000.0,14902329000.0,10418191000.0
2127.0,17056892000.0,18850435000.0,27386909000.0,15936992000.0,14785310000.0,10094045000.0
2128.0,17449837000.0,18612673000.0,27846770000.0,16264759000.0,14696093000.0,9921381000.0
2129.0,17408709000.0,18205753000.0,28030204000.0,16796293000.0,14793714000.0,9650797000.0
2130.0,17725660000.0,17336543000.0,28599103000.0,16856388000.0,15380427000.0,9737326000.0
2131.0,17987475000.0,17808013000.0,28806924000.0,16893939000.0,15651478000.0,9544296000.0
2132.0,18175044000.0,17596197000.0,29020658000.0,17199591000.0,15561750000.0,9432640000.0
2133.0,18344330000.0,18478180000.0,28563368000.0,17406250000.0,15402594000.0,9293980000.0
2134.0,18084772000.0,18246600000.0,28443572000.0,17587920000.0,15356720000.0,9365088000.0
2135.0,18018697000.0,18476040000.0,27786553000.0,17263028000.0,15571822000.0,9171277000.0
