time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0
2001.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0
2002.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0
2003.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0
2004.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0
2005.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0
2006.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0
2007.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0
2008.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0
2009.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0
2010.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0
2011.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0
2012.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0
2013.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0
2014.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0
2015.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0
2016.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0
2017.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0
2018.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0
2019.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0
2020.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0
2021.0,33819670000.0,33822579000.0,33863172000.0,33800675000.0,33754966000.0,33872112000.0,34005504000.0,33762028000.0,33890603000.0,33721596000.0,33855820000.0,33767088000.0,33790134000.0
2022.0,33686086000.0,33857060000.0,33734980000.0,33846143000.0,33721380000.0,33859280000.0,33859795000.0,33830328000.0,33746510000.0,33552517000.0,33722262000.0,33731690000.0,33756295000.0
2023.0,33593980000.0,33712202000.0,33645947000.0,33773638000.0,33613860000.0,33721740000.0,33729464000.0,33734726000.0,33678954000.0,33430956000.0,33623780000.0,33962144000.0,33674207000.0
2024.0,33608423000.0,33736282000.0,33551830000.0,33554878000.0,33539688000.0,33712802000.0,34526618000.0,33690788000.0,33767868000.0,33394065000.0,33607973000.0,33684312000.0,33683720000.0
2025.0,33478922000.0,33651032000.0,33449960000.0,33624885000.0,33491421000.0,33738870000.0,33906506000.0,33635934000.0,33585596000.0,33204994000.0,33571416000.0,33898775000.0,33570765000.0
2026.0,33323708000.0,33924129000.0,33426438000.0,33569333000.0,33474908000.0,34881126000.0,33668639000.0,33489449000.0,33641214000.0,33059222000.0,33488294000.0,33703162000.0,33500037000.0
2027.0,33208410000.0,33697294000.0,33326184000.0,33514574000.0,33364210000.0,33850410000.0,33562417000.0,33419000000.0,33499447000.0,32891662000.0,33879292000.0,33575746000.0,33737247000.0
2028.0,33154190000.0,33518852000.0,33213660000.0,33379355000.0,33255524000.0,33688734000.0,33526125000.0,33377942000.0,33400152000.0,32778807000.0,33653223000.0,33552626000.0,33436264000.0
2029.0,32973826000.0,33450164000.0,33108068000.0,33310296000.0,33111892000.0,33537870000.0,33519030000.0,33399095000.0,33335734000.0,32581366000.0,33555653000.0,33436723000.0,33394395000.0
