time,GFDL-ESM4,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,CESM2
2000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0
2001.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0
2002.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0
2003.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0
2004.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0
2005.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0
2006.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0
2007.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0
2008.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0
2009.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0
2010.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0
2011.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0
2012.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0
2013.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0
2014.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0
2015.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0
2016.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0
2017.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0
2018.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0
2019.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0
2020.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0
2021.0,33737263000.0,33889825000.0,33824465000.0,33735606000.0,33824954000.0,33840718000.0,33802779000.0,33784519000.0,33874078000.0,33884436000.0,34118767000.0,33796375000.0,33721710000.0,33816132000.0
2022.0,33663650000.0,33823230000.0,33738590000.0,33764078000.0,33788645000.0,33696061000.0,33898936000.0,33744690000.0,33706609000.0,33759664000.0,33751500000.0,33789219000.0,33564566000.0,33714571000.0
2023.0,33589752000.0,33686682000.0,33671380000.0,34043564000.0,33778717000.0,33638924000.0,33738375000.0,33856702000.0,33623681000.0,33734574000.0,33716580000.0,33820205000.0,33448778000.0,33612825000.0
2024.0,33560869000.0,33676474000.0,33552144000.0,33830947000.0,33876177000.0,33560812000.0,33640843000.0,33690143000.0,33553467000.0,33647374000.0,33701340000.0,33695328000.0,33372200000.0,33517720000.0
2025.0,33516153000.0,33620343000.0,33547483000.0,33556533000.0,33813200000.0,33455006000.0,33603754000.0,34344331000.0,33804247000.0,33585290000.0,33580327000.0,33680350000.0,33170913000.0,33668989000.0
2026.0,33390160000.0,33564838000.0,33404105000.0,33472197000.0,33767455000.0,33373235000.0,33563300000.0,33700674000.0,33611125000.0,33497463000.0,33733624000.0,33586412000.0,33033980000.0,33541220000.0
2027.0,33321191000.0,33465920000.0,33330135000.0,33566228000.0,33546947000.0,33413925000.0,33493803000.0,33628838000.0,33391860000.0,33670660000.0,33572280000.0,33657432000.0,32858186000.0,33561530000.0
2028.0,33267220000.0,33459784000.0,33239540000.0,33324362000.0,33827377000.0,33238297000.0,33387493000.0,33502749000.0,33694034000.0,33376143000.0,33412067000.0,33493727000.0,32653270000.0,33757230000.0
2029.0,33356102000.0,33444311000.0,33126042000.0,33247320000.0,33586510000.0,33112685000.0,33760133000.0,33855267000.0,33236656000.0,33263387000.0,33333807000.0,33401373000.0,32374477000.0,33466796000.0
2030.0,33139565000.0,33373796000.0,33013330000.0,33178388000.0,33452274000.0,33374845000.0,33408025000.0,33477077000.0,33216131000.0,33147470000.0,33253552000.0,33382937000.0,32356688000.0,33291657000.0
2031.0,33699779000.0,33249670000.0,32934280000.0,33034189000.0,33370700000.0,32969440000.0,33254540000.0,33447991000.0,33141117000.0,33067663000.0,33140034000.0,33571779000.0,32036340000.0,33151373000.0
2032.0,33373660000.0,33211378000.0,32768110000.0,32901517000.0,33260763000.0,32841077000.0,33180355000.0,33516906000.0,33043442000.0,32960506000.0,33011452000.0,33598118000.0,31830004000.0,33194082000.0
2033.0,33206930000.0,33240766000.0,32649333000.0,32855126000.0,33154804000.0,32751480000.0,33093290000.0,33450017000.0,32909523000.0,32787016000.0,32944974000.0,33203962000.0,31615440000.0,33057618000.0
2034.0,33011034000.0,33203173000.0,32560706000.0,32697666000.0,33099178000.0,32557849000.0,32916462000.0,33394850000.0,32899971000.0,32672616000.0,32814830000.0,33125093000.0,31299768000.0,33047116000.0
2035.0,33369512000.0,33340398000.0,32358230000.0,32579113000.0,33323833000.0,32559516000.0,32908188000.0,33316346000.0,32641590000.0,32581812000.0,32677790000.0,33016977000.0,31191759000.0,32919910000.0
2036.0,33253706000.0,33022202000.0,32147024000.0,32471945000.0,33028018000.0,32346345000.0,32777155000.0,33278670000.0,32440355000.0,32535544000.0,32556177000.0,32860957000.0,30961740000.0,32886030000.0
2037.0,32940016000.0,32840032000.0,31994423000.0,32556591000.0,32957823000.0,32110221000.0,32561842000.0,33277784000.0,32530299000.0,32352500000.0,32612833000.0,32731808000.0,30490544000.0,32721890000.0
2038.0,32877210000.0,32676456000.0,31781011000.0,32189970000.0,32867217000.0,31927270000.0,32384320000.0,33107388000.0,32164090000.0,32248330000.0,32366223000.0,32769153000.0,30133518000.0,32553607000.0
2039.0,32772858000.0,32530300000.0,31638678000.0,32019157000.0,32762096000.0,31767669000.0,32538830000.0,33136333000.0,31991562000.0,32052343000.0,32193450000.0,32664020000.0,29860858000.0,32420852000.0
2040.0,32622520000.0,32601772000.0,31405058000.0,31923708000.0,32637577000.0,31581290000.0,32138770000.0,33216230000.0,32087171000.0,31902350000.0,32072663000.0,32387572000.0,29595058000.0,32334522000.0
