time,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0
2000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0
2001.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0
2002.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0
2003.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0
2004.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0
2005.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0
2006.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0
2007.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0
2008.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0
2009.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0
2010.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0
2011.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0
2012.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0
2013.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0
2014.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0
2015.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0
2016.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0
2017.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0
2018.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0
2019.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0
2020.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0
2021.0,33812460000.0,34108842000.0,33714460000.0,33866107000.0
2022.0,33857520000.0,34058550000.0,33600618000.0,33818143000.0
2023.0,33717955000.0,33783316000.0,33688717000.0,34390250000.0
2024.0,33692658000.0,33723922000.0,33560855000.0,33858855000.0
2025.0,33611536000.0,33638025000.0,33437890000.0,33710130000.0
2026.0,33566593000.0,33549734000.0,33316040000.0,33670416000.0
2027.0,33648495000.0,33449746000.0,33200360000.0,33981725000.0
2028.0,33432290000.0,33306163000.0,33150056000.0,33675830000.0
2029.0,33471087000.0,33384825000.0,33156493000.0,33552847000.0
2030.0,33286873000.0,33149463000.0,33147280000.0,33601718000.0
2031.0,33208246000.0,33030945000.0,33235653000.0,33455104000.0
2032.0,33187852000.0,32939629000.0,33429008000.0,33363628000.0
