time,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM,CNRM-ESM2-1,TAIESM1,UKESM1-0-LL,GFDL-ESM4,EC-EARTH3,CANESM5,KACE-1-0-G,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0
2001.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0
2002.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0
2003.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0
2004.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0
2005.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0
2006.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0
2007.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0
2008.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0
2009.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0
2010.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0
2011.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0
2012.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0
2013.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0
2014.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0
2015.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0
