time,CESM2-WACCM,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,KACE-1-0-G,GFDL-ESM4,UKESM1-0-LL,TAIESM1,IITM-ESM
2000.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0
2001.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0
2002.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0
2003.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0
2004.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0
2005.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0
2006.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0
2007.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0
2008.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0
2009.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0
2010.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0
2011.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0
2012.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0
2013.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0
2014.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0
2015.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0
2016.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0
2017.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0
2018.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0
2019.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0
2020.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0
2021.0,2057757800.0,2027454700.0,2048803000.0,2033294700.0,2051346800.0,2050897000.0,2020900100.0,2033706500.0,2037588700.0
2022.0,2008466000.0,1980262500.0,2021791700.0,1979854000.0,1998375800.0,2020938900.0,1986408400.0,1979084300.0,2002607400.0
2023.0,1952825900.0,1929552900.0,1973717600.0,1947442000.0,1950141400.0,1982723600.0,1934625400.0,1929265500.0,1959058000.0
2024.0,1917367900.0,1882620000.0,1930957400.0,1897689500.0,1900430000.0,1936817000.0,1849160700.0,1860179300.0,1945456300.0
2025.0,1869295700.0,1813241000.0,1898022800.0,1836048300.0,1849416700.0,1887090200.0,1773363800.0,1778631400.0,1937624800.0
2026.0,1790941600.0,1739253400.0,1859174900.0,1769936000.0,1788329600.0,1836782700.0,1667844700.0,1694379400.0,1902492800.0
2027.0,1710098000.0,1738789000.0,1806047200.0,1674326100.0,1725612300.0,1765211800.0,1571663900.0,1604132500.0,1853515800.0
2028.0,1629722400.0,1722631700.0,1737961100.0,1594224000.0,1649525000.0,1687201400.0,1476091400.0,1501519600.0,1845007000.0
2029.0,1519704600.0,1679824900.0,1666823000.0,1522634500.0,1581062800.0,1616149800.0,1374219400.0,1429422000.0,1811754500.0
2030.0,1381219300.0,1603120100.0,1573643000.0,1446435100.0,1518057000.0,1544552200.0,1276210700.0,1338149600.0,1789997300.0
2031.0,1317374100.0,1567221100.0,1526244200.0,1393876600.0,1466716200.0,1449555700.0,1169209100.0,1226854500.0,1778410000.0
2032.0,1244635600.0,1543011000.0,1470193000.0,1336479000.0,1409936600.0,1374560900.0,1066778940.0,1166425300.0,1734042100.0
2033.0,1144214400.0,1515533800.0,1403794300.0,1251232600.0,1346154800.0,1316093600.0,978654600.0,1122616700.0,1690079000.0
2034.0,1091261200.0,1488767400.0,1346807800.0,1192771000.0,1309758000.0,1278270300.0,928496260.0,1062400000.0,1668244900.0
2035.0,1042040260.0,1449365400.0,1292870800.0,1160907600.0,1288510700.0,1229423900.0,874013000.0,996280100.0,1638348700.0
2036.0,973376400.0,1421087200.0,1241282000.0,1116661200.0,1244466800.0,1192185200.0,835423940.0,946933100.0,1594996600.0
2037.0,946138240.0,1405724200.0,1197037200.0,1072716800.0,1195574700.0,1159808100.0,778276000.0,896589950.0,1652067200.0
2038.0,905607200.0,1380172200.0,1145485300.0,1019630700.0,1158334700.0,1117385300.0,728589600.0,851999550.0,1560434700.0
2039.0,849439740.0,1349122400.0,1108997100.0,994772740.0,1123220400.0,1089935100.0,692221300.0,801622300.0,1521157200.0
2040.0,825711940.0,1317267300.0,1062909250.0,959201540.0,1080037200.0,1057507800.0,668589060.0,771076900.0,1479473000.0
2041.0,786325100.0,1277640000.0,1036806600.0,900475500.0,1045411260.0,1036156540.0,637402700.0,743467600.0,1441653000.0
2042.0,794538700.0,1243337500.0,1009804000.0,864144260.0,1005024600.0,1009116400.0,611469100.0,702684700.0,1404758800.0
2043.0,794151230.0,1217682000.0,977075840.0,835035300.0,959644500.0,995969500.0,591817000.0,665738560.0,1374945800.0
2044.0,742681700.0,1224937300.0,948787600.0,803687550.0,904595500.0,966966400.0,576080300.0,644842900.0,1343505300.0
2045.0,709842750.0,1247070200.0,924842000.0,778352800.0,852514000.0,949823500.0,555611100.0,637084860.0,1414561400.0
2046.0,698218240.0,1209365800.0,898170300.0,749446200.0,822600770.0,931829200.0,533025300.0,615180300.0,1310832100.0
2047.0,671168260.0,1183326000.0,880338240.0,715023700.0,781618800.0,909303900.0,509655140.0,590480830.0,1269391100.0
2048.0,644551800.0,1147981600.0,860840500.0,688724400.0,748609540.0,886535300.0,485554980.0,560383550.0,1222774800.0
2049.0,616619140.0,1118788900.0,838619900.0,662690050.0,721706500.0,877715260.0,457555800.0,533729660.0,1205625100.0
2050.0,579045700.0,1095572900.0,824910400.0,647347000.0,703122700.0,853915700.0,448123800.0,517528580.0,1207323400.0
2051.0,548680600.0,1069506560.0,804949950.0,625855200.0,664826200.0,837171260.0,430408220.0,496877760.0,1162367600.0
2052.0,520356830.0,1026705800.0,785626800.0,612528830.0,638340740.0,814460900.0,404040300.0,468782560.0,1129117700.0
2053.0,484705730.0,977291260.0,770253200.0,601070200.0,621589060.0,796701440.0,390922180.0,448391600.0,1121282800.0
