time,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0
2001.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0
2002.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0
2003.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0
2004.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0
2005.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0
2006.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0
2007.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0
2008.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0
2009.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0
2010.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0
2011.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0
2012.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0
2013.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0
2014.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0
2015.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0
2016.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0
2017.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0
2018.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0
2019.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0
2020.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0
2021.0,2012469000.0,2042033400.0,2038665100.0,2021176600.0
2022.0,1947438200.0,1997511200.0,1993979400.0,1976550500.0
2023.0,1867101400.0,1938730900.0,1961271000.0,1920523400.0
2024.0,1764930200.0,1894131500.0,1919118800.0,1859438200.0
2025.0,1603959700.0,1857710000.0,1875911800.0,1790529700.0
2026.0,1441446900.0,1798517000.0,1841365800.0,1696252300.0
2027.0,1339976700.0,1728444800.0,1798263600.0,1610382200.0
2028.0,1214216200.0,1675540500.0,1754077800.0,1549435300.0
2029.0,1145442400.0,1613528700.0,1698630300.0,1473076400.0
2030.0,1083653400.0,1564907100.0,1664633600.0,1384469500.0
2031.0,1003307140.0,1526842100.0,1624184000.0,1313517800.0
2032.0,962537100.0,1465441200.0,1564844200.0,1244670200.0
2033.0,979995100.0,1424895900.0,1529512700.0,1217874400.0
