time,CESM2-WACCM,ACCESS-ESM1-5,ACCESS-CM2,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR
2000.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0
2001.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0
2002.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0
2003.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0
2004.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0
2005.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0
2006.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0
2007.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0
2008.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0
2009.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0
2010.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0
2011.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0
2012.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0
2013.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0
2014.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0
2015.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0
2016.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0
2017.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0
2018.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0
2019.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0
2020.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0
2021.0,697470115300.0,697625419400.0,698080669900.0,697015552800.0,697450040800.0,699159985400.0
2022.0,696819697100.0,695978740400.0,696227559900.0,696141188400.0,698816277100.0,696969994600.0
2023.0,696894150340.0,694913538900.0,694719454000.0,694518505300.0,695186114650.0,695995924370.0
2024.0,693451238530.0,693956801960.0,694280716000.0,692993769160.0,693537797710.0,695039882700.0
2025.0,691488247700.0,692432036860.0,692242565760.0,691037595440.0,690846710160.0,692901866300.0
2026.0,688662450850.0,690474428800.0,690488660300.0,689800945700.0,688871499400.0,691695228300.0
2027.0,686831277060.0,688639915260.0,688287586490.0,687484832000.0,686918977300.0,690612106700.0
2028.0,684943404300.0,685966868740.0,685541672100.0,686005419850.0,684709726940.0,688742379000.0
2029.0,682657721500.0,684108307540.0,683456317830.0,683616849470.0,682109436400.0,688002658700.0
2030.0,680613779400.0,682200547790.0,681237214140.0,681782143150.0,679528842360.0,685987903860.0
2031.0,678577269900.0,679997740100.0,678046902950.0,679576149100.0,677392325200.0,684200822760.0
2032.0,676069987660.0,677984712100.0,675413670640.0,677058879960.0,675254919260.0,681805446760.0
2033.0,674098193860.0,675568802960.0,674039567140.0,675362355400.0,670581189200.0,679050647250.0
2034.0,671008636850.0,673538645200.0,671118370860.0,672632198990.0,666934303000.0,676846603200.0
2035.0,668252854000.0,670578527200.0,668062174400.0,669271438760.0,663284647420.0,673848769100.0
2036.0,665055801060.0,667502253400.0,665421283400.0,666853107130.0,659768494200.0,670477656360.0
2037.0,662418723160.0,665504626800.0,663160023070.0,664396969040.0,657328912870.0,668635406550.0
2038.0,659320498870.0,663211396340.0,660085966900.0,660589483400.0,652978621650.0,665735584500.0
2039.0,656317129200.0,661093640900.0,656187331410.0,658567859400.0,649187227560.0,662968449740.0
2040.0,653157616140.0,658228680960.0,652949112110.0,655148727870.0,645282556000.0,658765699010.0
2041.0,650116335240.0,655379825350.0,649240843610.0,651836654740.0,640954238700.0,656987822760.0
2042.0,647595178900.0,652535430500.0,646038520660.0,649355802500.0,636757563000.0,653713115140.0
2043.0,643778732880.0,650115485240.0,643378747000.0,648400841650.0,633038720120.0,650449300200.0
2044.0,642002210730.0,646471158570.0,639609864050.0,644590693900.0,629134163300.0,647416065860.0
2045.0,638023809550.0,643442574000.0,636538143400.0,641129271700.0,624626103800.0,644212039490.0
2046.0,634703454200.0,642908185450.0,632510935460.0,637543694850.0,620720999520.0,641604424460.0
2047.0,631759334070.0,638489255600.0,629364670020.0,634085726700.0,615630750640.0,639950408000.0
2048.0,628765030300.0,635945919880.0,625295562140.0,631150217950.0,610804651290.0,634813241960.0
2049.0,625422722250.0,633614745640.0,621408573740.0,628375185360.0,607318652980.0,631008793150.0
2050.0,622516859940.0,630826551880.0,617401542820.0,625472301100.0,604391101140.0,628547701360.0
2051.0,619900610130.0,627468980810.0,614303188740.0,622132736600.0,599072580260.0,624564845700.0
2052.0,617767341150.0,624997763940.0,610851325570.0,619597201240.0,595193008560.0,622628867360.0
2053.0,613548091960.0,621768392520.0,606414373800.0,616338440530.0,591091898760.0,619914951650.0
2054.0,611624737060.0,621500172450.0,602951937350.0,613125920690.0,586495600140.0,616718947080.0
2055.0,608473154660.0,618251266730.0,599378772900.0,611024040310.0,582792368930.0,615110180430.0
2056.0,604803903520.0,615647823250.0,596305480360.0,607700171060.0,578824372650.0,612322336600.0
2057.0,601500398960.0,613496716700.0,593338628410.0,605100057420.0,574424161400.0,607575256560.0
2058.0,599088919860.0,610622807900.0,589840232800.0,601554990060.0,571779269810.0,604064058900.0
2059.0,595558359980.0,607877005100.0,586258205520.0,598928909030.0,565729903020.0,601860721000.0
2060.0,591938140560.0,605252301620.0,584169223900.0,596768132880.0,560937642050.0,596906423220.0
2061.0,589245098870.0,603402732780.0,580018474300.0,594229251930.0,559169919110.0,595728692930.0
2062.0,586137758900.0,601353397560.0,576689169910.0,594396309150.0,554653018020.0,589741474420.0
2063.0,583117531530.0,598581628190.0,573178518350.0,589201517170.0,550276055180.0,587609657740.0
2064.0,581013883220.0,595860612240.0,570088811220.0,591288044080.0,547259670370.0,582654906880.0
2065.0,578850545300.0,593601840580.0,566936539280.0,584641635500.0,545379586400.0,579837335840.0
2066.0,575096489250.0,592546014170.0,564189644250.0,581284359350.0,540141902090.0,575652029060.0
2067.0,571569276240.0,589817691370.0,560337656670.0,578564786050.0,536124856580.0,573027785340.0
2068.0,569047432870.0,587583357390.0,557072715870.0,577386002500.0,532127836460.0,569973782120.0
2069.0,566492538570.0,584100611850.0,554421863580.0,573084389810.0,528670422460.0,566959480520.0
2070.0,563474769960.0,582012209990.0,551208447620.0,570750122820.0,525297488050.0,563576426340.0
2071.0,561690794090.0,579836711020.0,548802583080.0,569220850850.0,524672192190.0,559465574620.0
2072.0,559261614170.0,576847396720.0,545640411160.0,570525008030.0,518741527290.0,556413630860.0
2073.0,556765260630.0,574659422710.0,542961863720.0,567826381520.0,514985073430.0,555129642180.0
2074.0,553402351430.0,573005045570.0,539987469530.0,563242222100.0,511829739380.0,552310110350.0
2075.0,550690042070.0,570620754120.0,537077857300.0,560779449780.0,509937286710.0,548980253540.0
2076.0,548514246210.0,568473254460.0,534806074960.0,561858761740.0,505805140510.0,545279153960.0
2077.0,546650842220.0,565346295230.0,532658928830.0,558451238660.0,502355264200.0,541818274110.0
2078.0,543645759520.0,564209384460.0,529162820620.0,558322564070.0,498527245590.0,539170374250.0
2079.0,541055117250.0,560677227820.0,526119096890.0,553435694130.0,494937824880.0,536330767480.0
2080.0,537339525290.0,559017030070.0,523034820620.0,550816320390.0,492128681590.0,534131988270.0
2081.0,533997778050.0,556442202290.0,520920365880.0,549577339550.0,489398370620.0,530130727160.0
2082.0,534134815040.0,554806215980.0,520371755770.0,547888109870.0,486730886780.0,527625532880.0
2083.0,530254123630.0,553370128800.0,516490334830.0,543512221090.0,483733778830.0,523948093890.0
2084.0,527492128390.0,550315025180.0,513313582380.0,541763292580.0,480135697260.0,521662592340.0
2085.0,523914899720.0,548171091150.0,510193704790.0,540202917720.0,478632114180.0,518613984720.0
2086.0,522546447270.0,546659528860.0,509037635550.0,538939598460.0,479154827830.0,517207635950.0
2087.0,517975012140.0,543627368120.0,504911328460.0,536128850820.0,477160514390.0,513869257050.0
2088.0,515605635500.0,540839374000.0,501379986110.0,533707306680.0,470344409520.0,510718827920.0
2089.0,512160966800.0,540116142640.0,498833876250.0,532203347840.0,467681613510.0,508161751070.0
2090.0,510549283250.0,539308289970.0,497405784620.0,532797386870.0,466358760800.0,505656169360.0
2091.0,508367954700.0,536007240730.0,493888558080.0,529405666500.0,462075161750.0,503275966680.0
2092.0,507692768320.0,535227830530.0,491105545700.0,529846984100.0,459737418500.0,500956645460.0
2093.0,503531169830.0,532473915960.0,490523084780.0,526342397340.0,458818825650.0,497852687610.0
2094.0,500547459430.0,530250746480.0,486482601400.0,524678194510.0,458058217820.0,496584854920.0
2095.0,497549403610.0,528439526140.0,482870946770.0,528218720930.0,453162208140.0,493710126670.0
2096.0,493729516460.0,532512001700.0,480805918350.0,522892554100.0,451297799430.0,495930704250.0
2097.0,491001792860.0,527837683870.0,477766775250.0,527663444330.0,452937834490.0,492052348570.0
2098.0,488853473830.0,525072885460.0,477919266100.0,522075963800.0,447730755750.0,491490389020.0
2099.0,484670345050.0,523421039600.0,474771092070.0,520896924160.0,445458797520.0,485540896100.0
2100.0,482626471530.0,520573315070.0,471644741960.0,520563579370.0,443103978460.0,484601887320.0
2101.0,480975205860.0,518574547580.0,470709310200.0,516773763550.0,441998803030.0,480607109400.0
2102.0,476882884640.0,517835549130.0,466266194800.0,515758349470.0,437800085750.0,478708441470.0
2103.0,475025726840.0,516858301570.0,464112844170.0,520977007650.0,434266508190.0,480010552210.0
2104.0,472436633390.0,512858022570.0,461514011810.0,518488703040.0,433330461410.0,475979396740.0
2105.0,469605796860.0,514947957620.0,458734205790.0,519813918590.0,431279252320.0,474930042430.0
2106.0,466659867030.0,510356329810.0,456218466920.0,519392945950.0,435771851440.0,470752669770.0
2107.0,464792072500.0,510282559380.0,453352823940.0,512117208170.0,429070813160.0,471736000490.0
2108.0,462014642670.0,508326096760.0,450760889130.0,511558957760.0,425508624780.0,465543236910.0
2109.0,458551386810.0,505237261780.0,448114867120.0,510579838040.0,423211043900.0,464484663870.0
2110.0,458122590170.0,505268887250.0,446874843500.0,517699625360.0,425407020500.0,462556884680.0
2111.0,455273096030.0,502196816200.0,444976555540.0,517294088710.0,422607444440.0,467776863680.0
2112.0,450485339640.0,501263752560.0,443878565320.0,512710094010.0,418056573110.0,462994896890.0
2113.0,448127383800.0,499522484500.0,439739352500.0,511408969260.0,417443778840.0,464680153050.0
2114.0,444793018470.0,498837192370.0,437165549200.0,509868004640.0,415345469440.0,459205052750.0
2115.0,446762601220.0,495005979970.0,435349051830.0,508498411630.0,415360237490.0,455051737520.0
2116.0,440816970840.0,493771671830.0,433889302460.0,509069249720.0,414534925910.0,454888554470.0
2117.0,438852679650.0,492371534810.0,432938017250.0,510207933510.0,416127424466.0,450435799790.0
2118.0,437060287080.0,492090900420.0,430136332930.0,504999720580.0,411973722836.0,454471123970.0
2119.0,433400480980.0,491952323890.0,429318460840.0,504236588160.0,413297529140.0,449211074540.0
2120.0,432939337240.0,490073834860.0,425451801940.0,507345870720.0,407492261310.0,449268374560.0
2121.0,433753217910.0,487328324000.0,422643596840.0,507737790460.0,405656275190.0,446021148380.0
2122.0,427367186170.0,485635114050.0,420574971370.0,509154456940.0,406800479750.0,442881119440.0
