time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0
2001.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0
2002.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0
2003.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0
2004.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0
2005.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0
2006.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0
2007.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0
2008.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0
2009.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0
2010.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0
2011.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0
2012.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0
2013.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0
2014.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0
2015.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0
2016.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0
2017.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0
2018.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0
2019.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0
2020.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0
2021.0,698001399600.0,697488394000.0,697809479600.0,697855776900.0,698360612400.0,697571617300.0
2022.0,696259971500.0,695878883900.0,696007936200.0,697100208500.0,696400489200.0,696955810900.0
2023.0,694486141160.0,694668040500.0,694192487300.0,695797966200.0,694687255100.0,694516989050.0
2024.0,693796939200.0,692437937400.0,692409517800.0,694400641830.0,692468146550.0,693090155250.0
2025.0,691380626300.0,690963994000.0,690561420280.0,692550947900.0,690310686540.0,691926089900.0
2026.0,689941153800.0,692682619140.0,688193327550.0,690254365200.0,688807295650.0,689699007340.0
2027.0,687945126060.0,688367247400.0,686429248840.0,689052932600.0,687250849940.0,687816989280.0
2028.0,685918264800.0,686406231610.0,684265735340.0,687385505030.0,683788381730.0,685898367750.0
2029.0,684179375700.0,683163276060.0,681731285100.0,685335642540.0,680746545840.0,684183679300.0
2030.0,682598397940.0,680920693600.0,680296150900.0,683118282500.0,679003377280.0,682173162600.0
2031.0,678961790490.0,678588977600.0,677256878900.0,680182975700.0,674864485300.0,679485017400.0
2032.0,676404305060.0,675876492540.0,674749881040.0,677287793260.0,671340729460.0,676499321640.0
2033.0,673820831800.0,673503621300.0,671930671750.0,675110280600.0,667429582600.0,674257402000.0
2034.0,670698113500.0,670933590460.0,669275088910.0,673331134300.0,663501798900.0,671612588260.0
2035.0,668204729000.0,668008406050.0,667399189000.0,671637997500.0,659503031710.0,670152086300.0
2036.0,665247403700.0,664607178500.0,664549359900.0,668334457600.0,655280000950.0,666845954360.0
2037.0,662765897740.0,661482286900.0,661048505600.0,665488721700.0,651552186760.0,663895369370.0
2038.0,659278389000.0,658074227200.0,657290930000.0,662857199400.0,646674849300.0,660367726200.0
2039.0,656655383500.0,655346176760.0,654136024810.0,659116208860.0,641748140650.0,656423421960.0
2040.0,652132956400.0,651813126660.0,651878393900.0,657122351500.0,638224516060.0,653294986250.0
2041.0,648598411900.0,648448346040.0,648213433950.0,653350684830.0,632515097660.0,649223320690.0
2042.0,645465628440.0,645053988360.0,644975363750.0,649217109900.0,627085876500.0,645568790840.0
2043.0,643566233470.0,641079011120.0,640734883340.0,645720328040.0,622630237150.0,641762780140.0
2044.0,639359336180.0,636847364000.0,637424349300.0,642104083070.0,615681388460.0,637341897440.0
2045.0,635551338420.0,632595993020.0,633210940040.0,637855682300.0,611153005570.0,633107887890.0
2046.0,632798556450.0,628290850990.0,629401626200.0,633209778560.0,605196283800.0,628781444640.0
2047.0,628759825580.0,624088711020.0,625549876560.0,628679429240.0,597982542440.0,624245759940.0
2048.0,625065268060.0,620138618010.0,622082934320.0,624713754640.0,591471971400.0,619434601310.0
2049.0,622051858500.0,615868578060.0,617089095800.0,619432201760.0,585115461510.0,614817614310.0
2050.0,618297017320.0,611287243000.0,612598699070.0,614293838050.0,579445124330.0,609884415320.0
2051.0,614815906090.0,606667347400.0,608882654380.0,610025364160.0,573229167270.0,605465580590.0
2052.0,611126749420.0,602387016130.0,604450723410.0,604696886100.0,567178995250.0,602409941620.0
2053.0,606861883960.0,598088702320.0,599974526110.0,599527719670.0,561058202080.0,596887927000.0
2054.0,603241780540.0,593709271620.0,595538070700.0,593926077900.0,555075720450.0,592568304510.0
2055.0,598839251390.0,588975725700.0,590198305180.0,588487738450.0,548983241650.0,587658999350.0
2056.0,595206497220.0,583701828530.0,586184815370.0,582919290240.0,543097776650.0,583175280600.0
2057.0,590895834400.0,578410918500.0,581581796880.0,577507713660.0,536868487370.0,578843911170.0
2058.0,586874990220.0,573754838350.0,576761888040.0,571918028790.0,530725686810.0,573877918980.0
2059.0,582324210770.0,568865105210.0,571648836070.0,566696115080.0,525045250640.0,569750891440.0
2060.0,578227803010.0,564438265080.0,566113889400.0,560451831190.0,518806746940.0,564812372310.0
2061.0,573433378710.0,559552832230.0,560362509770.0,555151214030.0,512957834240.0,559849221970.0
2062.0,569300189700.0,554607267080.0,555282086720.0,550429451260.0,506425780720.0,554654317160.0
2063.0,564681602230.0,549665476460.0,550164836540.0,544346360450.0,500071695560.0,550191330340.0
2064.0,560781794810.0,545049330110.0,544865938670.0,538112104880.0,493714928180.0,544880306110.0
2065.0,556952181090.0,539838083550.0,539998463770.0,532381414630.0,487600818460.0,541946532080.0
2066.0,552435911660.0,535581849840.0,534168760830.0,526479206760.0,481512905620.0,536907366360.0
2067.0,547437708740.0,530380591130.0,528119333130.0,520330636550.0,475449358170.0,531908491610.0
2068.0,543384413550.0,524199566040.0,522410538410.0,513341698980.0,469528925730.0,527149751650.0
2069.0,538494428590.0,518677613320.0,516494853580.0,507822883390.0,463203056840.0,522963326090.0
2070.0,533335493750.0,512998584140.0,510859310490.0,501951911950.0,456941923910.0,518270820140.0
2071.0,528138896640.0,507773213460.0,504851718130.0,496047024280.0,450362552240.0,513216293810.0
2072.0,523023715390.0,502006156880.0,499133533300.0,489223035560.0,443690922510.0,507990569390.0
2073.0,518393862936.0,496104069270.0,492298077140.0,483780484090.0,438110550080.0,503578043070.0
2074.0,513265015010.0,491105305790.0,485546530300.0,476821561140.0,431247841750.0,498947679990.0
2075.0,508375918640.0,484895322330.0,478724064260.0,470650167184.0,425126444150.0,494364859380.0
2076.0,504003309540.0,479089894060.0,472508545530.0,464777181970.0,418927510646.0,489432551510.0
2077.0,499338750480.0,473377116910.0,465269032680.0,457826717610.0,412908389386.0,483972762520.0
2078.0,494530878720.0,467079831520.0,458256760186.0,451561430166.0,407389936030.0,479221562330.0
2079.0,490166680330.0,460785033816.0,451534429464.0,445795246614.0,401066699490.0,473926122140.0
2080.0,484814748096.0,455171242504.0,443688042840.0,439433053998.0,395086666050.0,468299252850.0
2081.0,479896638060.0,448948506942.0,437082930670.0,432640829520.0,389402655498.0,462834386410.0
2082.0,474609724122.0,443087381612.0,429166663770.0,425334497234.0,383283496920.0,457563933120.0
2083.0,469239690030.0,437138224770.0,421929762106.0,419094397678.0,377529496232.0,452916218560.0
2084.0,464121334644.0,431291930940.0,414635166080.0,412325370920.0,371606752236.0,447503152010.0
2085.0,459011020358.0,425303168302.0,407575875360.0,406230741320.0,365456563100.0,442744477650.0
2086.0,455117577080.0,417856552894.0,399128699514.0,399927940858.0,359603469688.0,437572237860.0
2087.0,449896159986.0,411344758564.0,392366626846.0,392446620586.0,353766215374.0,432921821260.0
2088.0,443482368764.0,404856912574.0,384412791888.0,385407254966.0,348634460110.0,427453861390.0
2089.0,437796083670.0,399383528266.0,377321105192.0,378935106336.0,343123134380.0,422281673690.0
2090.0,433459129936.0,392239581350.0,370427767816.0,372021046028.0,338237205532.0,416653787020.0
2091.0,427421169424.0,385366825358.0,363001216928.0,364063109324.0,332836251066.0,410651477770.0
2092.0,421983118166.0,378745324792.0,354798782412.0,356489142402.0,327306383344.0,405198663574.0
2093.0,417025591600.0,372563532356.0,346869830090.0,348648260592.0,321342455752.0,399837225350.0
2094.0,412103753018.0,366022766272.0,338089987374.0,342370833074.0,315966271530.0,394426768424.0
2095.0,406699586598.0,359482923212.0,330163769786.0,335853604196.0,310191152382.0,388546097094.0
2096.0,401972982428.0,352189688440.0,321832111222.0,329310381904.0,304060093480.0,382683593440.0
2097.0,395755415074.0,345911447492.0,314545068696.0,322658894650.0,298133570520.0,377011005556.0
2098.0,389601143644.0,341609505475.0,306974272542.0,316156225963.0,292380763610.0,370964865550.0
2099.0,384079806108.0,333063166684.0,299629294930.0,309833704723.0,286632319910.0,364911984066.0
2100.0,378293381048.0,327027649318.0,292182496824.0,303632428654.0,280731648191.0,359020762906.0
2101.0,372802862280.0,319582000108.0,284625579426.0,297323499695.0,274488663138.0,351959845704.0
2102.0,367074315266.0,312187281112.0,277935431576.0,291929718714.0,268382031638.0,345684349574.0
2103.0,361542899120.0,305375407597.0,270350552798.0,285768742741.3,262510693256.0,339054950250.0
2104.0,357545677628.0,298304152852.0,262113019114.0,280331423438.1,255168830511.0,332055570560.0
2105.0,350988696464.0,291769611113.5,254981966992.0,274330533100.4,248697357515.0,325841075484.0
2106.0,345593289092.0,285371371129.0,248448983940.0,269209517628.9,241527781993.0,319740405468.0
2107.0,341937881373.0,278836806301.7,241383390259.0,263524425122.56,234680048229.0,313326700500.0
2108.0,336697505666.0,272163104099.4,234932012386.0,258285626330.6,228481749386.0,307508913022.0
2109.0,328703513938.0,265039399481.1,227861472867.0,252592469589.4,222345498962.5,301499806434.0
2110.0,323099216314.0,258412244097.6,220749060448.0,247360607340.6,216468229913.5,295142914986.0
2111.0,317367709824.0,251902771851.56,213579083798.0,241416551818.5,210748060670.5,289021351648.0
2112.0,311011361507.0,245634927651.2,206361779063.0,235772669346.2,204933494568.8,282207745936.0
2113.0,304774133885.0,238677618634.74,200329697274.0,230629942760.55,199645567248.0,275916182466.0
2114.0,298042293780.0,233281613196.86,193838041234.0,225613786120.6,194085304684.0,269653464318.0
2115.0,292132428082.0,227342715794.7,187442859220.0,221233994729.2,188861824376.8,263475788872.0
2116.0,285854422942.0,220711861913.68,181958717588.0,216069516546.4,183649599086.5,257531321752.0
2117.0,280207137141.0,214297939680.28003,176283127715.0,210897523906.4,178217033023.5,251272371038.0
2118.0,274543128867.5,207830117281.0,170581786146.0,206217370619.34,173404713651.4,245588171992.0
2119.0,268548916130.0,201796667917.12,164657716193.5,201052999968.41998,168739270634.75,239610983006.0
2120.0,263546386740.0,195877925228.6,158883701576.5,196251709076.58002,163470243383.7,234341624150.0
2121.0,257375273879.0,189587796737.74,153356347885.5,192456689988.83002,158696944195.3,228433729686.0
2122.0,251752775528.5,182956576175.96002,147816533086.3,188218028529.14,153839515173.58002,223110527250.0
