time,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0
2000.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0
2001.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0
2002.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0
2003.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0
2004.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0
2005.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0
2006.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0
2007.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0
2008.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0
2009.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0
2010.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0
2011.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0
2012.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0
2013.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0
2014.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0
2015.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0
2016.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0
2017.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0
2018.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0
2019.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0
2020.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0
2021.0,2277610500.0,2309998800.0,2319757600.0,2413038800.0,2280997600.0
2022.0,2248463600.0,2535589400.0,2298647300.0,2423297800.0,2252939000.0
2023.0,2226895600.0,2393904600.0,2301853700.0,2386615000.0,2227902000.0
2024.0,2182884900.0,2311328800.0,2254473700.0,2332954400.0,2215280400.0
2025.0,2118027800.0,2250926000.0,2237447000.0,2294007000.0,2178243800.0
2026.0,2100748300.0,2189599200.0,2186187300.0,2315206000.0,2138634500.0
2027.0,2036210700.0,2155245800.0,2179603700.0,2231068000.0,2081790200.0
2028.0,2000613000.0,2134840400.0,2297919200.0,2215012000.0,2138155400.0
2029.0,1923868800.0,2130534100.0,2303755500.0,2206794200.0,2026195600.0
2030.0,1869895600.0,2149281000.0,2217586700.0,2149928200.0,1976080800.0
2031.0,1885778800.0,2158510300.0,2175533800.0,2130824200.0,1944011100.0
2032.0,1807250400.0,2084174100.0,2109269000.0,2140898600.0,1923792000.0
2033.0,1761050000.0,2162040000.0,2028943100.0,2116666400.0,1885885000.0
2034.0,1640382600.0,2111369500.0,1968934900.0,2119408600.0,1863208000.0
2035.0,1615915400.0,2064915500.0,1911232100.0,1987361000.0,1794910200.0
2036.0,1552154400.0,2031846800.0,1866152000.0,1970225900.0,1720406300.0
