time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0
2001.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0
2002.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0
2003.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0
2004.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0
2005.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0
2006.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0
2007.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0
2008.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0
2009.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0
2010.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0
2011.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0
2012.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0
2013.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0
2014.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0
2015.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0
2016.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0
2017.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0
2018.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0
2019.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0
2020.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0
2021.0,13649388000000.0,13654142000000.0,13637885000000.0,13653017000000.0
2022.0,13648855000000.0,13645270000000.0,13590015000000.0,13611052000000.0
2023.0,13574304000000.0,13617543000000.0,13565603000000.0,13545087000000.0
2024.0,13509696000000.0,13613578000000.0,13553148000000.0,13447701000000.0
2025.0,13505919000000.0,13623084000000.0,13530261000000.0,13347179000000.0
2026.0,13462748000000.0,13580289000000.0,13530651000000.0,13251930000000.0
2027.0,13389659000000.0,13515078000000.0,13536211000000.0,13117635000000.0
2028.0,13355877000000.0,13508150000000.0,13510645000000.0,13055083000000.0
2029.0,13334749000000.0,13490696000000.0,13432031000000.0,12971132000000.0
2030.0,13308174000000.0,13499262000000.0,13358609000000.0,12904034000000.0
2031.0,13288075000000.0,13455091000000.0,13325375000000.0,12810715000000.0
2032.0,13262347000000.0,13407363000000.0,13235591000000.0,12721276000000.0
2033.0,13233150000000.0,13405640000000.0,13136638000000.0,12659824000000.0
2034.0,13127575000000.0,13402186000000.0,12984142000000.0,12543939000000.0
2035.0,13093730000000.0,13388615000000.0,12922837000000.0,12458308000000.0
2036.0,13030605000000.0,13397152000000.0,12813846000000.0,12375736000000.0
2037.0,12965964000000.0,13370709000000.0,12785210000000.0,12240304000000.0
2038.0,12852705000000.0,13316362000000.0,12736914000000.0,12123822000000.0
2039.0,12816821000000.0,13293526000000.0,12677902000000.0,12058718000000.0
2040.0,12747091000000.0,13292089000000.0,12624770000000.0,11917821000000.0
2041.0,12693905000000.0,13251208000000.0,12538361000000.0,11753085000000.0
2042.0,12639527000000.0,13217712000000.0,12496864000000.0,11665972000000.0
2043.0,12592587000000.0,13185636000000.0,12477686000000.0,11501418000000.0
2044.0,12554692000000.0,13158806000000.0,12444363000000.0,11298064000000.0
2045.0,12545625000000.0,13091511000000.0,12366769000000.0,11160532000000.0
2046.0,12495302000000.0,13061336000000.0,12290549000000.0,11032989000000.0
2047.0,12443406000000.0,13038077000000.0,12231210000000.0,10898935000000.0
2048.0,12356171000000.0,12997706000000.0,12122267000000.0,10782745000000.0
2049.0,12327072000000.0,12987023000000.0,12015507000000.0,10712462000000.0
2050.0,12244642000000.0,12959769000000.0,11888596000000.0,10659596000000.0
2051.0,12186307000000.0,12938469000000.0,11830681000000.0,10584498000000.0
2052.0,12141896000000.0,12897289000000.0,11694043000000.0,10489580000000.0
2053.0,12094623000000.0,12902772000000.0,11607235000000.0,10377719000000.0
2054.0,12077461000000.0,12907763000000.0,11517810000000.0,10274691000000.0
2055.0,12073431000000.0,12900615000000.0,11414573000000.0,10138213000000.0
2056.0,11972217000000.0,12884304000000.0,11327199000000.0,10096998000000.0
2057.0,11892036000000.0,12878546000000.0,11294121000000.0,10033434000000.0
2058.0,11844052000000.0,12860027000000.0,11198238000000.0,9935079000000.0
2059.0,11777067000000.0,12875431000000.0,11137973000000.0,9822250000000.0
2060.0,11695164000000.0,12847433000000.0,11102993000000.0,9694114000000.0
