time,UKESM1-0-LL,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CNRM-ESM2-1
2000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0
2001.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0
2002.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0
2003.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0
2004.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0
2005.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0
2006.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0
2007.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0
2008.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0
2009.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0
2010.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0
2011.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0
2012.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0
2013.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0
2014.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0
2015.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0
2016.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0
2017.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0
2018.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0
2019.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0
2020.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0
2021.0,13653373000000.0,13634506000000.0,13669840000000.0,13652106000000.0,13649830000000.0
2022.0,13620215000000.0,13583770000000.0,13604634000000.0,13646070000000.0,13540775000000.0
2023.0,13550562000000.0,13515752000000.0,13606237000000.0,13581504000000.0,13514347000000.0
2024.0,13530014000000.0,13447893000000.0,13602403000000.0,13467617000000.0,13501585000000.0
2025.0,13491958000000.0,13389468000000.0,13562436000000.0,13459394000000.0,13489747000000.0
2026.0,13429207000000.0,13249388000000.0,13575599000000.0,13426488000000.0,13457539000000.0
2027.0,13349244000000.0,13103003000000.0,13550172000000.0,13398365000000.0,13441634000000.0
2028.0,13287076000000.0,12943083000000.0,13498600000000.0,13338777000000.0,13441084000000.0
2029.0,13219559000000.0,12851985000000.0,13472161000000.0,13268820000000.0,13444143000000.0
2030.0,13149903000000.0,12713115000000.0,13404352000000.0,13255485000000.0,13408821000000.0
2031.0,13061750000000.0,12560652000000.0,13315081000000.0,13175126000000.0,13404685000000.0
2032.0,12949772000000.0,12472916000000.0,13285675000000.0,13118542000000.0,13415529000000.0
2033.0,12801615000000.0,12364914000000.0,13258292000000.0,13046009000000.0,13402745000000.0
2034.0,12694782000000.0,12248933000000.0,13222985000000.0,12960636000000.0,13382679000000.0
2035.0,12619247000000.0,12108465000000.0,13170663000000.0,12912886000000.0,13324518000000.0
2036.0,12519145000000.0,12001782000000.0,13163799000000.0,12839986000000.0,13288433000000.0
2037.0,12400812000000.0,11839035000000.0,13153029000000.0,12747145000000.0,13261188000000.0
2038.0,12326138000000.0,11672818000000.0,13129588000000.0,12621125000000.0,13171259000000.0
2039.0,12239663000000.0,11480211000000.0,13079347000000.0,12549019000000.0,13164847000000.0
2040.0,12127493000000.0,11328107000000.0,12995283000000.0,12447511000000.0,13133089000000.0
2041.0,12022056000000.0,11197807000000.0,12890374000000.0,12337438000000.0,13116920000000.0
2042.0,11870396000000.0,11086842000000.0,12810870000000.0,12167980000000.0,13096107000000.0
2043.0,11736922000000.0,10915206000000.0,12768294000000.0,12040232000000.0,13028333000000.0
2044.0,11632426000000.0,10736614000000.0,12709952000000.0,11969161000000.0,12997823000000.0
2045.0,11480892000000.0,10630669000000.0,12653067000000.0,11889501000000.0,12966730000000.0
2046.0,11374409000000.0,10481029000000.0,12578496000000.0,11796196000000.0,12921144000000.0
2047.0,11220952000000.0,10340816000000.0,12512160000000.0,11743541000000.0,12909498000000.0
2048.0,11033068000000.0,10178831000000.0,12447412000000.0,11671775000000.0,12868079000000.0
2049.0,10814689000000.0,10048512000000.0,12426879000000.0,11550851000000.0,12826497000000.0
2050.0,10620637000000.0,9900224000000.0,12360981000000.0,11453387000000.0,12822320000000.0
2051.0,10436765000000.0,9748077000000.0,12287900000000.0,11307581000000.0,12783191000000.0
2052.0,10289569000000.0,9625244000000.0,12244879000000.0,11129725000000.0,12765303000000.0
2053.0,10125358000000.0,9494734000000.0,12190366000000.0,10987094000000.0,12769928000000.0
2054.0,9899111000000.0,9358563000000.0,12074258000000.0,10855653000000.0,12680439000000.0
2055.0,9738504000000.0,9195821000000.0,11932547000000.0,10770617000000.0,12567398000000.0
2056.0,9560287000000.0,9035670000000.0,11797655000000.0,10672463000000.0,12513430000000.0
2057.0,9391492000000.0,8901245000000.0,11710494000000.0,10592214000000.0,12400611000000.0
2058.0,9264214000000.0,8797187000000.0,11610773000000.0,10483974000000.0,12354323000000.0
2059.0,9118466000000.0,8680165000000.0,11456017000000.0,10412303000000.0,12264005000000.0
2060.0,8957015000000.0,8535845000000.0,11295537000000.0,10373005000000.0,12184129000000.0
2061.0,8833655000000.0,8391855000000.0,11163906000000.0,10303607000000.0,12093233000000.0
2062.0,8693795500000.0,8249430500000.0,11061507000000.0,10242853000000.0,11989288000000.0
2063.0,8516012000000.0,8082536000000.0,10954307000000.0,10158909000000.0,11889344000000.0
2064.0,8338933300000.0,7923772000000.0,10806196000000.0,10080628000000.0,11770033000000.0
2065.0,8185507000000.0,7813376000000.0,10682956000000.0,10021249000000.0,11704023000000.0
2066.0,8039775600000.0,7641825000000.0,10537526000000.0,9913973000000.0,11584042000000.0
2067.0,7864943400000.0,7490479000000.0,10354808000000.0,9844177000000.0,11549298000000.0
2068.0,7725788000000.0,7307253000000.0,10255110000000.0,9736908000000.0,11469161000000.0
2069.0,7569500000000.0,7162973700000.0,10142357000000.0,9658489000000.0,11430417000000.0
2070.0,7398494300000.0,7069011300000.0,10048126000000.0,9576611000000.0,11356673000000.0
2071.0,7255445500000.0,6977490500000.0,10002443000000.0,9445162000000.0,11245147000000.0
2072.0,7102960500000.0,6878289000000.0,9933129000000.0,9359770000000.0,11051910000000.0
2073.0,6974421000000.0,6793811500000.0,9863359000000.0,9273088000000.0,10917449000000.0
2074.0,6853088000000.0,6682096700000.0,9787156000000.0,9211010000000.0,10841159000000.0
2075.0,6668367000000.0,6565822000000.0,9728149000000.0,9129119000000.0,10719078000000.0
2076.0,6518818700000.0,6467323000000.0,9657603000000.0,9039712000000.0,10603958000000.0
2077.0,6365720000000.0,6372633600000.0,9530294000000.0,8984856000000.0,10449405000000.0
2078.0,6217272400000.0,6316266000000.0,9411985000000.0,8857654000000.0,10344444000000.0
2079.0,6060511000000.0,6212667000000.0,9313317000000.0,8756309000000.0,10199981000000.0
2080.0,5901935700000.0,6089148000000.0,9223363000000.0,8679243400000.0,10070432000000.0
2081.0,5759588400000.0,5995104300000.0,9124587000000.0,8633054000000.0,9990885000000.0
2082.0,5615796000000.0,5862989000000.0,8999399000000.0,8572957000000.0,9926758000000.0
2083.0,5481858300000.0,5750321600000.0,8878548000000.0,8523925000000.0,9777145000000.0
2084.0,5354580000000.0,5665952000000.0,8782104500000.0,8486761000000.0,9633133000000.0
2085.0,5229997000000.0,5598779300000.0,8723708000000.0,8413012600000.0,9504289000000.0
2086.0,5104934000000.0,5471110000000.0,8618319000000.0,8370934000000.0,9421786000000.0
2087.0,4986735000000.0,5384246400000.0,8501802300000.0,8309515000000.0,9331601000000.0
2088.0,4854888000000.0,5306916500000.0,8421738300000.0,8232579400000.0,9220607000000.0
2089.0,4759480000000.0,5238393700000.0,8338235500000.0,8188336000000.0,9121701000000.0
2090.0,4669602500000.0,5153622600000.0,8224906400000.0,8143418400000.0,9041813000000.0
2091.0,4554502400000.0,5077734000000.0,8125764000000.0,8127712300000.0,8989264000000.0
2092.0,4444196400000.0,4977167700000.0,8019101000000.0,8093819700000.0,8903806000000.0
2093.0,4343870800000.0,4873430000000.0,7904237700000.0,8053696500000.0,8869374000000.0
2094.0,4266203800000.0,4787218700000.0,7822335500000.0,7999019000000.0,8788853000000.0
2095.0,4175671900000.0,4725349500000.0,7749239000000.0,7949547000000.0,8696830000000.0
2096.0,4074696600000.0,4664101000000.0,7665388400000.0,7906601700000.0,8596627700000.0
2097.0,3994993800000.0,4575199000000.0,7586981600000.0,7856973700000.0,8495204000000.0
2098.0,3880024500000.0,4503527000000.0,7521899000000.0,7789007000000.0,8394412000000.0
2099.0,3774293000000.0,4444649000000.0,7420102000000.0,7747812700000.0,8296674600000.0
2100.0,3700638600000.0,4384846000000.0,7312319000000.0,7689990600000.0,8178072000000.0
