time,INM-CM5-0,CESM2-WACCM,MRI-ESM2-0,GFDL-ESM4,CAMS-CSM1-0,MPI-ESM1-2-HR,CESM2,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,EC-EARTH3
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1096023900.0,1094910200.0,1093041000.0,1100592300.0,1115659300.0,1096543100.0,1102447600.0,1121770200.0,1101275500.0,1113076100.0,1100835200.0,1116139000.0,1103841200.0
2022.0,1084366600.0,1084659700.0,1079361500.0,1098492500.0,1098800000.0,1069996500.0,1098748400.0,1089648900.0,1092658800.0,1095407400.0,1087569800.0,1111867100.0,1104674300.0
2023.0,1089421300.0,1076057300.0,1070895700.0,1087354100.0,1097137200.0,1054035200.0,1091349900.0,1070775360.0,1089960400.0,1078718700.0,1068378940.0,1091421600.0,1119211100.0
2024.0,1080467500.0,1059506050.0,1080481500.0,1076247300.0,1082429600.0,1038585540.0,1078266100.0,1055158000.0,1074717800.0,1093365500.0,1059263740.0,1083254000.0,1138562800.0
2025.0,1064714800.0,1044798500.0,1064893600.0,1066853950.0,1072678200.0,1020218300.0,1075994500.0,1040632260.0,1064114100.0,1058379000.0,1058592300.0,1069048000.0,1077650700.0
2026.0,1047469060.0,1039582300.0,1060391500.0,1066760000.0,1055243840.0,1019675840.0,1064848960.0,1030582500.0,1055205760.0,1041960200.0,1056821900.0,1058033100.0,1065443700.0
2027.0,1032076600.0,1025656500.0,1100210600.0,1048907500.0,1046534340.0,1033583550.0,1064818200.0,1056389440.0,1045225860.0,1036582400.0,1066085800.0,1041490900.0,1056277100.0
2028.0,1022318850.0,1013150100.0,1078243700.0,1038913800.0,1038085250.0,997715800.0,1049049860.0,1019474900.0,1041883460.0,1024706050.0,1176409100.0,1022460800.0,1043512800.0
2029.0,996314900.0,1006312200.0,1055578240.0,1027303300.0,1130492200.0,983029570.0,1036963200.0,996357950.0,1029559300.0,1003185340.0,1105004200.0,1013359700.0,1022355460.0
2030.0,982661500.0,979243260.0,1076855000.0,1054152260.0,1105705200.0,963484860.0,1025613060.0,986134600.0,1011746500.0,986641000.0,1063966200.0,1005313900.0,1014133760.0
2031.0,970632600.0,967117060.0,1047782600.0,1044462500.0,1207286100.0,959549900.0,1009911230.0,1011817660.0,1014858000.0,975720770.0,1040415100.0,989536960.0,1001764030.0
2032.0,951724540.0,959051100.0,1061952400.0,1022874800.0,1092902000.0,941767200.0,989329340.0,1029808640.0,1003071500.0,944123400.0,1081086800.0,990563460.0,987170300.0
2033.0,934307300.0,942483260.0,1075683000.0,1011838900.0,1059766400.0,926803900.0,979181500.0,1026261500.0,992030340.0,923113200.0,1066152640.0,981397200.0,983143550.0
2034.0,917887700.0,936904960.0,1043310600.0,1002614660.0,1046869400.0,911761800.0,972459840.0,985769500.0,984553400.0,911510660.0,1043056300.0,973291460.0,973274100.0
2035.0,902557500.0,935381800.0,1031292300.0,996928500.0,1051394300.0,887036540.0,963904600.0,965607230.0,976309760.0,882878300.0,1038774500.0,959625300.0,948405440.0
2036.0,887399230.0,913671200.0,1032093200.0,988078700.0,1037038600.0,875777500.0,947352200.0,957308700.0,968012860.0,876196740.0,1033337200.0,944309500.0,910105600.0
2037.0,867952000.0,907719500.0,1036704830.0,975689400.0,1026275400.0,857545900.0,926390300.0,942632600.0,954588740.0,846990850.0,1026706800.0,937427100.0,887672060.0
2038.0,852289700.0,904133400.0,1025770900.0,976466900.0,1009300160.0,912565950.0,910781200.0,927630140.0,944761700.0,813349440.0,1033245600.0,925041600.0,871667460.0
2039.0,836657860.0,885795800.0,1013731100.0,985658200.0,1002263200.0,855536450.0,894048450.0,904942140.0,934352450.0,825217100.0,1018684160.0,906977200.0,870634100.0
2040.0,818897300.0,873162900.0,1006663360.0,963773900.0,988719170.0,848254660.0,872860200.0,896822660.0,926193700.0,775250200.0,1009823400.0,892172160.0,851214340.0
2041.0,808171970.0,938928600.0,998364860.0,954725600.0,976518500.0,839953200.0,857199300.0,888212900.0,928382600.0,753442100.0,1005013300.0,872452100.0,825138300.0
2042.0,787391550.0,875361340.0,1016692500.0,990150340.0,969484800.0,817252700.0,846572700.0,872245200.0,919212100.0,730346050.0,999127300.0,855875900.0,795313860.0
2043.0,768792400.0,863838600.0,993154940.0,947234300.0,958296060.0,802256830.0,827386240.0,900311940.0,907911940.0,711286300.0,991837060.0,844378800.0,772913500.0
2044.0,760173200.0,850014100.0,975583740.0,940299800.0,969549400.0,788013440.0,809734660.0,851438000.0,923598300.0,678269300.0,976903040.0,838149900.0,775944500.0
2045.0,749091260.0,840674750.0,951689540.0,937785860.0,947034400.0,788376450.0,782286850.0,838395700.0,891333100.0,657697900.0,967167360.0,816449660.0,741310660.0
2046.0,736505700.0,828370300.0,928944260.0,935718140.0,933717700.0,766585500.0,767229300.0,819782300.0,879807170.0,652135360.0,956051800.0,828055800.0,724722240.0
2047.0,723307840.0,821639500.0,915462850.0,927117500.0,916393150.0,764321700.0,751686850.0,804774140.0,869872300.0,631356200.0,946282100.0,801356200.0,750200060.0
2048.0,712901950.0,804716500.0,901679600.0,974747970.0,895997060.0,750594500.0,733343700.0,797847400.0,860464450.0,609817100.0,989735740.0,798617000.0,712321150.0
2049.0,695249500.0,794050900.0,890968200.0,926168260.0,877272200.0,732069500.0,719022660.0,819013060.0,849210940.0,607205060.0,934501900.0,789729340.0,688474430.0
2050.0,698912800.0,786196000.0,866830400.0,919198140.0,858790600.0,718311600.0,707029950.0,773581760.0,840073900.0,588538240.0,915592000.0,778862200.0,698175000.0
2051.0,686029000.0,767914200.0,846494900.0,908095400.0,844140400.0,704319300.0,692551800.0,759570700.0,825771700.0,575700200.0,912620700.0,761190600.0,681944960.0
