time,GFDL-ESM4,MRI-ESM2-0,CESM2-WACCM,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,NORESM2-MM,INM-CM4-8,FGOALS-F3-L,CMCC-CM2-SR5,BCC-CSM2-MR,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1096052500.0,1105122200.0,1096060300.0,1109628800.0,1089849500.0,1108168200.0,1127567500.0,1106444500.0,1096829800.0,1100340000.0,1158128000.0,1113743100.0,1114048600.0,1107959200.0
2022.0,1079684400.0,1101453800.0,1102659500.0,1090783200.0,1075482500.0,1091691500.0,1096436700.0,1093222500.0,1082729200.0,1088052900.0,1221546400.0,1114084500.0,1121354100.0,1110635600.0
2023.0,1070368100.0,1131215400.0,1090301800.0,1074416900.0,1107863900.0,1079808100.0,1084003200.0,1084051000.0,1081385000.0,1137326700.0,1112487300.0,1087198800.0,1096205700.0,1091130400.0
2024.0,1086012400.0,1105703000.0,1068070300.0,1124356200.0,1064528600.0,1063593900.0,1068153900.0,1077081700.0,1070525100.0,1130788400.0,1086930700.0,1073890200.0,1079921800.0,1074424200.0
2025.0,1051960500.0,1086811000.0,1061251400.0,1106199600.0,1049584260.0,1053816600.0,1080206200.0,1095061200.0,1050815600.0,1071953540.0,1073027460.0,1094299600.0,1072963400.0,1083228700.0
2026.0,1048881400.0,1070900000.0,1047533060.0,1095968600.0,1059071800.0,1041600060.0,1040175360.0,1083929300.0,1035885250.0,1057663400.0,1060988800.0,1065495300.0,1053967550.0,1068268740.0
2027.0,1064256450.0,1081842400.0,1033590300.0,1061351040.0,1036811600.0,1022082000.0,1026425660.0,1065329000.0,1014601800.0,1042016200.0,1064985400.0,1046845250.0,1046260160.0,1057594750.0
2028.0,1046779300.0,1066763460.0,1021521300.0,1055068900.0,1026130940.0,1003243970.0,1018379300.0,1064694850.0,993022100.0,1032184800.0,1039856060.0,1022450100.0,1032467700.0,1052706940.0
2029.0,1026765630.0,1051608200.0,1050628400.0,1040303170.0,1010032830.0,1000483100.0,1002044860.0,1054614300.0,974022300.0,1023033500.0,1030531140.0,1010746400.0,1060637100.0,1038660740.0
2030.0,1018415400.0,1045367230.0,1107505200.0,1019410800.0,993512450.0,977001600.0,985441660.0,1039468200.0,953588900.0,1008079170.0,1019610240.0,1001684800.0,1026103700.0,1024288600.0
2031.0,1012477000.0,1043439900.0,1020177150.0,1013067650.0,974578000.0,971219000.0,968419140.0,1031738900.0,930839600.0,998259500.0,1023044000.0,992247800.0,1048198400.0,1008407200.0
2032.0,1005211000.0,1030181400.0,1001458750.0,997075700.0,972352700.0,951241660.0,950349100.0,1023077700.0,916648450.0,982044160.0,1003650750.0,977985000.0,1035476300.0,1002227840.0
2033.0,1000116740.0,1022641150.0,986050940.0,980469600.0,984320400.0,936172160.0,934564900.0,1016450500.0,895669400.0,967441300.0,988924740.0,962036030.0,1024801600.0,988701200.0
2034.0,993019900.0,1010482600.0,967568600.0,969373950.0,954081600.0,981425340.0,917371650.0,1010472600.0,879533700.0,959563460.0,969371800.0,943236800.0,1043824500.0,974233300.0
2035.0,985838000.0,1014985900.0,964970100.0,957494200.0,935284700.0,937445400.0,890059460.0,999144640.0,857140400.0,959130430.0,953236540.0,952765800.0,1034803000.0,965401900.0
2036.0,986007800.0,998738600.0,955982600.0,957144300.0,1026497500.0,908409900.0,880593700.0,1002957100.0,833519740.0,938492860.0,942529400.0,929829200.0,1019435500.0,949880450.0
2037.0,1028455900.0,987151300.0,942600900.0,941381950.0,932722200.0,879251840.0,873791500.0,994596740.0,818667300.0,923296450.0,927350340.0,929469760.0,1011033660.0,936730800.0
2038.0,993687360.0,1089494500.0,934325500.0,932667260.0,912851460.0,860229060.0,882161100.0,1005828000.0,796402940.0,916634240.0,953340000.0,909419650.0,996114050.0,920759200.0
2039.0,994239300.0,1011750140.0,923678340.0,918866800.0,908027700.0,840765950.0,915743170.0,997155000.0,783316700.0,898867300.0,914839900.0,901473100.0,983468540.0,902506240.0
2040.0,984692030.0,991291650.0,907164540.0,900320500.0,893757000.0,826577340.0,852314700.0,991808060.0,779579200.0,886917100.0,896383200.0,883879900.0,963989900.0,884968260.0
2041.0,982626240.0,978148200.0,899269760.0,892281660.0,879379300.0,819003300.0,840728400.0,978267900.0,759523460.0,881460300.0,879121800.0,866153500.0,956893700.0,861205400.0
2042.0,970285600.0,971626700.0,890276030.0,894611460.0,873518340.0,800278800.0,825305400.0,974519800.0,764635840.0,874455600.0,859856060.0,855922500.0,946261760.0,843505100.0
2043.0,964552450.0,966806660.0,884431740.0,878324030.0,899958200.0,777593800.0,808521340.0,973928100.0,741460200.0,853272960.0,847645950.0,834474000.0,937176800.0,823695940.0
2044.0,960010100.0,961156100.0,869254200.0,871973400.0,849834200.0,764235900.0,944083840.0,967328900.0,727974200.0,841504260.0,821225800.0,806902340.0,931339200.0,813999170.0
2045.0,949985200.0,953289100.0,859971600.0,863090800.0,831170100.0,838262600.0,808649500.0,958364900.0,713190660.0,836450000.0,813653600.0,776406900.0,916094100.0,800092800.0
2046.0,935520960.0,962459900.0,845993500.0,852405250.0,817806600.0,752398900.0,796781000.0,951975200.0,700385800.0,817025200.0,799321000.0,761387500.0,899994400.0,779931100.0
2047.0,929568260.0,958086340.0,835383000.0,912696400.0,807974200.0,729438800.0,784084700.0,936090940.0,685146050.0,805300540.0,846844500.0,749937300.0,902239550.0,753779600.0
2048.0,933120800.0,936442940.0,851389400.0,855069060.0,797765950.0,715672100.0,777450000.0,926536060.0,670623400.0,784137660.0,802638700.0,736169660.0,877345200.0,726676000.0
2049.0,913747500.0,933805700.0,827530300.0,842858400.0,776731260.0,728949760.0,781513860.0,920402300.0,659587500.0,772223600.0,780137500.0,720654460.0,864508860.0,702785150.0
2050.0,907567360.0,925371100.0,812068000.0,829863100.0,762514500.0,697237300.0,781278340.0,917532860.0,649456900.0,756330200.0,765715140.0,704037700.0,843977000.0,707105100.0
2051.0,899076030.0,918051200.0,797679040.0,820637300.0,916296400.0,685525060.0,759767740.0,911210200.0,633638500.0,742023800.0,748323000.0,731738050.0,823361100.0,678247230.0
2052.0,895082300.0,909535740.0,782520640.0,811849900.0,769352960.0,678670300.0,752852500.0,900281300.0,626032830.0,726665800.0,736262500.0,706373400.0,815992450.0,661965060.0
2053.0,884600900.0,899917500.0,771012540.0,806404200.0,741556160.0,670100200.0,794157250.0,886784830.0,618479800.0,711537860.0,733150300.0,689642100.0,812020900.0,645020740.0
2054.0,911462000.0,896274240.0,760237630.0,798595600.0,735299800.0,677865540.0,818111940.0,891597600.0,604992800.0,690674370.0,724350100.0,668077100.0,785081150.0,630239700.0
2055.0,877034700.0,888590800.0,754636700.0,789520200.0,728604160.0,663759200.0,771829500.0,885095900.0,592812860.0,668347650.0,712680600.0,661464100.0,765306300.0,616743800.0
2056.0,876194000.0,877922940.0,743932900.0,826091000.0,706119000.0,653432640.0,756257400.0,871931500.0,585382000.0,654401800.0,699001300.0,640009400.0,752812100.0,598352260.0
2057.0,930813060.0,869848500.0,728845200.0,782315900.0,698762240.0,646752260.0,740898500.0,861325200.0,574882940.0,638959600.0,689496200.0,625026050.0,740036000.0,580170050.0
2058.0,882670600.0,862630800.0,710977600.0,781386500.0,686201660.0,635453600.0,734179840.0,846508740.0,563158900.0,618214800.0,688601660.0,612073900.0,729606200.0,585505100.0
2059.0,867776060.0,852280200.0,696503100.0,772845500.0,673697860.0,636856060.0,724518300.0,828893440.0,553104450.0,607631550.0,674939400.0,598299300.0,717740350.0,561970600.0
2060.0,903042240.0,846727740.0,681853600.0,769002900.0,674294340.0,628067460.0,724364860.0,811332100.0,540536260.0,600208100.0,668478850.0,633678700.0,710124000.0,551879300.0
2061.0,897660200.0,837425540.0,662976900.0,833958850.0,666124160.0,643989900.0,713355700.0,800595900.0,528873060.0,581311700.0,657510340.0,600646850.0,690548030.0,536023260.0
2062.0,874063040.0,828374000.0,642988800.0,764561150.0,659218000.0,627584260.0,712119000.0,794747000.0,520745020.0,562959600.0,645936830.0,576876000.0,677688100.0,524506800.0
2063.0,861371200.0,827306750.0,622919700.0,757077760.0,646629950.0,621774500.0,706843000.0,780553500.0,513272600.0,541484100.0,635732160.0,566264800.0,668040500.0,518217400.0
2064.0,851562750.0,813338000.0,601872800.0,754912060.0,720824770.0,615357700.0,701001150.0,769325400.0,507614370.0,529730270.0,628997250.0,558356540.0,661611650.0,504319200.0
2065.0,860037300.0,827347400.0,584581600.0,740773440.0,640407300.0,622797000.0,694922200.0,759177660.0,502004700.0,522883170.0,625160060.0,551309100.0,648463500.0,493354940.0
2066.0,847497400.0,823835650.0,570085900.0,732130800.0,629484200.0,619716700.0,691026900.0,748143800.0,494014400.0,513310140.0,615279500.0,558936300.0,653068100.0,487035700.0
2067.0,846115800.0,800323650.0,549095230.0,727194430.0,627520960.0,616168600.0,691312100.0,737765300.0,482790500.0,507986980.0,610741760.0,547689300.0,633535500.0,482567870.0
2068.0,845565900.0,792302800.0,536242780.0,791587300.0,619039740.0,606653440.0,681144900.0,725586200.0,471750300.0,497040000.0,602276100.0,534321820.0,627167550.0,474053700.0
2069.0,838486600.0,793589800.0,553655000.0,719427260.0,608813440.0,602144830.0,670971800.0,713492500.0,472073570.0,490831800.0,601960800.0,525847800.0,630298800.0,465420960.0
2070.0,829481400.0,787056260.0,520533630.0,715076350.0,601480100.0,600855400.0,664421900.0,707380540.0,462482720.0,479068770.0,593843000.0,520460480.0,618768500.0,459266430.0
2071.0,823347500.0,778749300.0,514096400.0,704777500.0,598893100.0,596149400.0,660560830.0,696590800.0,453561570.0,470859650.0,588268800.0,513163870.0,625695600.0,446248960.0
2072.0,823993700.0,770334800.0,510748160.0,696558300.0,602789570.0,591466900.0,650063400.0,682420030.0,448972700.0,465996200.0,587528640.0,505841860.0,604463500.0,443673340.0
2073.0,814287400.0,765496260.0,512582430.0,689577500.0,594661800.0,587718460.0,637908300.0,671277400.0,443599400.0,458808400.0,577275840.0,498722050.0,620717500.0,450002600.0
2074.0,804165400.0,757931460.0,500100640.0,681441200.0,586503360.0,583661200.0,631262200.0,700945540.0,436924830.0,450824670.0,596600640.0,490359360.0,599322600.0,431823300.0
2075.0,796289400.0,752803460.0,493046300.0,672718200.0,600819650.0,578902700.0,622615400.0,666527360.0,429605700.0,446938880.0,569574400.0,483129100.0,594042600.0,426196580.0
