time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0
2001.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0
2002.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0
2003.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0
2004.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0
2005.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0
2006.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0
2007.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0
2008.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0
2009.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0
2010.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0
2011.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0
2012.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0
2013.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0
2014.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0
2015.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0
2016.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0
2017.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0
2018.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0
2019.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0
2020.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0
2021.0,2614371800.0,2628077800.0,2643086000.0,2632668200.0
2022.0,2605350400.0,2671720700.0,2636297500.0,2615593200.0
2023.0,2577384000.0,2614409500.0,2634072300.0,2607005200.0
2024.0,2556034300.0,2603406800.0,2605625000.0,2594473500.0
2025.0,2534069200.0,2586812400.0,2592322600.0,2579863800.0
2026.0,2515464000.0,2578490600.0,2570134800.0,2574824700.0
2027.0,2492098300.0,2554993700.0,2549825000.0,2567199000.0
2028.0,2444988400.0,2528825900.0,2537468400.0,2591067100.0
2029.0,2400943900.0,2505879600.0,2526710800.0,2535756800.0
2030.0,2363574800.0,2488761600.0,2495382000.0,2514969000.0
2031.0,2295438600.0,2467216100.0,2480770800.0,2530314500.0
2032.0,2248115000.0,2434098400.0,2461213700.0,2483906600.0
2033.0,2217520400.0,2413780500.0,2440381700.0,2459657200.0
2034.0,2183008500.0,2405925400.0,2412851500.0,2433692200.0
2035.0,2125348600.0,2360480800.0,2376345900.0,2418854700.0
2036.0,2059892100.0,2338072800.0,2356419300.0,2388940300.0
2037.0,2001123100.0,2309536800.0,2363276300.0,2362192100.0
2038.0,1929445500.0,2290572300.0,2303678000.0,2339822300.0
2039.0,1869508200.0,2232700200.0,2280318000.0,2322103600.0
2040.0,1835070200.0,2178734300.0,2246991400.0,2294116900.0
2041.0,1758542700.0,2105695100.0,2200913700.0,2288928500.0
2042.0,1695511600.0,2063938000.0,2176128500.0,2238742000.0
2043.0,1648377600.0,2016609400.0,2118746800.0,2201376000.0
2044.0,1598699100.0,1972215800.0,2080338600.0,2158769200.0
2045.0,1540400600.0,1915048100.0,2029925200.0,2117396600.0
2046.0,1472486100.0,1836697300.0,1975008600.0,2081580000.0
2047.0,1410458400.0,1791610500.0,1919029500.0,2045639300.0
2048.0,1357859800.0,1729867500.0,1871723900.0,2000587100.0
2049.0,1291199600.0,1703697800.0,1843144300.0,1976511700.0
2050.0,1241383600.0,1651122000.0,1792723000.0,1907338600.0
2051.0,1190137200.0,1555707900.0,1747593200.0,1856214100.0
2052.0,1145040500.0,1492230500.0,1685373000.0,1787620600.0
2053.0,1105791500.0,1432314100.0,1652195500.0,1741667000.0
2054.0,1069774460.0,1387442600.0,1605122700.0,1674637400.0
2055.0,1020018940.0,1322578000.0,1564927500.0,1641087200.0
2056.0,973266900.0,1264100100.0,1529379500.0,1593310600.0
2057.0,939211260.0,1216043100.0,1486639000.0,1546468400.0
