time,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0
2001.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0
2002.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0
2003.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0
2004.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0
2005.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0
2006.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0
2007.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0
2008.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0
2009.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0
2010.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0
2011.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0
2012.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0
2013.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0
2014.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0
2015.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0
2016.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0
2017.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0
2018.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0
2019.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0
2020.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0
2021.0,2629632500.0,2636225000.0,2622829300.0,2633117700.0,2648118000.0,2617414700.0
2022.0,2615833600.0,2649873000.0,2611491300.0,2692921600.0,2620635400.0,2602729700.0
2023.0,2605354800.0,2679890200.0,2603783000.0,2622458600.0,2609378000.0,2578835000.0
2024.0,2600501500.0,2648702700.0,2586350600.0,2609051400.0,2614110500.0,2556592400.0
2025.0,2574593500.0,2618367200.0,2573692200.0,2593676800.0,2596518100.0,2538064100.0
2026.0,2558133800.0,2601859800.0,2565523700.0,2583743200.0,2583456000.0,2517369000.0
2027.0,2561812500.0,2585087200.0,2578448400.0,2574837800.0,2568095500.0,2495846400.0
2028.0,2528245500.0,2575777800.0,2544565500.0,2563887900.0,2544009700.0,2472678100.0
2029.0,2525092900.0,2559258600.0,2534841900.0,2550433300.0,2521563600.0,2438910500.0
2030.0,2509529300.0,2550277400.0,2522031900.0,2530620200.0,2511710000.0,2410541800.0
2031.0,2627455200.0,2526501400.0,2489969700.0,2508055800.0,2509555200.0,2374900200.0
2032.0,2578464500.0,2502738700.0,2474617300.0,2489992700.0,2489426700.0,2323666400.0
2033.0,2506135300.0,2487927600.0,2446792200.0,2471450600.0,2465686500.0,2281046500.0
2034.0,2563045600.0,2461928000.0,2427736000.0,2463115000.0,2438585900.0,2222077700.0
2035.0,2529231600.0,2434162700.0,2393486600.0,2435502600.0,2402847200.0,2155813400.0
2036.0,2488956700.0,2400120300.0,2370593000.0,2416730600.0,2390190000.0,2119784800.0
2037.0,2513907500.0,2368978700.0,2337763000.0,2389465600.0,2353238000.0,2072087900.0
2038.0,2485931500.0,2349771500.0,2296945400.0,2355713000.0,2327945700.0,2027790500.0
2039.0,2466082000.0,2324544000.0,2255521500.0,2341282800.0,2304635100.0,1981318800.0
2040.0,2464095200.0,2288696300.0,2221050000.0,2303733000.0,2276482300.0,1920163700.0
2041.0,2542252800.0,2227968300.0,2170136000.0,2237739800.0,2234910000.0,1851756400.0
2042.0,2478970400.0,2190439200.0,2121045200.0,2195517000.0,2202714000.0,1787252400.0
2043.0,2408556300.0,2163933000.0,2049504900.0,2163693300.0,2161786000.0,1716835300.0
2044.0,2382916600.0,2143484000.0,2003123300.0,2111709400.0,2137212900.0,1615461600.0
2045.0,2363493000.0,2112233700.0,1948657200.0,2073158300.0,2113747800.0,1578322600.0
2046.0,2326258400.0,2071571600.0,1891192700.0,2041728000.0,2061528300.0,1517420500.0
2047.0,2304612900.0,2036710300.0,1821054100.0,1968594800.0,2006121700.0,1447538800.0
2048.0,2274775600.0,1977354000.0,1768968100.0,1901658000.0,1972885900.0,1402179600.0
2049.0,2263425500.0,1996800300.0,1689246000.0,1865898800.0,1950014500.0,1366078300.0
2050.0,2241499100.0,1900900900.0,1635781900.0,1802147600.0,1924126100.0,1334738700.0
2051.0,2216452900.0,1858147300.0,1571471700.0,1775301900.0,1935196800.0,1319376100.0
2052.0,2247184600.0,1806190300.0,1508501500.0,1762428800.0,1875306900.0,1287421200.0
2053.0,2186186000.0,1743971100.0,1473540600.0,1732883500.0,1853548800.0,1228963800.0
2054.0,2164098000.0,1706209700.0,1413641000.0,1716543400.0,1812599900.0,1181772000.0
2055.0,2127428100.0,1663707300.0,1391996800.0,1675016400.0,1804928100.0,1143109100.0
2056.0,2275293400.0,1622923900.0,1359143700.0,1637185900.0,1757792100.0,1104094800.0
