time,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,ACCESS-CM2,CESM2-WACCM
2000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0
2001.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0
2002.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0
2003.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0
2004.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0
2005.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0
2006.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0
2007.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0
2008.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0
2009.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0
2010.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0
2011.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0
2012.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0
2013.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0
2014.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0
2015.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0
2016.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0
2017.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0
2018.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0
2019.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0
2020.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0
2021.0,13900581000.0,13914587000.0,13908684000.0,14018895000.0,13898369000.0,13867921000.0
2022.0,13736338000.0,13780488000.0,13822036000.0,13991244000.0,13769007000.0,13733883000.0
2023.0,13628647000.0,13715845000.0,13650005000.0,13897300000.0,13671330000.0,13617346000.0
2024.0,13481665000.0,13578530000.0,13496206000.0,13771917000.0,13575454000.0,13449236000.0
2025.0,13318270000.0,13511487000.0,13343426000.0,13619352000.0,13389676000.0,13295710000.0
2026.0,13161658000.0,13305045000.0,13189055000.0,13543284000.0,13165197000.0,13183354000.0
2027.0,12942901000.0,13112459000.0,12973335000.0,13322633000.0,12968797000.0,12983025000.0
2028.0,12784288000.0,12928680000.0,12742785000.0,13166152000.0,12766155000.0,12824923000.0
2029.0,12670754000.0,12782178000.0,12564152000.0,12911222000.0,12577122000.0,12791366000.0
2030.0,12453692000.0,12523191000.0,12384275000.0,12774369000.0,12462230000.0,12540000000.0
2031.0,12251521000.0,12321945000.0,12180131000.0,12593197000.0,12229622000.0,12366809000.0
2032.0,12011611000.0,12095155000.0,11987463000.0,12352105000.0,11998393000.0,12225555000.0
2033.0,11837473000.0,11838657000.0,11739331000.0,12095285000.0,11826657000.0,11991966000.0
2034.0,11624106000.0,11818313000.0,11545695000.0,11853607000.0,11717287000.0,11767542000.0
2035.0,11439685000.0,11606501000.0,11313624000.0,11772019000.0,11429802000.0,11578030000.0
2036.0,11266579000.0,11299892000.0,11056495000.0,11379334000.0,11282271000.0,11356780000.0
2037.0,11050812000.0,11078991000.0,10771658000.0,11753022000.0,11241716000.0,11251453000.0
2038.0,10845357000.0,10859557000.0,10517694000.0,11151959000.0,10948109000.0,11025427000.0
