time,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,CANESM5,CNRM-CM6-1,EC-EARTH3,TAIESM1,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,IITM-ESM
2000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0
2001.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0
2002.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0
2003.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0
2004.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0
2005.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0
2006.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0
2007.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0
2008.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0
2009.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0
2010.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0
2011.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0
2012.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0
2013.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0
2014.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0
2015.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0
2016.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0
2017.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0
2018.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0
2019.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0
2020.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0
2021.0,34414084000.0,33972603000.0,33455524000.0,33413544000.0,33636120000.0,33337143000.0,34827200000.0,34064247000.0,33644440000.0,33585656000.0,33580409000.0,33513796000.0,33523675000.0,33893374000.0
2022.0,33489676000.0,33844658000.0,33329355000.0,33727013000.0,33423940000.0,33333810000.0,33748793000.0,33515303000.0,33422744000.0,33592263000.0,33444841000.0,33462649000.0,34148084000.0,33622563000.0
2023.0,33796910000.0,33620005000.0,33299960000.0,33055779000.0,33326168000.0,33045465000.0,33601423000.0,33422070000.0,33151021000.0,35254970000.0,33860594000.0,33299452000.0,33755048000.0,34170880000.0
2024.0,33381980000.0,33366952000.0,33215334000.0,32881185000.0,33435793000.0,32846402000.0,33455725000.0,33305033000.0,33008982000.0,34309253000.0,34825437000.0,33152182000.0,33371255000.0,34392293000.0
2025.0,33320153000.0,33247336000.0,32997132000.0,32617337000.0,33158312000.0,32651684000.0,33401285000.0,33243572000.0,33350646000.0,33955678000.0,34432823000.0,33099980000.0,33343955000.0,33841302000.0
2026.0,33222260000.0,33155983000.0,32825393000.0,32540807000.0,33050583000.0,32391836000.0,33220862000.0,33994418000.0,34489577000.0,33614727000.0,33738924000.0,33137210000.0,33184006000.0,33625993000.0
