time,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL
2000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0
2001.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0
2002.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0
2003.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0
2004.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0
2005.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0
2006.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0
2007.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0
2008.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0
2009.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0
2010.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0
2011.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0
2012.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0
2013.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0
2014.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0
2015.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0
2016.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0
2017.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0
2018.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0
2019.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0
2020.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0
2021.0,33492746000.0,33547586000.0,33592381000.0,33620412000.0,33670636000.0
2022.0,33328787000.0,34195626000.0,33895948000.0,33617120000.0,33483080000.0
2023.0,33080963000.0,34720207000.0,33449806000.0,33339064000.0,33387356000.0
2024.0,32861598000.0,33744003000.0,33449010000.0,33233875000.0,33230236000.0
2025.0,32535600000.0,33504805000.0,33544053000.0,33151672000.0,33075784000.0
2026.0,32245197000.0,33263272000.0,34956833000.0,33086173000.0,32908134000.0
2027.0,32407335000.0,33119720000.0,33401983000.0,32841687000.0,32726230000.0
2028.0,31717505000.0,33018104000.0,33145278000.0,32695654000.0,32620737000.0
2029.0,31358925000.0,32806450000.0,32993130000.0,32696893000.0,32431309000.0
2030.0,30792935000.0,32795623000.0,33614496000.0,32636434000.0,32140136000.0
2031.0,30236750000.0,32696695000.0,32866480000.0,32410704000.0,32006435000.0
2032.0,29743167000.0,32520075000.0,32711358000.0,32534810000.0,31740310000.0
2033.0,29085587000.0,32342634000.0,32561938000.0,32095721000.0,31437830000.0
2034.0,28586312000.0,32118946000.0,32308242000.0,31862567000.0,31105817000.0
2035.0,27682030000.0,31905096000.0,32010762000.0,31681750000.0,30811945000.0
2036.0,27079897000.0,31853531000.0,32027820000.0,31518480000.0,30430077000.0
2037.0,26449342000.0,31719880000.0,31784286000.0,31284480000.0,29991890000.0
2038.0,25782743000.0,31627400000.0,32331434000.0,30883700000.0,29658583000.0
2039.0,24926740000.0,31239688000.0,31626017000.0,30493362000.0,29466886000.0
2040.0,25390010000.0,30917087000.0,32177594000.0,30470588000.0,29188340000.0
2041.0,24375382000.0,30470693000.0,31893500000.0,29971016000.0,28802849000.0
2042.0,23800046000.0,30227230000.0,31467880000.0,29848451000.0,28402410000.0
2043.0,22725270000.0,29924071000.0,30943717000.0,29230533000.0,27857830000.0
2044.0,21998350000.0,29540012000.0,30610737000.0,28631515000.0,27453075000.0
2045.0,21478535000.0,29145956000.0,30483970000.0,28226537000.0,26968666000.0
2046.0,20904215000.0,28760705000.0,30060917000.0,27799540000.0,26154650000.0
2047.0,20244537000.0,28535499000.0,29849952000.0,27475386000.0,25454709000.0
2048.0,19772527000.0,27850166000.0,29553904000.0,26768060000.0,24988891000.0
2049.0,19192326000.0,27435380000.0,29457437000.0,26276813000.0,24427911000.0
2050.0,18650309000.0,26958828000.0,28982024000.0,25752824000.0,23633279000.0
2051.0,18736820000.0,26671993000.0,28615842000.0,25448937000.0,23190122000.0
2052.0,17934610000.0,26190674000.0,28320846000.0,24943063000.0,22645703000.0
2053.0,17449580000.0,25755417000.0,27894465000.0,24480475000.0,22275916000.0
2054.0,17311263000.0,25626655000.0,28457226000.0,24630479000.0,21749217000.0
2055.0,16700617000.0,25005281000.0,27350230000.0,23698020000.0,21046020000.0
2056.0,16117450000.0,25070758000.0,26994573000.0,23588590000.0,20369260000.0
2057.0,15593339000.0,24251353000.0,26654001000.0,22970132000.0,19786625000.0
2058.0,15269936000.0,23792400000.0,26205166000.0,22778409000.0,19313390000.0
2059.0,14826142000.0,23359586000.0,25829097000.0,22223018000.0,18870432000.0
2060.0,14441906000.0,22846100000.0,25182173000.0,21794525000.0,18258633000.0
2061.0,14117062000.0,22445908000.0,24833436000.0,21248416000.0,17874899000.0
2062.0,13813835000.0,21983752000.0,24522574000.0,21377790000.0,17426563000.0
2063.0,13481070000.0,21583972000.0,24242442000.0,21775086000.0,17037338000.0
2064.0,13335632000.0,21316264000.0,23813229000.0,21220524000.0,16529764000.0
2065.0,12940495000.0,21063549000.0,23491027000.0,20494422000.0,16098740000.0
2066.0,12950563000.0,20771164000.0,23222954000.0,20403984000.0,15577562000.0
2067.0,12510939000.0,20310706000.0,23232311000.0,20303358000.0,15203004000.0
2068.0,12138294000.0,20480730000.0,22750855000.0,19883979000.0,14869543000.0
2069.0,11753314000.0,20039952000.0,22340332000.0,19746759000.0,14552562000.0
2070.0,11451398000.0,19682843000.0,21995821000.0,19501107000.0,14155595000.0
2071.0,11505846000.0,19362402000.0,22056665000.0,19381217000.0,13702168000.0
2072.0,11457595000.0,19068916000.0,21510160000.0,19411685000.0,13368528000.0
2073.0,11003274000.0,18932600000.0,21109190000.0,18916180000.0,13824016000.0
2074.0,10824400000.0,18498070000.0,20761993000.0,18824976000.0,12966995000.0
2075.0,10623349000.0,18991196000.0,20260178000.0,18537339000.0,12466852000.0
2076.0,10538984000.0,18055811000.0,20411249000.0,18383047000.0,12205731000.0
2077.0,10404129000.0,17792330000.0,19942392000.0,19085320000.0,12478973000.0
2078.0,10889771000.0,17564865000.0,19625748000.0,18416345000.0,12225479000.0
2079.0,10242102000.0,17509830000.0,19677841000.0,18353172000.0,11760119000.0
2080.0,10082291000.0,17960300000.0,19211920000.0,18010694000.0,11448949000.0
2081.0,9914274000.0,17065064000.0,18934581000.0,17608974000.0,11215419000.0
