time,UKESM1-0-LL,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CNRM-ESM2-1
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51526476000.0,51474520000.0,51509210000.0,51496990000.0,51591350000.0
2022.0,51484250000.0,51859726000.0,51448173000.0,51526210000.0,51415170000.0
2023.0,51404910000.0,51537228000.0,51523883000.0,51404902000.0,51492780000.0
2024.0,51459830000.0,51330822000.0,51437957000.0,51339800000.0,51419365000.0
2025.0,51336126000.0,51469877000.0,51388820000.0,51361894000.0,51445236000.0
2026.0,51280253000.0,51097666000.0,51588460000.0,51308122000.0,51360400000.0
2027.0,51220943000.0,50914677000.0,51538580000.0,51281936000.0,51462877000.0
2028.0,51181820000.0,50720547000.0,51321770000.0,51243800000.0,51401183000.0
2029.0,51213705000.0,50551780000.0,51305345000.0,51212313000.0,51394626000.0
2030.0,51639243000.0,50338353000.0,51243920000.0,51636085000.0,51277943000.0
2031.0,51015960000.0,50055307000.0,51183583000.0,51154694000.0,51344310000.0
2032.0,50875888000.0,49836970000.0,51164560000.0,51098972000.0,51450257000.0
2033.0,50441670000.0,49609146000.0,51131216000.0,51031330000.0,51292270000.0
2034.0,50151612000.0,49323135000.0,51160400000.0,50974330000.0,51261270000.0
2035.0,49939140000.0,48989700000.0,51073917000.0,50915054000.0,51176313000.0
2036.0,49930105000.0,48768446000.0,51069063000.0,50828380000.0,51138646000.0
2037.0,49435255000.0,48488776000.0,51038495000.0,50726515000.0,51116460000.0
2038.0,49423670000.0,48099310000.0,51113193000.0,50612700000.0,51054870000.0
2039.0,49015990000.0,47701930000.0,50933936000.0,50535023000.0,51602830000.0
2040.0,48641757000.0,47326855000.0,50806186000.0,50410470000.0,51027538000.0
2041.0,48380180000.0,46948504000.0,50700490000.0,50247102000.0,51027296000.0
2042.0,47935700000.0,46633562000.0,50616422000.0,50053420000.0,50928968000.0
2043.0,47538280000.0,46204030000.0,50550610000.0,49899135000.0,50854425000.0
2044.0,47499730000.0,45793747000.0,50456400000.0,49782784000.0,50812006000.0
2045.0,46760137000.0,45383455000.0,50379837000.0,49646285000.0,50779447000.0
2046.0,46689567000.0,44935786000.0,50283463000.0,49483993000.0,50711470000.0
2047.0,46046573000.0,44558080000.0,50197017000.0,49380030000.0,50896085000.0
2048.0,45554830000.0,44133980000.0,50093236000.0,49282195000.0,50675925000.0
2049.0,45050530000.0,43685855000.0,50072814000.0,48993055000.0,50589310000.0
2050.0,44491076000.0,43225993000.0,49968160000.0,48805573000.0,50759954000.0
2051.0,43973950000.0,42792520000.0,49843114000.0,48589603000.0,50487243000.0
2052.0,43491545000.0,42397573000.0,49848836000.0,48347380000.0,50439447000.0
2053.0,43036656000.0,42084966000.0,49606490000.0,48166466000.0,50517135000.0
2054.0,42371166000.0,41726145000.0,49409827000.0,47874880000.0,50311524000.0
2055.0,41916146000.0,41295960000.0,49179620000.0,47741640000.0,50187903000.0
2056.0,41457398000.0,40949090000.0,48937026000.0,47517830000.0,50150160000.0
2057.0,41003340000.0,40677750000.0,48781610000.0,47351976000.0,49932018000.0
2058.0,40654070000.0,40413260000.0,48600910000.0,47154532000.0,49908277000.0
2059.0,40246410000.0,40100250000.0,48294380000.0,47067468000.0,49719300000.0
2060.0,39796940000.0,39741104000.0,47991010000.0,47017720000.0,49607303000.0
2061.0,39449473000.0,39396240000.0,47718846000.0,46831825000.0,49465540000.0
2062.0,38974968000.0,38965416000.0,47484500000.0,46679523000.0,49302532000.0
2063.0,38469788000.0,38524180000.0,47216120000.0,46510875000.0,49168626000.0
2064.0,38005330000.0,38100386000.0,46889832000.0,46372143000.0,48996786000.0
2065.0,37558858000.0,37780850000.0,46549050000.0,46286963000.0,48894880000.0
2066.0,37090714000.0,37308970000.0,46192562000.0,45953730000.0,48687235000.0
2067.0,36656080000.0,36904590000.0,45823144000.0,45792403000.0,48782740000.0
2068.0,36290236000.0,36420620000.0,45535146000.0,45538075000.0,48412525000.0
2069.0,35796636000.0,36037630000.0,45205316000.0,45358420000.0,48370352000.0
2070.0,35289997000.0,35725005000.0,44945570000.0,45172646000.0,48200786000.0
2071.0,34912820000.0,35388408000.0,45018485000.0,44874228000.0,47947858000.0
2072.0,34491884000.0,35058490000.0,44648940000.0,44658400000.0,47627084000.0
2073.0,34105494000.0,34765554000.0,44429296000.0,44420583000.0,47381512000.0
2074.0,33627701000.0,34501880000.0,44246610000.0,44280517000.0,47497097000.0
2075.0,33173613000.0,34228666000.0,44094067000.0,44127957000.0,46966157000.0
2076.0,32681320000.0,33948756000.0,43827393000.0,43946283000.0,46704350000.0
2077.0,32120693000.0,33618657000.0,43518790000.0,43856900000.0,46350807000.0
2078.0,31686015000.0,33334098000.0,43230510000.0,43508175000.0,46102240000.0
2079.0,31166726000.0,33002594000.0,42974757000.0,43310014000.0,45717893000.0
2080.0,30573427000.0,32598559000.0,42737890000.0,43109065000.0,45352886000.0
2081.0,30164850000.0,32268860000.0,42445095000.0,43059163000.0,45169607000.0
2082.0,29721125000.0,31907684000.0,42104780000.0,42885170000.0,44941844000.0
2083.0,29278350000.0,31450317000.0,41828508000.0,42754236000.0,44598395000.0
2084.0,28907130000.0,31167336000.0,41581728000.0,43194925000.0,44259650000.0
2085.0,28546075000.0,30966303000.0,41396170000.0,42474607000.0,43943395000.0
2086.0,28180716000.0,30614604000.0,41120874000.0,42303450000.0,43710894000.0
2087.0,27842398000.0,30290592000.0,40782995000.0,42105670000.0,43458912000.0
2088.0,27346860000.0,30001035000.0,40473494000.0,41899938000.0,43155770000.0
