time,MPI-ESM1-2-HR,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,UKESM1-0-LL,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51715908000.0,51673280000.0,51609830000.0,51506475000.0,51631020000.0,51471806000.0,51473666000.0,51505060000.0,51495186000.0
2022.0,51665965000.0,51831304000.0,51549830000.0,51446866000.0,51547350000.0,51537105000.0,51488300000.0,51462013000.0,51507483000.0
2023.0,51551730000.0,51590810000.0,51484980000.0,51404110000.0,51480880000.0,51419304000.0,51376386000.0,51431570000.0,51589610000.0
2024.0,51592835000.0,51542610000.0,51441074000.0,51386683000.0,51461935000.0,51425915000.0,51347870000.0,51384426000.0,51582250000.0
2025.0,51482145000.0,51510760000.0,51405476000.0,51348853000.0,51407167000.0,51298583000.0,51615140000.0,51357930000.0,51451806000.0
2026.0,51420290000.0,51483288000.0,51403362000.0,51318874000.0,51461330000.0,51465044000.0,51307626000.0,51357925000.0,51398394000.0
2027.0,51520053000.0,51458960000.0,51364127000.0,51264963000.0,51392795000.0,51071947000.0,51282035000.0,51310236000.0,51503935000.0
2028.0,51359390000.0,51435950000.0,51386360000.0,51239584000.0,51362734000.0,51411763000.0,51247860000.0,51289207000.0,51348280000.0
2029.0,51415550000.0,51418320000.0,51305630000.0,51278090000.0,51359730000.0,50893545000.0,51220100000.0,51250110000.0,51338277000.0
2030.0,51351413000.0,51423793000.0,51321213000.0,51199648000.0,51354270000.0,50790576000.0,51165123000.0,51268178000.0,51302978000.0
2031.0,51295080000.0,51386552000.0,51409306000.0,51203180000.0,51343470000.0,50676690000.0,51105235000.0,51195790000.0,51306177000.0
2032.0,51290700000.0,51358150000.0,51387466000.0,51128930000.0,51881034000.0,50427340000.0,51021280000.0,51158860000.0,51320770000.0
2033.0,51287835000.0,51342860000.0,51263320000.0,51107030000.0,51468853000.0,50308006000.0,50932680000.0,51108520000.0,51273826000.0
2034.0,51245453000.0,51312923000.0,51256943000.0,51064680000.0,51359203000.0,50256860000.0,50837800000.0,51016794000.0,51351994000.0
2035.0,51282140000.0,51383560000.0,51174450000.0,51094890000.0,51318817000.0,50271093000.0,50761572000.0,50954023000.0,51311130000.0
2036.0,51172680000.0,51292344000.0,51130544000.0,50977014000.0,51297616000.0,49786892000.0,50695328000.0,50928000000.0,51212227000.0
2037.0,51114697000.0,51251490000.0,51104230000.0,50916827000.0,51229336000.0,49492247000.0,50619020000.0,50807760000.0,51160035000.0
2038.0,51135922000.0,51221987000.0,51013136000.0,50880310000.0,51254070000.0,49272123000.0,50482553000.0,50719056000.0,51122893000.0
2039.0,51113677000.0,51200377000.0,51050373000.0,50825570000.0,51221082000.0,48969413000.0,50379950000.0,50624213000.0,51126920000.0
2040.0,51181190000.0,51173437000.0,50932425000.0,50776050000.0,51311100000.0,48781152000.0,50253152000.0,50578920000.0,51055510000.0
2041.0,51076096000.0,51136643000.0,50892194000.0,50711110000.0,51155600000.0,48465380000.0,50137194000.0,50467308000.0,50997772000.0
2042.0,51012157000.0,51103420000.0,50814562000.0,50697580000.0,51329170000.0,48152280000.0,49986430000.0,50394665000.0,51088785000.0
2043.0,51095863000.0,51098194000.0,50698244000.0,50585584000.0,51251790000.0,47830410000.0,49896560000.0,50303754000.0,51052466000.0
2044.0,50965836000.0,51017572000.0,50658927000.0,50518870000.0,51088896000.0,47498625000.0,49838960000.0,50187830000.0,51195350000.0
2045.0,50976686000.0,50997404000.0,50538150000.0,50436790000.0,51031880000.0,47220560000.0,49760360000.0,50058494000.0,50940805000.0
2046.0,50972533000.0,50956014000.0,50464248000.0,50301350000.0,51015080000.0,46968545000.0,49623000000.0,49940746000.0,50848223000.0
2047.0,50898567000.0,50911048000.0,50469585000.0,50211400000.0,51029940000.0,46683810000.0,49441473000.0,49812955000.0,50800490000.0
2048.0,50862776000.0,50868670000.0,50316194000.0,50072244000.0,50982097000.0,46344778000.0,49347210000.0,49634860000.0,51223507000.0
2049.0,50837942000.0,50808046000.0,50219360000.0,49987797000.0,50941202000.0,46165877000.0,49128780000.0,49530753000.0,51113107000.0
2050.0,50826875000.0,50747920000.0,50101793000.0,49869734000.0,50906850000.0,45655855000.0,48906410000.0,49466740000.0,50774704000.0
2051.0,50724020000.0,50696760000.0,50021274000.0,49722780000.0,50902196000.0,45265380000.0,48654795000.0,49304720000.0,50697850000.0
2052.0,50676056000.0,50669294000.0,49907880000.0,49611518000.0,50794435000.0,44789730000.0,48398780000.0,49187955000.0,50801517000.0
2053.0,50627265000.0,50555482000.0,49780003000.0,49463890000.0,50788897000.0,44474510000.0,48171893000.0,49047646000.0,50695524000.0
2054.0,50805682000.0,50491367000.0,49631093000.0,49260913000.0,50796188000.0,44100390000.0,48002126000.0,48871997000.0,50579608000.0
2055.0,50553328000.0,50450250000.0,49534198000.0,49039544000.0,50826387000.0,43790700000.0,47730233000.0,48722113000.0,50497100000.0
2056.0,50505840000.0,50369630000.0,49418416000.0,48830575000.0,50719973000.0,43372593000.0,47477297000.0,48526262000.0,50448100000.0
2057.0,50445610000.0,50315055000.0,49281660000.0,48641670000.0,50646960000.0,42952140000.0,47171916000.0,48359068000.0,50393805000.0
2058.0,50392416000.0,50246500000.0,49108110000.0,48436030000.0,50630296000.0,42384020000.0,46970683000.0,48213250000.0,50324247000.0
2059.0,50334777000.0,50153350000.0,48956130000.0,48233665000.0,50620290000.0,41935163000.0,46697243000.0,47960494000.0,50299867000.0
2060.0,50273186000.0,50064420000.0,48763994000.0,48087454000.0,50610000000.0,41503550000.0,46402085000.0,47687150000.0,50229604000.0
2061.0,50271117000.0,49988973000.0,48499446000.0,47854125000.0,50728178000.0,41017643000.0,46093170000.0,47404454000.0,50170925000.0
2062.0,50247510000.0,49868444000.0,48305574000.0,47693970000.0,50495060000.0,40553234000.0,45903600000.0,47137694000.0,50258470000.0
2063.0,50172387000.0,49783177000.0,48111722000.0,47493652000.0,50430476000.0,40065524000.0,45633913000.0,46903083000.0,50177716000.0
2064.0,50119496000.0,49687260000.0,47917388000.0,47202860000.0,50386960000.0,39698235000.0,45274083000.0,46619054000.0,50080952000.0
2065.0,50080834000.0,49622870000.0,47678750000.0,47037387000.0,50679914000.0,39278230000.0,45031584000.0,46375797000.0,49975665000.0
2066.0,50083586000.0,49536450000.0,47472360000.0,47421470000.0,50322133000.0,38823973000.0,44644410000.0,46125564000.0,50784510000.0
2067.0,49947185000.0,49407470000.0,47238595000.0,46848240000.0,50273130000.0,38453510000.0,44214374000.0,45870498000.0,51001750000.0
2068.0,49887674000.0,49300410000.0,46970143000.0,46631480000.0,50185460000.0,38050060000.0,43909000000.0,45555413000.0,49884180000.0
2069.0,49799990000.0,49167690000.0,46766764000.0,46485060000.0,50150674000.0,37728805000.0,43430425000.0,45278835000.0,49814626000.0
2070.0,49669730000.0,49096962000.0,46531680000.0,46252405000.0,50100170000.0,37257822000.0,43136193000.0,45044826000.0,49774890000.0
2071.0,49590300000.0,49035436000.0,46304104000.0,45981864000.0,50075054000.0,36796097000.0,42821710000.0,44789080000.0,49684940000.0
2072.0,49525436000.0,48959537000.0,46072030000.0,45745218000.0,50343430000.0,36396392000.0,42437190000.0,44542470000.0,49636983000.0
