time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51498865000.0,51496145000.0,51502450000.0,51476455000.0
2022.0,51778550000.0,51504130000.0,51452015000.0,51870040000.0
2023.0,51432760000.0,51440378000.0,51427934000.0,51392440000.0
2024.0,51370230000.0,51429980000.0,51432720000.0,51301937000.0
2025.0,51384263000.0,51848323000.0,51369017000.0,51190063000.0
2026.0,51336974000.0,51406557000.0,51484635000.0,51063950000.0
2027.0,51308843000.0,51322696000.0,51460270000.0,50900804000.0
2028.0,51256963000.0,51324850000.0,51511763000.0,50824147000.0
2029.0,51262394000.0,51720086000.0,51278184000.0,50765440000.0
2030.0,51448910000.0,51751650000.0,51212000000.0,50579490000.0
2031.0,51207807000.0,51379170000.0,51187260000.0,50290094000.0
2032.0,51481903000.0,51246810000.0,51126526000.0,50102570000.0
2033.0,51185852000.0,51263840000.0,51062403000.0,49936273000.0
2034.0,51069178000.0,51230437000.0,50902410000.0,49709847000.0
2035.0,51031355000.0,51231953000.0,50812785000.0,49509990000.0
2036.0,50969113000.0,51256226000.0,50703004000.0,49292720000.0
2037.0,50916258000.0,51239363000.0,50661863000.0,49022992000.0
2038.0,50809938000.0,51083700000.0,50586186000.0,48781545000.0
2039.0,50999325000.0,51053576000.0,50562860000.0,48628826000.0
2040.0,50685850000.0,51124330000.0,50382782000.0,48128430000.0
2041.0,50635800000.0,51014280000.0,50225210000.0,47705047000.0
2042.0,50555190000.0,50965930000.0,50170212000.0,47409635000.0
2043.0,50509283000.0,50919313000.0,50181650000.0,46987360000.0
2044.0,50489442000.0,50878435000.0,50089066000.0,46547137000.0
2045.0,51283837000.0,50806580000.0,49949080000.0,46219338000.0
2046.0,50575892000.0,50831670000.0,49843910000.0,45930504000.0
2047.0,50256380000.0,50727694000.0,49693073000.0,45605340000.0
2048.0,50163335000.0,50690335000.0,49474070000.0,45320233000.0
2049.0,50140967000.0,50641457000.0,49297460000.0,45117280000.0
2050.0,49982710000.0,50603155000.0,49035956000.0,45412893000.0
2051.0,49896026000.0,50583980000.0,48897466000.0,44871217000.0
2052.0,49828966000.0,50523046000.0,48639144000.0,44463354000.0
2053.0,49740538000.0,50979140000.0,48503080000.0,44205572000.0
2054.0,49766360000.0,50705970000.0,48280350000.0,43840803000.0
2055.0,50460500000.0,50529790000.0,48050830000.0,43335590000.0
2056.0,49464250000.0,50461434000.0,47876456000.0,43613070000.0
2057.0,49352303000.0,50432106000.0,47933563000.0,43302920000.0
2058.0,49265762000.0,50383634000.0,47571358000.0,42660725000.0
2059.0,49133363000.0,50642130000.0,47495176000.0,42136280000.0
2060.0,49007030000.0,50332800000.0,47349596000.0,41769505000.0
2061.0,48813867000.0,50291680000.0,47587893000.0,41348813000.0
2062.0,48661578000.0,51284107000.0,47164936000.0,40971860000.0
2063.0,48484348000.0,50463265000.0,47166760000.0,40495640000.0
2064.0,48328080000.0,50231780000.0,46882574000.0,40157170000.0
2065.0,48160560000.0,50146840000.0,46690787000.0,39792546000.0
2066.0,47963607000.0,50134990000.0,46528553000.0,39510114000.0
2067.0,47864087000.0,50193190000.0,46289494000.0,39175942000.0
2068.0,47720900000.0,50020810000.0,46105575000.0,38784676000.0
2069.0,47602310000.0,49941135000.0,45997126000.0,38496522000.0
2070.0,47450116000.0,49917452000.0,45789140000.0,38321242000.0
2071.0,47334160000.0,49857438000.0,45674983000.0,38078132000.0
2072.0,47222710000.0,49800516000.0,45430837000.0,37901623000.0
2073.0,47035474000.0,49740284000.0,45377184000.0,37736880000.0
2074.0,47057610000.0,49836147000.0,45162226000.0,37457240000.0
2075.0,46849420000.0,49670370000.0,45000196000.0,37116813000.0
2076.0,46693265000.0,49661567000.0,44728370000.0,36851704000.0
2077.0,46536910000.0,49547616000.0,44459344000.0,36511080000.0
2078.0,46295937000.0,49475383000.0,44211390000.0,36276500000.0
2079.0,46172870000.0,49657205000.0,43909116000.0,35842670000.0
2080.0,46039564000.0,49432515000.0,43734847000.0,35522392000.0
2081.0,46130078000.0,49360843000.0,43558540000.0,35210125000.0
2082.0,45914436000.0,49572168000.0,43395932000.0,34937205000.0
2083.0,45689606000.0,49267335000.0,43272220000.0,34700095000.0
2084.0,45798310000.0,49219396000.0,43104113000.0,34458590000.0
2085.0,45668536000.0,49281966000.0,42909780000.0,34213270000.0
2086.0,45455282000.0,49109004000.0,42871263000.0,33996073000.0
2087.0,45445464000.0,49077346000.0,42876568000.0,33792289000.0
2088.0,45375594000.0,49227457000.0,42461120000.0,33516763000.0
2089.0,45196063000.0,49140470000.0,42308456000.0,33161710000.0
2090.0,45041304000.0,49005507000.0,42160450000.0,32866510000.0
2091.0,45033070000.0,48913236000.0,41912710000.0,32631470000.0
2092.0,44900140000.0,48907590000.0,41813115000.0,32365124000.0
2093.0,44747338000.0,48812274000.0,41769234000.0,32106373000.0
2094.0,45719500000.0,48737480000.0,41534927000.0,31833883000.0
2095.0,44606296000.0,49370310000.0,41521537000.0,31522451000.0
2096.0,44560814000.0,48712176000.0,41355550000.0,31626844000.0
2097.0,44353823000.0,48880570000.0,41396118000.0,30929107000.0
2098.0,44188373000.0,48970890000.0,41141367000.0,31371696000.0
2099.0,44035207000.0,48630436000.0,41065304000.0,30452450000.0
2100.0,43933143000.0,48614666000.0,40767010000.0,30119752000.0
