time,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,CANESM5,IPSL-CM6A-LR
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,44191070000.0,47876334000.0,46515737000.0,46425678000.0,45950345000.0
2022.0,43424900000.0,47384596000.0,45173555000.0,45046096000.0,45487730000.0
2023.0,41559036000.0,46197305000.0,43046220000.0,43833758000.0,44923826000.0
2024.0,40161804000.0,46745660000.0,42173750000.0,42299980000.0,43868860000.0
2025.0,38409667000.0,45045998000.0,41353720000.0,40687485000.0,42361127000.0
2026.0,37420080000.0,44543870000.0,39044930000.0,39661130000.0,41957683000.0
2027.0,36569320000.0,43170537000.0,37291360000.0,38179320000.0,41413010000.0
2028.0,35379350000.0,42437476000.0,36050067000.0,36361800000.0,41068302000.0
2029.0,33822013000.0,41397846000.0,35892410000.0,35846100000.0,39365538000.0
2030.0,31578102000.0,40505856000.0,34490372000.0,34381267000.0,37903073000.0
2031.0,30606836000.0,39075760000.0,32177558000.0,33457285000.0,38080102000.0
