time,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR,CESM2-WACCM,KACE-1-0-G,MRI-ESM2-0,UKESM1-0-LL,TAIESM1,IITM-ESM
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,45298934000.0,45978920000.0,46508585000.0,45773540000.0,45814858000.0,46839374000.0,46042900000.0,45989380000.0,47263404000.0
2022.0,44592130000.0,43565300000.0,46018810000.0,43312160000.0,44320630000.0,44990080000.0,44526055000.0,45552940000.0,47013482000.0
2023.0,44573254000.0,42337430000.0,44033150000.0,43491512000.0,42730684000.0,42415325000.0,42208230000.0,44699870000.0,47418765000.0
2024.0,43236110000.0,39961100000.0,42059100000.0,42346177000.0,41082750000.0,41585365000.0,42897383000.0,42031976000.0,46974550000.0
2025.0,43370787000.0,38130230000.0,40885158000.0,42299940000.0,39227700000.0,39664300000.0,42864132000.0,40556057000.0,47645800000.0
2026.0,43606045000.0,37496594000.0,38972326000.0,42283827000.0,37854080000.0,38543868000.0,42093070000.0,39160275000.0,48092120000.0
2027.0,41678180000.0,37217104000.0,38264566000.0,41213880000.0,37231040000.0,37460685000.0,40895280000.0,38123650000.0,49300710000.0
2028.0,39973917000.0,35701166000.0,36413768000.0,41018122000.0,36583813000.0,36677980000.0,37977860000.0,35890860000.0,47669555000.0
2029.0,40122724000.0,34036840000.0,35353207000.0,39983320000.0,36628533000.0,35861400000.0,37175636000.0,35319900000.0,47344177000.0
2030.0,39310017000.0,33287817000.0,34260770000.0,40081785000.0,35401548000.0,35325616000.0,36185584000.0,34787996000.0,46767250000.0
2031.0,38861165000.0,32485695000.0,33747388000.0,38437237000.0,34175574000.0,34387620000.0,35392393000.0,33118960000.0,47546147000.0
2032.0,37548278000.0,31155091000.0,33724950000.0,38045426000.0,33041019000.0,33772770000.0,34053497000.0,31939070000.0,48112837000.0
2033.0,36552802000.0,30126266000.0,32314323000.0,37362740000.0,31683322000.0,32310333000.0,33047347000.0,30692729000.0,48950415000.0
2034.0,34462650000.0,29436370000.0,31396622000.0,37593846000.0,31516504000.0,32156385000.0,31030950000.0,30590523000.0,48520716000.0
2035.0,32979562000.0,29870332000.0,31676416000.0,36150977000.0,30029988000.0,31820093000.0,29764958000.0,29169242000.0,49410870000.0
2036.0,31845812000.0,28922753000.0,30141188000.0,35411423000.0,28438870000.0,31393458000.0,29373757000.0,27798053000.0,49607586000.0
2037.0,30587922000.0,28271198000.0,28939915000.0,35425632000.0,27500550000.0,30263695000.0,27819897000.0,27404683000.0,47767360000.0
2038.0,30165633000.0,27609180000.0,28603214000.0,34141946000.0,27050934000.0,28583057000.0,27171314000.0,25979140000.0,47258685000.0
2039.0,29780093000.0,26826193000.0,27426662000.0,32573125000.0,25108349000.0,27804470000.0,25173033000.0,26457485000.0,46902964000.0
2040.0,28728556000.0,25379887000.0,26454383000.0,32042787000.0,24294310000.0,26468810000.0,23541502000.0,25996173000.0,46802616000.0
2041.0,28309260000.0,24847950000.0,25175333000.0,31564405000.0,23344520000.0,25410820000.0,23127747000.0,25356431000.0,46973927000.0
2042.0,27090868000.0,24478450000.0,23380247000.0,30013985000.0,21923885000.0,24357716000.0,22208727000.0,24568205000.0,46575915000.0
2043.0,27173208000.0,23522110000.0,22852592000.0,29189730000.0,21531169000.0,24374966000.0,21067123000.0,24497304000.0,46651900000.0
2044.0,26320353000.0,22997045000.0,22163685000.0,27811670000.0,21166348000.0,23761656000.0,20645409000.0,23397634000.0,46561110000.0
2045.0,25774940000.0,22422276000.0,21669667000.0,26679530000.0,20044507000.0,23082660000.0,19364798000.0,22812015000.0,46022836000.0
2046.0,24826593000.0,22481100000.0,21485404000.0,25420798000.0,18683220000.0,22446189000.0,18217187000.0,22351018000.0,45194138000.0
2047.0,24133536000.0,22765371000.0,20792470000.0,24311700000.0,18370920000.0,21480960000.0,18012619000.0,21215031000.0,44845887000.0
2048.0,23298669000.0,22351546000.0,19764371000.0,22800495000.0,17200577000.0,20870748000.0,16212912000.0,19222532000.0,45666804000.0
2049.0,22877325000.0,21580122000.0,19273180000.0,21752293000.0,16758226000.0,19768775000.0,15644077000.0,18618400000.0,45043530000.0
2050.0,22866305000.0,21093736000.0,18995642000.0,21720754000.0,15702910000.0,19365280000.0,15060048000.0,17924518000.0,44677330000.0
2051.0,21474994000.0,20506298000.0,18215688000.0,20782318000.0,15127142000.0,19145398000.0,13696351000.0,17489846000.0,43946897000.0
2052.0,21085245000.0,20471890000.0,17979673000.0,20060200000.0,14237656000.0,18635921000.0,13277546000.0,16919026000.0,43669344000.0
2053.0,20414660000.0,20292848000.0,17524247000.0,19418760000.0,13421182000.0,18792014000.0,12560043000.0,16166659000.0,43952415000.0
2054.0,20260280000.0,19188370000.0,16939349000.0,18666056000.0,13273725000.0,18098317000.0,12123026000.0,15513754000.0,43867500000.0
2055.0,19524940000.0,18376075000.0,16881762000.0,18380605000.0,13370756000.0,17796325000.0,11617205000.0,14789222000.0,43681070000.0
2056.0,19326816000.0,18274116000.0,15864249000.0,18227747000.0,13026902000.0,17278093000.0,10981340000.0,14789019000.0,42752807000.0
2057.0,18864515000.0,18070323000.0,14989829000.0,17577968000.0,12567903000.0,16801539000.0,10733085000.0,14720994000.0,42284147000.0
2058.0,18124138000.0,17992415000.0,14831583000.0,16650315000.0,12095959000.0,16210685000.0,9845200000.0,14071114000.0,42179187000.0
2059.0,17900354000.0,17352993000.0,14251294000.0,15602353000.0,12033127000.0,15546805000.0,9506922000.0,13068518000.0,40928895000.0
2060.0,17838890000.0,17336033000.0,13621632000.0,15350886000.0,11553522000.0,15226710000.0,9032486000.0,12474825000.0,40703005000.0
2061.0,17413032000.0,17295165000.0,13371877000.0,15069381000.0,11226606000.0,15277671000.0,8441777700.0,11664310000.0,41407890000.0
2062.0,16950006000.0,16817306000.0,13048068000.0,14776557000.0,10889270000.0,15275104000.0,7762024400.0,11344345000.0,40297000000.0
2063.0,16883994000.0,16606066000.0,12630273000.0,14775809000.0,10738919000.0,15215502000.0,7627097000.0,11013898000.0,40012513000.0
2064.0,17058555000.0,16097413000.0,12059628000.0,14595360000.0,10310811000.0,15095236000.0,7211845000.0,10433169000.0,39331030000.0
2065.0,16809040000.0,16494711000.0,11609755000.0,14718293000.0,10167664000.0,14654529000.0,6968387000.0,9793386000.0,39206875000.0
2066.0,16098645000.0,16512904000.0,11090497000.0,14838993000.0,9794534000.0,14350660000.0,6879541000.0,9423812000.0,39529275000.0
2067.0,16684661000.0,17082169000.0,10658796000.0,14427156000.0,9659859000.0,14132920000.0,6732681000.0,8973218000.0,38728280000.0
2068.0,16416339000.0,16858841000.0,10411476000.0,14094502000.0,9367633000.0,13861795000.0,6867369500.0,8299238000.0,38898300000.0
2069.0,15785429000.0,16710149000.0,10130270000.0,13722216000.0,9405212000.0,13291407000.0,6713436700.0,7997275000.0,39050867000.0
2070.0,15623536000.0,16654863000.0,9679691000.0,13310873000.0,9258636000.0,13641394000.0,6513535000.0,7365214000.0,38430110000.0
2071.0,14805248000.0,16835698000.0,9449916000.0,12671978000.0,9003232000.0,13731512000.0,6068914700.0,7222779000.0,37757780000.0
2072.0,14961721000.0,16828911000.0,8897245000.0,12392887000.0,8981603000.0,13702712000.0,5955073000.0,7192256500.0,36229317000.0
2073.0,14429743000.0,16179863000.0,8757913000.0,12023138000.0,8764904000.0,13668428000.0,5773615000.0,6994059000.0,37045895000.0
2074.0,14435758000.0,15788388000.0,8496049700.0,11493690000.0,8271343000.0,13757184000.0,5609190000.0,6905160700.0,36995250000.0
2075.0,14542764000.0,15549364000.0,8069368000.0,11464120000.0,8123113500.0,13476503000.0,5612443600.0,6631614500.0,37023430000.0
2076.0,14022194000.0,14949567000.0,7898012000.0,11239716000.0,8066045000.0,13437700000.0,5613794300.0,6393241600.0,36164220000.0
2077.0,13884562000.0,13876918000.0,7514026500.0,10813607000.0,7832905700.0,13073270000.0,5682173000.0,6353940000.0,34872050000.0
2078.0,15341085000.0,13400526000.0,7597818000.0,10339095000.0,7619339000.0,12554665000.0,5417388000.0,5947823000.0,35302040000.0
2079.0,14490757000.0,12647757000.0,7330483700.0,10392032000.0,7479095000.0,12344642000.0,5069319700.0,5741085000.0,34785500000.0
2080.0,14434635000.0,12638781000.0,7065826000.0,10283678000.0,7338618000.0,12331398000.0,4761871400.0,5551052300.0,34167882000.0
2081.0,14010546000.0,12632331000.0,6719013400.0,10010061000.0,7253348000.0,12201495000.0,4671463000.0,5428083700.0,35428070000.0
2082.0,13888190000.0,12112838000.0,6559573500.0,10055949000.0,7084420000.0,11999450000.0,4539593000.0,5402415600.0,34712855000.0
2083.0,13823551000.0,12133402000.0,6356255000.0,9687316000.0,7002650600.0,11623655000.0,4437331000.0,5090032600.0,34733210000.0
2084.0,14039899000.0,11887705000.0,6187512300.0,9233151000.0,7004549000.0,11449922000.0,4288369200.0,4876450000.0,33756381000.0
2085.0,13926303000.0,11047525000.0,6055893000.0,8967079000.0,6821652000.0,11142610000.0,4123286000.0,4549379000.0,33786044000.0
2086.0,13355597000.0,10947066000.0,5841222000.0,8803156000.0,6841558500.0,10860941000.0,3993304600.0,4287082800.0,32773063000.0
2087.0,13467757000.0,10894139000.0,5621363700.0,8647120000.0,6661260300.0,11249611000.0,3884513800.0,4180868000.0,32262418000.0
2088.0,13619426000.0,10848025000.0,5542402000.0,8498406400.0,6634425000.0,11000614000.0,3695247000.0,4188363800.0,32551450000.0
2089.0,13802613000.0,10617988000.0,5341635600.0,8415981600.0,6652367000.0,10835203000.0,3449694700.0,4319972000.0,33251140000.0
2090.0,13871903000.0,10370745000.0,5256799700.0,8253938700.0,6455433000.0,10254557000.0,3319808800.0,4179072800.0,33645052000.0
