time,CESM1-CAM5,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,47416640000.0,46469267000.0,45907810000.0,46540090000.0
2022.0,46792712000.0,47651850000.0,45450342000.0,45603934000.0
2023.0,47449575000.0,47878824000.0,44680675000.0,44831340000.0
2024.0,46194336000.0,46590170000.0,44720456000.0,44108620000.0
2025.0,44302050000.0,46009340000.0,43314758000.0,42602828000.0
2026.0,43683164000.0,47012033000.0,42405286000.0,41337373000.0
2027.0,43463135000.0,45668073000.0,40844260000.0,41041160000.0
2028.0,42253144000.0,44594220000.0,39780550000.0,40800540000.0
2029.0,41148460000.0,43304247000.0,38793670000.0,39972483000.0
2030.0,39152790000.0,41386680000.0,38451593000.0,39705154000.0
2031.0,38452826000.0,39051260000.0,38663897000.0,38072620000.0
2032.0,38605443000.0,38018396000.0,38298927000.0,37493416000.0
2033.0,37038375000.0,37601014000.0,37150958000.0,36014436000.0
2034.0,35789370000.0,36924797000.0,36695400000.0,35038160000.0
2035.0,35387073000.0,36301720000.0,35019076000.0,33188995000.0
2036.0,35765813000.0,36284277000.0,34507670000.0,32007236000.0
2037.0,34760340000.0,36667460000.0,33361578000.0,30739403000.0
2038.0,34022922000.0,36007793000.0,32147790000.0,29456355000.0
2039.0,33473489000.0,34153652000.0,31273939000.0,28255662000.0
2040.0,32402143000.0,33539045000.0,30392529000.0,27724288000.0
2041.0,32178750000.0,33421238000.0,30122310000.0,26170896000.0
2042.0,31080655000.0,32528384000.0,29286478000.0,24669387000.0
2043.0,29857962000.0,32531520000.0,27816880000.0,24774201000.0
2044.0,28808673000.0,32018282000.0,26522214000.0,23993364000.0
2045.0,28053037000.0,31564036000.0,25362403000.0,22946277000.0
2046.0,27002063000.0,31730930000.0,24310000000.0,21634398000.0
2047.0,26029548000.0,30925777000.0,23853482000.0,20731795000.0
2048.0,25341710000.0,30363480000.0,23480340000.0,19078363000.0
2049.0,24507101000.0,29178628000.0,22072390000.0,18099094000.0
2050.0,23726760000.0,29714076000.0,21892078000.0,18073444000.0
2051.0,23122676000.0,28718232000.0,21589924000.0,17715600000.0
2052.0,23500210000.0,28054915000.0,21034440000.0,17501678000.0
2053.0,22827710000.0,26891414000.0,20136268000.0,16920186000.0
2054.0,22507776000.0,26531453000.0,19260862000.0,16190294000.0
2055.0,21988682000.0,25883870000.0,18949286000.0,15992195000.0
2056.0,21568758000.0,25391938000.0,18249843000.0,15464823000.0
2057.0,20896965000.0,24312810000.0,17964728000.0,14808550000.0
2058.0,20580866000.0,24010807000.0,17381657000.0,14340020000.0
2059.0,20140208000.0,24161645000.0,16975097000.0,14366895000.0
2060.0,19741968000.0,24002744000.0,16557556000.0,14223270000.0
2061.0,19271477000.0,23422583000.0,16526615000.0,14186274000.0
2062.0,18851619000.0,23124780000.0,16244755000.0,13908854000.0
2063.0,18418358000.0,22841141000.0,15567432000.0,13624992000.0
2064.0,17793532000.0,22794494000.0,14967652000.0,13509686000.0
2065.0,17010340000.0,22503670000.0,14713017000.0,13320022000.0
2066.0,16669470000.0,21537080000.0,14734361000.0,12888541000.0
2067.0,16675554000.0,20446298000.0,13870067000.0,12461928000.0
2068.0,16403344000.0,20174866000.0,13520245000.0,12136533000.0
2069.0,16411142000.0,19955298000.0,12931570000.0,11857935000.0
2070.0,16321361000.0,20057463000.0,12640399000.0,11564255000.0
2071.0,16140446000.0,20777087000.0,12610458000.0,11329373000.0
2072.0,16051736000.0,20620937000.0,12347069000.0,11128324000.0
2073.0,15751905000.0,19634813000.0,12317372000.0,11031941000.0
2074.0,15432947000.0,19251160000.0,11648754000.0,11036918000.0
2075.0,15286327000.0,19199175000.0,11507129000.0,10740271000.0
2076.0,14911478000.0,18156362000.0,11145905000.0,10439579000.0
2077.0,14415805000.0,18021706000.0,10827384000.0,10137713000.0
2078.0,14402918000.0,18145348000.0,10552726000.0,9667456000.0
2079.0,14197899000.0,17327872000.0,10263781000.0,9396021000.0
2080.0,13875832000.0,17124877000.0,10112879000.0,8980705000.0
2081.0,13330843000.0,17257034000.0,9854591000.0,8952987000.0
2082.0,12588201000.0,18125484000.0,9300645000.0,8757470000.0
2083.0,12257445000.0,18003382000.0,9137855000.0,8189535700.0
2084.0,12066905000.0,17441315000.0,9267397000.0,8472479000.0
2085.0,11969816000.0,17293009000.0,9369167000.0,8093231600.0
2086.0,11714536000.0,17085904000.0,9077505000.0,7632004000.0
2087.0,11587047000.0,16987347000.0,8772517000.0,7394964000.0
2088.0,11079281000.0,17196354000.0,8497431000.0,7146668500.0
2089.0,10652363000.0,17138862000.0,8566527500.0,7203670500.0
2090.0,10385268000.0,17376880000.0,8414802400.0,6786494500.0
2091.0,10648558000.0,17518782000.0,8120549000.0,6692614000.0
2092.0,10103076000.0,17725008000.0,8154373600.0,6604930000.0
2093.0,9752918000.0,17058501000.0,7975686000.0,6642575400.0
2094.0,9820367000.0,16376479000.0,7920983000.0,6516509700.0
2095.0,9562036000.0,15923194000.0,8093381600.0,6222149000.0
2096.0,9652569000.0,15915739000.0,8070302700.0,6466179600.0
2097.0,9834520000.0,15774289000.0,8066776000.0,6412655000.0
2098.0,9960928000.0,15072656000.0,7936613000.0,6307415000.0
2099.0,10173649000.0,14552114000.0,7920752000.0,6081863700.0
2100.0,9970258000.0,14528404000.0,7927924000.0,5963309600.0
2101.0,10138283000.0,14853499000.0,7927430000.0,5896015000.0
2102.0,10161733000.0,14944988000.0,7890766300.0,5689924600.0
2103.0,10047903000.0,14688714000.0,8033929700.0,5775191000.0
2104.0,9782528000.0,14509307000.0,8090486300.0,5621991000.0
2105.0,9766815000.0,14785176000.0,8164924000.0,5499257300.0
2106.0,9308477000.0,14743775000.0,8031166000.0,5320791600.0
2107.0,9193327000.0,14102526000.0,7848521700.0,5389905000.0
2108.0,8982825000.0,13979513000.0,7830357500.0,5456129000.0
2109.0,8620019000.0,14954215000.0,8068484600.0,5271447600.0
2110.0,8140160000.0,14593175000.0,8332744700.0,5450202600.0
2111.0,7985362400.0,14642693000.0,8303008000.0,5357174000.0
2112.0,7894892500.0,15113851000.0,8207355400.0,5386684000.0
2113.0,7677447700.0,15120617000.0,8127567400.0,5408849000.0
2114.0,7690959400.0,14597292000.0,8039423000.0,5386296300.0
2115.0,7515716000.0,14309969000.0,8008898600.0,5314283500.0
2116.0,7422407700.0,14158564000.0,7861059600.0,5233210400.0
2117.0,7643375000.0,14021564000.0,7672455000.0,5335701500.0
2118.0,7365233700.0,14707997000.0,7672121000.0,5408303600.0
2119.0,7426176500.0,14825016000.0,7845764600.0,5439547000.0
2120.0,7274969000.0,15693120000.0,7933886000.0,5472175000.0
2121.0,7446149600.0,15353611000.0,7853862000.0,5232998400.0
2122.0,7439859000.0,15287643000.0,7508033000.0,5226643000.0
2123.0,7536074000.0,15139355000.0,7515676700.0,5305552400.0
2124.0,7639453000.0,14852486000.0,7369289000.0,5346458000.0
2125.0,7921701400.0,15290765000.0,7706212000.0,5314360000.0
2126.0,8216863000.0,15609245000.0,7539809000.0,5277862400.0
2127.0,8346920400.0,15212686000.0,7269933600.0,5248530000.0
2128.0,8272752600.0,15559110000.0,7209366000.0,5232592000.0
2129.0,8336649700.0,15773853000.0,7038308400.0,5227502600.0
2130.0,8060622000.0,16612502000.0,6923120000.0,5024899000.0
2131.0,7935313000.0,16730123000.0,6960427500.0,5131980000.0
2132.0,7809292300.0,16219941000.0,6792559000.0,5264241700.0
2133.0,7689405400.0,16006257000.0,6895929300.0,5269154300.0
2134.0,7632785000.0,15414220000.0,6871888000.0,5295793700.0
2135.0,7766544000.0,15267612000.0,6723039000.0,5338086400.0
2136.0,7536263000.0,15826650000.0,6663517700.0,5235319300.0
2137.0,7526819000.0,15057640000.0,6693458400.0,5335105000.0
2138.0,7302930400.0,14963128000.0,6609739000.0,5447740000.0
2139.0,7246835000.0,14611621000.0,6465670000.0,5524863000.0
2140.0,7321757700.0,14517538000.0,6376254500.0,5723204000.0
2141.0,7466046500.0,14576784000.0,6259711000.0,5678658000.0
2142.0,7266818600.0,14948808000.0,6303536000.0,5820324000.0
2143.0,7103464400.0,15541367000.0,6250445300.0,5758726700.0
2144.0,7241295400.0,14793224000.0,6246422000.0,5941585400.0
2145.0,7249453000.0,14549704000.0,6124718000.0,5901437400.0
2146.0,6928290000.0,14733215000.0,6153595400.0,5810450400.0
2147.0,6837966000.0,14453704000.0,6032244700.0,5898175000.0
2148.0,6678000600.0,14080364000.0,6064756700.0,5908722700.0
2149.0,6731827700.0,13532137000.0,6074317000.0,5877026000.0
2150.0,6666842000.0,13515890000.0,5914677000.0,5843790300.0
2151.0,6580214300.0,12809213000.0,5942299600.0,5981808000.0
2152.0,6579802000.0,12161010000.0,6046052400.0,6031031300.0
2153.0,6886765000.0,12059255000.0,5869856300.0,6013296600.0
2154.0,6944473000.0,11779686000.0,5912356000.0,6090917400.0
2155.0,6981916000.0,11553249000.0,5917964000.0,6107443000.0
2156.0,6931284500.0,11178418000.0,5868864500.0,5898635000.0
2157.0,7016600000.0,10509615000.0,5745989600.0,5764439000.0
2158.0,7023267000.0,10555938000.0,5556682000.0,5613039000.0
2159.0,6828189000.0,10815265000.0,5547074600.0,5565796000.0
2160.0,6873103400.0,10903050000.0,5719535000.0,5442340400.0
2161.0,6944590000.0,10664958000.0,5805259300.0,5363192000.0
2162.0,7002176500.0,10468438000.0,5958829000.0,5123157000.0
2163.0,6856389000.0,10567708000.0,5949808600.0,5020571000.0
2164.0,6807970000.0,10518739000.0,5938232300.0,4856666600.0
2165.0,6837979600.0,10022335000.0,6036027000.0,4705001500.0
2166.0,6823931400.0,9956861000.0,6149920000.0,4591311000.0
2167.0,6740613000.0,9903350000.0,6153604600.0,4597718500.0
2168.0,6797802000.0,9437476000.0,6243659000.0,4670205400.0
2169.0,6636436500.0,9560778000.0,6226447000.0,4722408000.0
2170.0,6371252700.0,9381645000.0,6420122600.0,4663179300.0
2171.0,6544574000.0,9132601000.0,6313100300.0,4691301400.0
2172.0,6651190000.0,8963293000.0,6364710000.0,4724368000.0
2173.0,6758070000.0,8845500000.0,6622634500.0,4613537000.0
2174.0,6635070500.0,8753895000.0,6423240000.0,4648942000.0
2175.0,6741069000.0,8804044000.0,6418173000.0,4675300400.0
2176.0,6592265000.0,8917537000.0,6445074400.0,4723886000.0
2177.0,6639105500.0,8863737000.0,6402284500.0,4709118500.0
2178.0,6455492600.0,8453702700.0,6448375300.0,4820670000.0
2179.0,6561359000.0,8651784000.0,6505768000.0,4714042000.0
2180.0,6332782000.0,8859675000.0,6603139000.0,4684823000.0
2181.0,6272907000.0,8663007000.0,6447592000.0,4650857000.0
2182.0,6319139000.0,8771472000.0,6259309600.0,4617716700.0
2183.0,6426471000.0,8514581000.0,6192208400.0,4553078000.0
2184.0,6362568700.0,8633626000.0,6146543000.0,4481332000.0
2185.0,6199905000.0,8628615000.0,6136427000.0,4460609000.0
2186.0,6058525700.0,8649362000.0,5960066600.0,4411878400.0
2187.0,6143107600.0,8477407000.0,5882494500.0,4404337700.0
2188.0,6342250500.0,8386282500.0,6050018000.0,4281230800.0
2189.0,6426148000.0,8435691500.0,6104153600.0,4125617000.0
2190.0,6720573400.0,8749047000.0,5944006700.0,4041699600.0
2191.0,6711840000.0,8807021000.0,5719163000.0,3946176300.0
2192.0,6596206000.0,9313975000.0,5480282000.0,3939412200.0
2193.0,6659775000.0,9393132000.0,5320476000.0,3823096600.0
2194.0,6783661600.0,9818551000.0,5298665500.0,3866601000.0
2195.0,6656509400.0,9843462000.0,5335907000.0,3992497700.0
2196.0,6249476600.0,9973126000.0,5355215000.0,3949296000.0
2197.0,6122600400.0,9715176000.0,5289531000.0,3912088600.0
2198.0,6225626000.0,9668483000.0,5123175000.0,3819403800.0
2199.0,6220194300.0,9527094000.0,5060279000.0,3903675600.0
2200.0,6204428300.0,9366789000.0,4955194400.0,3980153900.0
2201.0,6138181000.0,9909603000.0,4954714000.0,3968512800.0
2202.0,6272303600.0,9963533000.0,5086690000.0,4035308500.0
2203.0,6317169700.0,10116572000.0,5088114000.0,4004891600.0
2204.0,6368641000.0,10020711000.0,4996827000.0,3887765200.0
2205.0,6319614500.0,9988011000.0,5127975000.0,3815799600.0
2206.0,6295339000.0,9979966000.0,4998508000.0,3754788600.0
2207.0,6352774000.0,9816087000.0,4934685700.0,3738147300.0
2208.0,6251330000.0,10128226000.0,4975851000.0,3719570700.0
2209.0,6256481000.0,10379743000.0,5118449000.0,3571236600.0
2210.0,6312782300.0,10738367000.0,5146807300.0,3380387600.0
2211.0,6182677500.0,10878416000.0,5232957400.0,3497571300.0
2212.0,6119137000.0,10550863000.0,5333859000.0,3466963700.0
2213.0,6168500700.0,10758901000.0,5272983000.0,3561693200.0
2214.0,6321669000.0,10850435000.0,5390217700.0,3572506000.0
2215.0,6292862500.0,10936008000.0,5576209400.0,3553321500.0
2216.0,6427176000.0,10732023000.0,5448198700.0,3557777000.0
2217.0,6449417000.0,10623986000.0,5484244000.0,3531216100.0
2218.0,6249187000.0,11192485000.0,5477228500.0,3417513500.0
2219.0,6253055500.0,10902799000.0,5676970500.0,3416720600.0
2220.0,6341988000.0,10931795000.0,5653779500.0,3477610800.0
2221.0,6395068400.0,10911429000.0,5790013400.0,3362520800.0
2222.0,6061446700.0,10644992000.0,5748150000.0,3371969800.0
2223.0,5915677700.0,10280372000.0,5873341000.0,3351071700.0
2224.0,6022309000.0,10542607000.0,5721522000.0,3293689900.0
2225.0,6005585400.0,10553563000.0,5547639300.0,3236032500.0
2226.0,5979781600.0,10812485000.0,5458045400.0,3256634600.0
2227.0,6111769600.0,10624141000.0,5606240000.0,3265133000.0
2228.0,6216210000.0,10300994000.0,5513476600.0,3223587800.0
2229.0,6159544300.0,10088078000.0,5466780700.0,3149983000.0
2230.0,6203845600.0,9476778000.0,5403417000.0,3126580700.0
2231.0,6303315000.0,9497524000.0,5378110000.0,3200045000.0
2232.0,6250480000.0,9906348000.0,5272580000.0,3222049000.0
2233.0,6263165400.0,9912314000.0,5161935000.0,3241511400.0
2234.0,6075571700.0,9478843000.0,5230237000.0,3248392700.0
2235.0,6061924400.0,9214276000.0,5246313500.0,3208942000.0
2236.0,6029399600.0,9388967000.0,5247403500.0,3112911000.0
2237.0,5957379000.0,9442234000.0,5076728300.0,3181939500.0
2238.0,5697899000.0,9467981000.0,5222669300.0,3137120000.0
2239.0,5699080000.0,9505684000.0,5405020000.0,3167453000.0
2240.0,5781991000.0,9904702000.0,5315894000.0,3174631400.0
2241.0,5849155600.0,10066318000.0,5292487000.0,3135862500.0
2242.0,5927833600.0,9836394000.0,5060370000.0,3183472400.0
2243.0,6083123000.0,9558551000.0,4991814000.0,3163127600.0
2244.0,5903228000.0,9860845000.0,5027395000.0,3198685000.0
2245.0,5874870300.0,10171289000.0,4951013400.0,3187954200.0
2246.0,5882922500.0,10384460000.0,5035494400.0,3150520800.0
2247.0,5910647300.0,10343638000.0,5009767000.0,3231309300.0
2248.0,6043042300.0,10228124000.0,4954087400.0,3241666300.0
2249.0,6237095000.0,10169052000.0,4797244000.0,3294089200.0
2250.0,6334630000.0,10381196000.0,4766868000.0,3319856000.0
2251.0,6294710300.0,10080946000.0,4831433000.0,3321303000.0
2252.0,6401994000.0,9914103000.0,4820578000.0,3310370600.0
2253.0,6495373300.0,9347968000.0,4813561000.0,3392415700.0
2254.0,6380748300.0,10098650000.0,4823294500.0,3445937700.0
2255.0,6230010000.0,9821498000.0,4717924400.0,3519704000.0
2256.0,6018993700.0,10593348000.0,4655513600.0,3500052000.0
2257.0,5876654600.0,10199599000.0,4769486000.0,3635427300.0
2258.0,5751808500.0,9895430000.0,4910681600.0,3683607800.0
2259.0,5595712500.0,9681840000.0,4901699000.0,3923416000.0
2260.0,5520402000.0,9801202000.0,4914791400.0,3879721500.0
2261.0,5595915300.0,9626913000.0,4866121700.0,3923428900.0
2262.0,5560448500.0,9744306000.0,4779571000.0,3949534700.0
2263.0,5630353400.0,9381738000.0,4800754700.0,3828581400.0
2264.0,5655496000.0,9102924000.0,4722984000.0,3964549600.0
2265.0,5568738300.0,9062350000.0,4768581000.0,3950182000.0
2266.0,5527422000.0,9517587000.0,4735295500.0,3924137700.0
2267.0,5531536000.0,10009804000.0,4843485700.0,3916396300.0
2268.0,5572944400.0,9677047000.0,4847373000.0,3971671300.0
2269.0,5612912600.0,9411873000.0,4980796400.0,3939759000.0
2270.0,5788648400.0,9498841000.0,5124740600.0,3874632700.0
2271.0,5794038000.0,9645147000.0,5069427000.0,3759856000.0
2272.0,5591833600.0,9645963000.0,5132639700.0,3598229200.0
2273.0,5326001000.0,9274892000.0,5352474000.0,3603636200.0
2274.0,5376981000.0,9556220000.0,5338653000.0,3486995700.0
2275.0,5450302000.0,9669442000.0,5113089500.0,3477604400.0
2276.0,5379773000.0,9969461000.0,5015140000.0,3363403300.0
2277.0,5302050300.0,9639457000.0,5104387000.0,3382907600.0
2278.0,5276491000.0,9508889000.0,5138434600.0,3314128000.0
2279.0,5336769500.0,9118806000.0,5092028400.0,3308633900.0
2280.0,5294668300.0,9050296000.0,5091603000.0,3294696700.0
2281.0,5235076000.0,8913958000.0,5083381000.0,3131889700.0
2282.0,5021804500.0,8931402000.0,5195033600.0,3165752000.0
2283.0,4945363500.0,8859468000.0,5288667600.0,3226718000.0
2284.0,4875719000.0,9063778000.0,5567532000.0,3239865000.0
2285.0,4747077600.0,9151745000.0,5604695000.0,3456249900.0
2286.0,4886861300.0,8564058600.0,5630576600.0,3422936300.0
2287.0,4944871000.0,8788081000.0,5616364000.0,3335758600.0
2288.0,5044930600.0,8923633000.0,5874539500.0,3348981000.0
2289.0,5122303000.0,8475309600.0,5825730600.0,3389194500.0
2290.0,5144821000.0,8173219000.0,5766379500.0,3322018300.0
2291.0,5201157000.0,8636400000.0,5713117700.0,3390240500.0
2292.0,5171927000.0,8795882000.0,5718177000.0,3239866000.0
2293.0,5234309000.0,8889508000.0,5739831000.0,3150660900.0
2294.0,5312768500.0,8910914000.0,5755531000.0,3183003400.0
2295.0,5193605600.0,9062736000.0,5735540000.0,3439656200.0
2296.0,5220223500.0,8525674500.0,5771419600.0,3393305000.0
2297.0,5267524000.0,8212166700.0,5901361700.0,3442908000.0
2298.0,5253710000.0,7877490700.0,6024376000.0,3371355400.0
2299.0,5329383000.0,7973060600.0,6057873400.0,3334039000.0
2300.0,5379016000.0,8269360600.0,6145430500.0,3229565200.0
