time,GFDL-ESM4,MRI-ESM2-0,CESM2,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,INM-CM4-8,EC-EARTH3-VEG,CANESM5,EC-EARTH3,ACCESS-CM2,ACCESS-ESM1-5
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28284550000.0,28344224000.0,28560896000.0,28263868000.0,28410335000.0,28479685000.0,28345610000.0,28307702000.0,28359970000.0,28309550000.0,28276017000.0,28282220000.0,28272118000.0,28338033000.0,28298215000.0,28290361000.0,28321098000.0
2022.0,28276350000.0,28230121000.0,28201600000.0,28238110000.0,28259766000.0,28533432000.0,28193948000.0,28446013000.0,28226122000.0,28182698000.0,28185088000.0,28178495000.0,28246616000.0,28210295000.0,28145270000.0,28237517000.0,28213950000.0
2023.0,28149604000.0,28089119000.0,28215362000.0,28059372000.0,28098212000.0,28263264000.0,28284318000.0,28106807000.0,28279177000.0,28066922000.0,28107817000.0,28223021000.0,28062818000.0,28079510000.0,28067200000.0,28054491000.0,28095752000.0
2024.0,28010607000.0,28010650000.0,27782052000.0,27909214000.0,27902890000.0,28243487000.0,28044528000.0,27910883000.0,28223676000.0,27934396000.0,27924140000.0,27995744000.0,27926995000.0,28062570000.0,28011864000.0,27938918000.0,28037743000.0
2025.0,28143999000.0,27853435000.0,27736875000.0,27745077000.0,27775904000.0,28066300000.0,27929561000.0,27998829000.0,27977732000.0,27827740000.0,27761810000.0,27872084000.0,27863448000.0,27919760000.0,27800980000.0,27810445000.0,27832363000.0
2026.0,28103778000.0,27707257000.0,27768127000.0,27803020000.0,27630313000.0,27888593000.0,27671120000.0,27716465000.0,27798798000.0,28050606000.0,27757926000.0,27904504000.0,27739955000.0,27831870000.0,27670500000.0,27557693000.0,27901897000.0
