time,EC-EARTH3-VEG,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28385500000.0,28380553000.0,28432103000.0,28388047000.0
2022.0,28164678000.0,28338751000.0,28276787000.0,28267368000.0
2023.0,28055523000.0,28166652000.0,28400611000.0,28162304000.0
2024.0,28171970000.0,28205537000.0,28255200000.0,28224786000.0
2025.0,27958344000.0,27901116000.0,28042416000.0,28234158000.0
2026.0,27845288000.0,27854785000.0,28063450000.0,27977388000.0
2027.0,27648102000.0,27695018000.0,28043260000.0,27878023000.0
2028.0,27472960000.0,27502043000.0,27832236000.0,27757280000.0
2029.0,27256842000.0,27269188000.0,27699870000.0,27674307000.0
2030.0,27226374000.0,27230058000.0,27572430000.0,27564685000.0
2031.0,27098198000.0,27113476000.0,27603567000.0,27631555000.0
2032.0,26744842000.0,26991628000.0,27396702000.0,27410233000.0
2033.0,26626912000.0,27012475000.0,27304145000.0,27248212000.0
2034.0,26532010000.0,26893690000.0,27195324000.0,27033962000.0
2035.0,26274240000.0,26955467000.0,27032224000.0,26896280000.0
2036.0,26116528000.0,26540650000.0,26832919000.0,26836775000.0
2037.0,25859363000.0,26323106000.0,26726260000.0,26702887000.0
2038.0,25721061000.0,26258156000.0,26635092000.0,26646778000.0
2039.0,25526178000.0,26111898000.0,26527615000.0,26615138000.0
2040.0,25379090000.0,26077073000.0,26499504000.0,26494433000.0
2041.0,25161906000.0,25925097000.0,26519382000.0,26223428000.0
2042.0,25013707000.0,25870375000.0,26323968000.0,26136160000.0
2043.0,24806423000.0,25699009000.0,26152684000.0,26006327000.0
2044.0,24647350000.0,25583070000.0,26189445000.0,25825698000.0
2045.0,24536810000.0,25588187000.0,26149992000.0,25691943000.0
2046.0,24277117000.0,25568830000.0,25944908000.0,25640490000.0
2047.0,24064717000.0,25293873000.0,25813707000.0,25475326000.0
2048.0,23929383000.0,25239181000.0,25807262000.0,25363843000.0
2049.0,23742093000.0,25065000000.0,25670000000.0,25345920000.0
2050.0,23713874000.0,24883315000.0,25604890000.0,25793767000.0
2051.0,23429157000.0,24809724000.0,25546375000.0,25220016000.0
2052.0,23362734000.0,24704946000.0,25470616000.0,25067794000.0
2053.0,23126376000.0,24600840000.0,25312440000.0,24941443000.0
2054.0,23296680000.0,24543533000.0,25153399000.0,24953220000.0
2055.0,22765620000.0,24474870000.0,25006033000.0,24810790000.0
2056.0,22547794000.0,24709500000.0,24901028000.0,24870519000.0
2057.0,22332746000.0,24355880000.0,24764152000.0,25251068000.0
2058.0,22499736000.0,24519774000.0,24686440000.0,24581485000.0
2059.0,22188026000.0,24349800000.0,24591250000.0,24523846000.0
2060.0,22101240000.0,24491120000.0,24487848000.0,24403192000.0
2061.0,21996325000.0,24329430000.0,24990497000.0,24394676000.0
2062.0,22203378000.0,24213608000.0,24507540000.0,24289143000.0
2063.0,21839948000.0,24437027000.0,24246462000.0,24210194000.0
2064.0,21853670000.0,24104903000.0,24210985000.0,24217780000.0
2065.0,21579209000.0,24049920000.0,24092428000.0,24156908000.0
2066.0,21585447000.0,24014700000.0,24033237000.0,24374620000.0
2067.0,21490596000.0,23871738000.0,23870792000.0,24024588000.0
2068.0,21581440000.0,24015161000.0,23810120000.0,23953080000.0
2069.0,21535924000.0,24192340000.0,23833264000.0,23907434000.0
2070.0,22929316000.0,23899648000.0,23670536000.0,23801848000.0
2071.0,21936468000.0,24004300000.0,23988386000.0,23952955000.0
2072.0,21493150000.0,24106930000.0,23600038000.0,23761474000.0
2073.0,21371929000.0,23842886000.0,23482186000.0,23744125000.0
2074.0,21547502000.0,23873497000.0,23438078000.0,24185405000.0
2075.0,21154556000.0,23934150000.0,23283104000.0,24810985000.0
2076.0,21076994000.0,23838984000.0,23404931000.0,23977500000.0
2077.0,21352358000.0,24112700000.0,23174275000.0,23952355000.0
2078.0,21491163000.0,23746922000.0,23499780000.0,23855827000.0
2079.0,21688795000.0,23768820000.0,23293465000.0,23754818000.0
2080.0,21360920000.0,24241103000.0,23323950000.0,23638620000.0
2081.0,21081453000.0,23588387000.0,23070410000.0,23505803000.0
2082.0,21599404000.0,23500276000.0,23031063000.0,24076591000.0
2083.0,22937623000.0,23539902000.0,23054445000.0,23597605000.0
2084.0,21210696000.0,23548643000.0,22917804000.0,23613860000.0
2085.0,21199716000.0,23704232000.0,22813143000.0,23495268000.0
2086.0,21083326000.0,23417920000.0,23106589000.0,23481800000.0
2087.0,20997010000.0,23291214000.0,23090936000.0,23379405000.0
2088.0,21195020000.0,23505504000.0,22890120000.0,23305814000.0
2089.0,20889682000.0,23337697000.0,22823006000.0,23375450000.0
2090.0,21022640000.0,23246158000.0,22761206000.0,23432894000.0
2091.0,20880650000.0,23139960000.0,22697724000.0,23542352000.0
2092.0,21176394000.0,23333591000.0,22776680000.0,23561452000.0
2093.0,21048791000.0,23621067000.0,22657288000.0,23719170000.0
2094.0,20899588000.0,23386659000.0,22629329000.0,23721560000.0
2095.0,20892539000.0,23238621000.0,22638570000.0,25198119000.0
2096.0,20877490000.0,23252353000.0,22497905000.0,25115466000.0
2097.0,20970174000.0,23456449000.0,22437896000.0,24282016000.0
2098.0,20718813000.0,23336235000.0,22462870000.0,23885697000.0
2099.0,20588888000.0,23263513000.0,22404678000.0,23776778000.0
2100.0,22127264000.0,23351978000.0,22420007000.0,23809104000.0
