time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28342057000.0,28396562000.0,28330985000.0,28414022000.0
2022.0,28206060000.0,28179327000.0,28190958000.0,28320426000.0
2023.0,28132884000.0,28076288000.0,28072653000.0,28046356000.0
2024.0,28190669000.0,27918922000.0,28206082000.0,27853760000.0
2025.0,27967470000.0,27803871000.0,27907637000.0,27672680000.0
2026.0,27860330000.0,27715426000.0,27708414000.0,27402312000.0
2027.0,27793574000.0,27529667000.0,27607360000.0,27431422000.0
2028.0,27589251000.0,27306484000.0,27452418000.0,27205964000.0
2029.0,27482671000.0,27155800000.0,27276605000.0,26925042000.0
2030.0,27376159000.0,27196692000.0,27047064000.0,26760624000.0
2031.0,27219814000.0,26888900000.0,26964296000.0,26592926000.0
2032.0,27109829000.0,26643765000.0,26648447000.0,26327347000.0
2033.0,27098053000.0,26466040000.0,26425917000.0,26132093000.0
2034.0,26886965000.0,26425885000.0,26273874000.0,25875827000.0
2035.0,26768770000.0,26122445000.0,26048268000.0,25694695000.0
2036.0,26622120000.0,25927422000.0,25833298000.0,25399642000.0
2037.0,26482608000.0,25751077000.0,25686393000.0,25202285000.0
2038.0,26343450000.0,25515938000.0,25441255000.0,24891711000.0
2039.0,26186240000.0,25293068000.0,25254636000.0,24704668000.0
2040.0,26021106000.0,25094296000.0,25126023000.0,24437017000.0
2041.0,25877760000.0,24811794000.0,24889393000.0,24482908000.0
2042.0,25740320000.0,24582844000.0,24694061000.0,24245742000.0
2043.0,25556457000.0,24376949000.0,24441782000.0,23966806000.0
2044.0,25426070000.0,24211532000.0,24215710000.0,23679470000.0
2045.0,25250664000.0,23942236000.0,24295383000.0,23433531000.0
2046.0,25118312000.0,23615834000.0,23831222000.0,23189963000.0
2047.0,24959693000.0,23345211000.0,23613002000.0,22987985000.0
2048.0,24760269000.0,23081535000.0,23303780000.0,22729499000.0
2049.0,24586815000.0,22818850000.0,23050854000.0,22533380000.0
2050.0,24397935000.0,22604902000.0,22821356000.0,22177110000.0
2051.0,24240988000.0,22395574000.0,22655801000.0,21953090000.0
2052.0,24055798000.0,22029275000.0,22469788000.0,21627824000.0
2053.0,23942314000.0,21741177000.0,22239439000.0,21381997000.0
2054.0,23788138000.0,21500684000.0,22005890000.0,21049830000.0
2055.0,23628046000.0,21259434000.0,21735688000.0,20780712000.0
2056.0,23511486000.0,21068280000.0,21547545000.0,20450951000.0
2057.0,23439077000.0,20787818000.0,21297687000.0,20172667000.0
2058.0,23439570000.0,20474276000.0,21004080000.0,19869182000.0
2059.0,23105630000.0,20320557000.0,20783170000.0,19539952000.0
2060.0,22914996000.0,20077388000.0,20638749000.0,19373370000.0
2061.0,22833523000.0,19873614000.0,20327574000.0,19089610000.0
2062.0,22649985000.0,19613346000.0,20158083000.0,18828149000.0
2063.0,22522020000.0,19403310000.0,19973929000.0,18670612000.0
2064.0,22325670000.0,19207397000.0,19786269000.0,18456179000.0
2065.0,22198979000.0,19003396000.0,19530156000.0,18268785000.0
2066.0,22076900000.0,18749254000.0,19354313000.0,18027866000.0
2067.0,21981850000.0,18616187000.0,19138710000.0,17794429000.0
2068.0,21825978000.0,18434198000.0,18931974000.0,17646733000.0
2069.0,21668380000.0,18190990000.0,18700060000.0,17423522000.0
2070.0,21599322000.0,18046945000.0,18493313000.0,17212682000.0
2071.0,21457019000.0,17885114000.0,18399988000.0,17053745000.0
2072.0,21361334000.0,17762701000.0,18208922000.0,16962072000.0
2073.0,21221947000.0,17538950000.0,18088147000.0,16787863000.0
2074.0,21127720000.0,17380230000.0,17994519000.0,16669776000.0
2075.0,21011001000.0,17197062000.0,17845338000.0,16469617000.0
2076.0,20905929000.0,17039203000.0,17737460000.0,16292152000.0
2077.0,21130572000.0,16943615000.0,17604360000.0,16175417000.0
2078.0,20685564000.0,16794279000.0,17451428000.0,15988711000.0
2079.0,20517118000.0,16667129000.0,17375179000.0,15874030000.0
2080.0,20469848000.0,16562966000.0,17422406000.0,15712598000.0
2081.0,20312187000.0,16503018000.0,17250574000.0,15597637000.0
2082.0,20202334000.0,16393125000.0,17091105000.0,15666904000.0
2083.0,20093917000.0,16256410000.0,16974901000.0,15347454000.0
2084.0,20006433000.0,16028898000.0,16803424000.0,15189348000.0
2085.0,19851629000.0,15962650000.0,16684008000.0,15093831000.0
2086.0,19742777000.0,16131750000.0,16560352000.0,14979459000.0
2087.0,20182870000.0,15924274000.0,16445300000.0,14847587000.0
2088.0,19598610000.0,15698645000.0,16382175000.0,14780839000.0
2089.0,19665213000.0,15658437000.0,16307535000.0,14590924000.0
2090.0,19492250000.0,15591340000.0,16204963000.0,14643224000.0
2091.0,19420418000.0,15553196000.0,16159160000.0,14489410000.0
2092.0,19448398000.0,15380391000.0,16221501000.0,14400015000.0
2093.0,19278356000.0,15297663000.0,16168828000.0,14305436000.0
2094.0,19316533000.0,15230390000.0,16097405000.0,14103553000.0
2095.0,19111720000.0,15129201000.0,15998214000.0,14439965000.0
2096.0,19083432000.0,15082028000.0,15951075000.0,13950468000.0
2097.0,18996060000.0,14961540000.0,15929402000.0,13809526000.0
2098.0,18913335000.0,14881415000.0,15860693000.0,13783611000.0
2099.0,18859018000.0,14863238000.0,15773793000.0,14000652000.0
2100.0,18754290000.0,14779388000.0,15734107000.0,13609785000.0
