time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28558820000.0,28251685000.0,28330985000.0,28295920000.0,28342057000.0,28315271000.0,28306778000.0,28265314000.0,28331117000.0,28363188000.0,28264317000.0,28396562000.0,28302918000.0,28279685000.0,28265226000.0,28322079000.0,28414022000.0,28295782000.0,28328184000.0
2022.0,28414525000.0,28146668000.0,28190958000.0,28173025000.0,28206060000.0,28204067000.0,28149700000.0,28144212000.0,28255009000.0,28238330000.0,28162690000.0,28179327000.0,28189356000.0,28218630000.0,28067529000.0,28206494000.0,28320426000.0,28235469000.0,28191990000.0
2023.0,28241555000.0,28046710000.0,28072653000.0,28073232000.0,28132884000.0,28099555000.0,28041392000.0,28006146000.0,28135195000.0,28128230000.0,28026198000.0,28076288000.0,28234674000.0,28136420000.0,27975938000.0,28095853000.0,28046356000.0,28360206000.0,28103268000.0
2024.0,28101194000.0,27868418000.0,28206082000.0,27953308000.0,28190669000.0,27995038000.0,27918393000.0,27867746000.0,28025172000.0,28023163000.0,27901952000.0,27918922000.0,28047327000.0,27968627000.0,27819397000.0,27952650000.0,27853760000.0,28090282000.0,27956038000.0
2025.0,27969730000.0,27669970000.0,27907637000.0,27803720000.0,27967470000.0,27856542000.0,27811537000.0,27684827000.0,27844176000.0,27927914000.0,28000070000.0,27803871000.0,27849880000.0,27828781000.0,27695067000.0,27942334000.0,27672680000.0,27983874000.0,27951880000.0
2026.0,27892017000.0,27495555000.0,27708414000.0,27661003000.0,27860330000.0,27828970000.0,27636870000.0,27518247000.0,27758301000.0,27807770000.0,27652704000.0,27715426000.0,27799920000.0,27783710000.0,27535915000.0,27688204000.0,27402312000.0,27909239000.0,27808393000.0
2027.0,27739644000.0,27355965000.0,27607360000.0,27442835000.0,27793574000.0,27656497000.0,27508978000.0,27457559000.0,27654148000.0,27668572000.0,27472347000.0,27529667000.0,27618437000.0,27543861000.0,27420695000.0,27547412000.0,27431422000.0,27811496000.0,27457500000.0
2028.0,27621420000.0,27133520000.0,27452418000.0,27265340000.0,27589251000.0,27538979000.0,27361036000.0,27366222000.0,27492950000.0,27489475000.0,27245500000.0,27306484000.0,27461452000.0,27557620000.0,27171730000.0,27395516000.0,27205964000.0,27664000000.0,27278406000.0
2029.0,27501908000.0,26897355000.0,27276605000.0,27170470000.0,27482671000.0,27353942000.0,27175322000.0,26881160000.0,27533283000.0,27307460000.0,27103955000.0,27155800000.0,27257160000.0,27349040000.0,26928017000.0,27291038000.0,26925042000.0,27559475000.0,27253250000.0
2030.0,27527730000.0,26686773000.0,27047064000.0,26913538000.0,27376159000.0,27207422000.0,26953599000.0,26660540000.0,27366818000.0,27177620000.0,26917558000.0,27196692000.0,27156541000.0,27223941000.0,26733814000.0,27134000000.0,26760624000.0,27427133000.0,27379427000.0
2031.0,27326837000.0,26443160000.0,26965787000.0,26695784000.0,27221360000.0,27012819000.0,26688498000.0,26387405000.0,27200317000.0,27048690000.0,26731710000.0,26888251000.0,27089457000.0,26982339000.0,26725435000.0,27057840000.0,26592630000.0,27267123000.0,27010114000.0
