time,EC-EARTH3-VEG,EC-EARTH3,INM-CM5-0,INM-CM4-8,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,CESM2,MRI-ESM2-0,GFDL-ESM4
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28229966000.0,28305537000.0,28263143000.0,28300920000.0,28480400000.0,28257837000.0,28366215000.0,28271970000.0,28308890000.0,28336871000.0,28345278000.0,28633926000.0,28273924000.0
2022.0,28116058000.0,28167653000.0,28314825000.0,28171395000.0,28337811000.0,28118032000.0,28204430000.0,28233701000.0,28125934000.0,28200004000.0,28362756000.0,28445480000.0,28253743000.0
2023.0,28021690000.0,28060953000.0,28162530000.0,28114203000.0,28226996000.0,28027728000.0,28102427000.0,28147446000.0,28014965000.0,28045255000.0,28064332000.0,28290775000.0,28127937000.0
2024.0,28148056000.0,27972215000.0,28067734000.0,27929008000.0,28108108000.0,28038214000.0,28304480000.0,28004737000.0,27869997000.0,27975492000.0,27909032000.0,28080597000.0,27998908000.0
2025.0,27968301000.0,27877386000.0,27910902000.0,27825975000.0,27933567000.0,27771245000.0,27926225000.0,27893832000.0,27710680000.0,27921076000.0,27749095000.0,28134097000.0,27924425000.0
2026.0,27698428000.0,27752282000.0,27778075000.0,27618470000.0,27856783000.0,27607020000.0,27814105000.0,27794913000.0,27625355000.0,27692450000.0,27677092000.0,27953906000.0,27761875000.0
2027.0,27542630000.0,27666125000.0,27605901000.0,27491428000.0,27684788000.0,27397456000.0,27702049000.0,27731570000.0,27536843000.0,27544090000.0,27500427000.0,28034796000.0,27613237000.0
2028.0,27426787000.0,27450409000.0,27452865000.0,27310225000.0,27631542000.0,27288938000.0,27563985000.0,27608023000.0,27166138000.0,27358267000.0,27369607000.0,27915008000.0,27503573000.0
2029.0,27312376000.0,27281120000.0,27295410000.0,27151735000.0,27346330000.0,27159800000.0,27408181000.0,27514997000.0,26962900000.0,27214504000.0,27243145000.0,27709555000.0,27367190000.0
2030.0,27124680000.0,27227689000.0,27162409000.0,26989031000.0,27247987000.0,26916491000.0,27533240000.0,27495344000.0,26910851000.0,27070286000.0,27043150000.0,27586597000.0,27241947000.0
2031.0,26913778000.0,26921087000.0,27021386000.0,26803818000.0,27112659000.0,26769992000.0,27259982000.0,27426755000.0,26667815000.0,26849276000.0,26723273000.0,27378143000.0,27152083000.0
2032.0,26788516000.0,26678528000.0,26800603000.0,26631774000.0,26992234000.0,26729860000.0,27091468000.0,27277283000.0,26408290000.0,26683982000.0,26507377000.0,27267336000.0,27044297000.0
2033.0,26545525000.0,26481179000.0,26664823000.0,26399312000.0,26908738000.0,26237534000.0,27105348000.0,27165740000.0,26232700000.0,26457129000.0,26427367000.0,27194950000.0,26853716000.0
2034.0,26363294000.0,26268246000.0,26464496000.0,26215463000.0,26687828000.0,26137545000.0,26812723000.0,27005671000.0,25981411000.0,26212321000.0,26158600000.0,27025078000.0,26706135000.0
2035.0,26189850000.0,26032850000.0,26301512000.0,26050652000.0,26851210000.0,26336778000.0,26949130000.0,26911347000.0,25768944000.0,25974024000.0,25819249000.0,26879275000.0,26562830000.0
2036.0,26084008000.0,25881682000.0,26118770000.0,25889000000.0,26481723000.0,26052082000.0,26519638000.0,26767960000.0,25528056000.0,25777615000.0,25577658000.0,26783044000.0,26397526000.0
2037.0,25968777000.0,25923990000.0,26045286000.0,25767436000.0,26468990000.0,25958734000.0,26383667000.0,26617328000.0,25143839000.0,25623253000.0,25346410000.0,26630027000.0,26231052000.0
2038.0,25655521000.0,25742514000.0,25859844000.0,25557856000.0,26067941000.0,25737648000.0,26256462000.0,26517930000.0,24979320000.0,25312274000.0,25154280000.0,26486645000.0,26046988000.0
2039.0,25415983000.0,25529553000.0,25738570000.0,25350746000.0,25826574000.0,25639807000.0,26122537000.0,26420087000.0,24781158000.0,24997353000.0,24885790000.0,26368944000.0,25846290000.0
2040.0,25254610000.0,25284989000.0,25534964000.0,25276076000.0,25690352000.0,25525228000.0,25995980000.0,26308815000.0,24403206000.0,24688955000.0,24768463000.0,26234337000.0,25748365000.0
2041.0,25005953000.0,25117233000.0,25389765000.0,25069292000.0,25556613000.0,25246839000.0,25875634000.0,26204262000.0,24206807000.0,24543486000.0,24541040000.0,26439481000.0,25572660000.0
2042.0,24752267000.0,24952664000.0,25246915000.0,24946512000.0,25482121000.0,25063130000.0,25727550000.0,26049733000.0,24039119000.0,24333603000.0,24446507000.0,26023696000.0,25495681000.0
2043.0,24609382000.0,24818412000.0,25148938000.0,24842390000.0,25277334000.0,24834443000.0,25647852000.0,25913938000.0,23819653000.0,24056785000.0,24219597000.0,26313955000.0,25333498000.0
2044.0,24388645000.0,24587510000.0,24995383000.0,24627263000.0,25088799000.0,24679944000.0,25512850000.0,25803260000.0,23502422000.0,23782486000.0,24051493000.0,25854380000.0,25173152000.0
2045.0,24160035000.0,24394840000.0,24879596000.0,24466035000.0,24994222000.0,24507787000.0,25320763000.0,25707720000.0,23331730000.0,23698295000.0,23829584000.0,25791308000.0,24972587000.0
2046.0,23973173000.0,24182436000.0,24727697000.0,24287388000.0,24821115000.0,24291928000.0,25392835000.0,25622532000.0,23096805000.0,23401804000.0,23747529000.0,25632018000.0,24828633000.0
2047.0,23694975000.0,23896127000.0,24553447000.0,24209506000.0,24734048000.0,24064854000.0,25217376000.0,25499757000.0,22753690000.0,23154758000.0,23434795000.0,25469938000.0,24612426000.0
