time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28290454000.0,28308540000.0,28421294000.0,28289337000.0,28410233000.0,28378786000.0,28502530000.0,28403917000.0,28254740000.0,28279204000.0,28745847000.0,28516626000.0,28240267000.0,28291949000.0
