time,NORESM1-M,CSIRO-MK3-6-0,CANESM2,GFDL-CM3,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,GFDL-ESM2G,CCSM4,GISS-E2-R
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13933192000.0,13898561000.0,13811267000.0,13846160000.0,13859898000.0,13838926000.0,14007850000.0,13828691000.0,13858784000.0,13902365000.0
2022.0,13893989000.0,13953375000.0,13755533000.0,13876736000.0,13748615000.0,13710250000.0,13765473000.0,13810344000.0,13783548000.0,14032639000.0
2023.0,13742818000.0,14148491000.0,13648459000.0,13699014000.0,13661095000.0,13587977000.0,13695875000.0,13720935000.0,13604817000.0,13761885000.0
2024.0,13687236000.0,13889788000.0,13562474000.0,13516142000.0,13618764000.0,13520603000.0,13573898000.0,13486346000.0,13301210000.0,13655569000.0
2025.0,13905821000.0,13699722000.0,13413121000.0,13453366000.0,13616324000.0,13441009000.0,13457831000.0,13330425000.0,13176889000.0,13541742000.0
2026.0,13601124000.0,13526749000.0,13279101000.0,13251714000.0,13715390000.0,13332964000.0,13293098000.0,13360079000.0,12923007000.0,13477392000.0
2027.0,13372717000.0,13565022000.0,13223527000.0,12997849000.0,13405930000.0,13176174000.0,13134575000.0,13233549000.0,12612802000.0,13358089000.0
2028.0,13215769000.0,13414913000.0,13371452000.0,12734736000.0,13170058000.0,13067160000.0,12917151000.0,13024495000.0,12494471000.0,13275131000.0
2029.0,13124353000.0,13180623000.0,12972186000.0,12543229000.0,12999966000.0,13118488000.0,12726585000.0,12942170000.0,12145719000.0,13519368000.0
2030.0,12827608000.0,13109083000.0,13020685000.0,12325028000.0,12796835000.0,13269334000.0,12482329000.0,12616300000.0,11788586000.0,13292835000.0
2031.0,12685757000.0,12924493000.0,12645797000.0,11986849000.0,12613132000.0,13048398000.0,12227495000.0,12390246000.0,11663713000.0,13091363000.0
2032.0,12447967000.0,12732781000.0,12493767000.0,11804325000.0,12488112000.0,13257145000.0,11977168000.0,12283753000.0,11330728000.0,12974374000.0
2033.0,12311355000.0,12644789000.0,12223977000.0,11545978000.0,12351805000.0,12759411000.0,11617794000.0,12283829000.0,10937203000.0,12761418000.0
2034.0,12150104000.0,12533470000.0,12133918000.0,11234444000.0,12207695000.0,12741879000.0,11791106000.0,11796995000.0,10565945000.0,12683623000.0
2035.0,11899177000.0,12405681000.0,11878080000.0,11169069000.0,12016197000.0,12368712000.0,11303096000.0,11560193000.0,10213655000.0,12559627000.0
2036.0,11773978000.0,12376146000.0,11574873000.0,10670062000.0,11694254000.0,12258378000.0,10905750000.0,11262441000.0,9679777000.0,12470853000.0
2037.0,11380374000.0,12146515000.0,11318298000.0,10355303000.0,11486566000.0,12053125000.0,10584088000.0,11273057000.0,9414099000.0,12365226000.0
2038.0,11203972000.0,11899709000.0,11049757000.0,9999913000.0,11279603000.0,11805150000.0,10311199000.0,10879701000.0,9024411000.0,12280077000.0
2039.0,10942363000.0,11793046000.0,10902264000.0,9585033000.0,11031366000.0,11708606000.0,9983596000.0,10597886000.0,8549021000.0,12091568000.0
