time,CANESM2,CSIRO-MK3-6-0,GFDL-CM3,MPI-ESM-LR,CNRM-CM5,NORESM1-M,CCSM4,GISS-E2-R,CESM1-CAM5,IPSL-CM5A-LR,GFDL-ESM2G
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
