time,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5,GISS-E2-R,CCSM4,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13891306000.0,13857148000.0,13906842000.0,13832153000.0,13871995000.0,13861965000.0,13833902000.0,13902520000.0
2022.0,13721039000.0,13826481000.0,13735247000.0,13788312000.0,13763969000.0,13701472000.0,13626101000.0,13705465000.0
2023.0,13628578000.0,13700337000.0,13684251000.0,13720892000.0,13776403000.0,13545609000.0,13536490000.0,13577910000.0
2024.0,13367234000.0,13564648000.0,13527102000.0,13594699000.0,13710496000.0,13353256000.0,13383069000.0,13455950000.0
2025.0,13250749000.0,13693438000.0,13467441000.0,13473311000.0,13501896000.0,13375660000.0,13228863000.0,13379635000.0
2026.0,13093323000.0,13460678000.0,13296139000.0,13368996000.0,13444762000.0,13159522000.0,13035611000.0,13229045000.0
2027.0,13072602000.0,13308055000.0,13198494000.0,13292544000.0,13340188000.0,13004795000.0,12828822000.0,13145576000.0
2028.0,12938696000.0,13183975000.0,13087594000.0,13166776000.0,13443735000.0,13308541000.0,12707215000.0,13261712000.0
2029.0,12906218000.0,13031648000.0,12942664000.0,13000035000.0,13255982000.0,12890343000.0,12432059000.0,12908941000.0
2030.0,12802996000.0,12890585000.0,12714989000.0,12887875000.0,13067122000.0,12715262000.0,12136667000.0,12840307000.0
2031.0,12435432000.0,12746293000.0,12717800000.0,12806885000.0,12916166000.0,12556859000.0,11906187000.0,12642975000.0
