time,MPI-ESM1-2-HR,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,UKESM1-0-LL,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4
2000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0
2001.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0
2002.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0
2003.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0
2004.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0
2005.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0
2006.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0
2007.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0
2008.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0
2009.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0
2010.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0
2011.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0
2012.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0
2013.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0
2014.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0
2015.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0
2016.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0
2017.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0
2018.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0
2019.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0
2020.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0
2021.0,51732720000.0,51691504000.0,51625830000.0,51522260000.0,51647676000.0,51487400000.0,51489284000.0,51520850000.0,51510977000.0
2022.0,51681660000.0,51849535000.0,51565690000.0,51462500000.0,51564790000.0,51552625000.0,51503858000.0,51477650000.0,51523130000.0
2023.0,51567354000.0,51608250000.0,51500683000.0,51419734000.0,51496845000.0,51434713000.0,51391900000.0,51447170000.0,51606335000.0
2024.0,51609530000.0,51559810000.0,51456770000.0,51402280000.0,51477647000.0,51440970000.0,51363370000.0,51400010000.0,51598983000.0
2025.0,51497742000.0,51526767000.0,51421168000.0,51364426000.0,51422884000.0,51312656000.0,51631640000.0,51373507000.0,51468520000.0
2026.0,51436958000.0,51499160000.0,51419030000.0,51334390000.0,51478060000.0,51477950000.0,51324117000.0,51373560000.0,51414065000.0
2027.0,51536708000.0,51475714000.0,51379786000.0,51280454000.0,51408515000.0,51084198000.0,51298513000.0,51325796000.0,51519600000.0
2028.0,51374944000.0,51451680000.0,51402015000.0,51255050000.0,51378455000.0,51423970000.0,51263300000.0,51304755000.0,51363930000.0
2029.0,51432186000.0,51434054000.0,51321220000.0,51294564000.0,51375460000.0,50905700000.0,51235512000.0,51265630000.0,51353930000.0
2030.0,51366940000.0,51439520000.0,51336786000.0,51215070000.0,51370172000.0,50802663000.0,51180323000.0,51284705000.0,51318608000.0
2031.0,51310570000.0,51402285000.0,51424870000.0,51218420000.0,51359203000.0,50688705000.0,51120337000.0,51211272000.0,51321803000.0
2032.0,51306100000.0,51373867000.0,51403006000.0,51144160000.0,51897870000.0,50439205000.0,51036310000.0,51174330000.0,51337413000.0
2033.0,51303200000.0,51358570000.0,51278920000.0,51122240000.0,51484578000.0,50319823000.0,50947654000.0,51123954000.0,51289453000.0
