time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0
2001.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0
2002.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0
2003.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0
2004.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0
2005.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0
2006.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0
2007.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0
2008.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0
2009.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0
2010.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0
2011.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0
2012.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0
2013.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0
2014.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0
2015.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0
2016.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0
2017.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0
2018.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0
2019.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0
2020.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0
2021.0,51514663000.0,51511930000.0,51518063000.0,51492070000.0
2022.0,51794390000.0,51519770000.0,51467588000.0,51885570000.0
2023.0,51448377000.0,51456012000.0,51443500000.0,51407900000.0
2024.0,51385810000.0,51445654000.0,51448340000.0,51317273000.0
2025.0,51400917000.0,51866380000.0,51384570000.0,51205054000.0
2026.0,51352523000.0,51422224000.0,51501260000.0,51077670000.0
2027.0,51324355000.0,51338273000.0,51476830000.0,50913360000.0
2028.0,51272460000.0,51341500000.0,51528294000.0,50836296000.0
2029.0,51277885000.0,51735708000.0,51293635000.0,50777485000.0
2030.0,51464376000.0,51768300000.0,51227402000.0,50591363000.0
2031.0,51223265000.0,51394770000.0,51202630000.0,50301900000.0
2032.0,51497180000.0,51262390000.0,51141680000.0,50114290000.0
2033.0,51201106000.0,51280433000.0,51077448000.0,49947906000.0
2034.0,51084382000.0,51247030000.0,50917196000.0,49720320000.0
2035.0,51046550000.0,51248538000.0,50826920000.0,49519276000.0
2036.0,50984047000.0,51272810000.0,50716738000.0,49300816000.0
2037.0,50930760000.0,51254910000.0,50676040000.0,49029880000.0
2038.0,50824060000.0,51099075000.0,50598965000.0,48787840000.0
2039.0,51012640000.0,51068936000.0,50575454000.0,48634462000.0
